CellID,UMAP1,UMAP2
26_human_embryo_E-MTAB-3929:ERR1041403_Aligned.sortedByCoord.out.bam,-2.2455168,10.245124
26_human_embryo_E-MTAB-3929:ERR1041404_Aligned.sortedByCoord.out.bam,-2.3399282,10.119207
26_human_embryo_E-MTAB-3929:ERR1041405_Aligned.sortedByCoord.out.bam,-2.239606,10.163801
26_human_embryo_E-MTAB-3929:ERR1041406_Aligned.sortedByCoord.out.bam,-2.259925,10.047722
26_human_embryo_E-MTAB-3929:ERR1041407_Aligned.sortedByCoord.out.bam,-2.3661184,10.179814
26_human_embryo_E-MTAB-3929:ERR1041408_Aligned.sortedByCoord.out.bam,-1.9425535,9.720209
26_human_embryo_E-MTAB-3929:ERR1041409_Aligned.sortedByCoord.out.bam,-1.9798335,9.9261055
26_human_embryo_E-MTAB-3929:ERR1041410_Aligned.sortedByCoord.out.bam,-1.7048868,9.603561
26_human_embryo_E-MTAB-3929:ERR1041411_Aligned.sortedByCoord.out.bam,-1.6892889,9.54924
26_human_embryo_E-MTAB-3929:ERR1041412_Aligned.sortedByCoord.out.bam,-1.6884129,9.736926
26_human_embryo_E-MTAB-3929:ERR1041413_Aligned.sortedByCoord.out.bam,-1.7639911,9.625127
26_human_embryo_E-MTAB-3929:ERR1041414_Aligned.sortedByCoord.out.bam,-1.5872667,9.874583
26_human_embryo_E-MTAB-3929:ERR1041415_Aligned.sortedByCoord.out.bam,-1.5186727,9.967464
26_human_embryo_E-MTAB-3929:ERR1041416_Aligned.sortedByCoord.out.bam,-1.6309034,9.920967
26_human_embryo_E-MTAB-3929:ERR1041417_Aligned.sortedByCoord.out.bam,-2.155929,9.955292
26_human_embryo_E-MTAB-3929:ERR1041418_Aligned.sortedByCoord.out.bam,-2.064824,9.96884
26_human_embryo_E-MTAB-3929:ERR1041419_Aligned.sortedByCoord.out.bam,-1.9211416,10.145097
26_human_embryo_E-MTAB-3929:ERR1041420_Aligned.sortedByCoord.out.bam,-2.0161097,9.830793
26_human_embryo_E-MTAB-3929:ERR1041421_Aligned.sortedByCoord.out.bam,-1.6869287,9.630171
26_human_embryo_E-MTAB-3929:ERR1041422_Aligned.sortedByCoord.out.bam,-1.4500134,9.8241005
26_human_embryo_E-MTAB-3929:ERR1041423_Aligned.sortedByCoord.out.bam,-1.7891585,9.754692
26_human_embryo_E-MTAB-3929:ERR1041424_Aligned.sortedByCoord.out.bam,1.33493,13.821525
26_human_embryo_E-MTAB-3929:ERR1041425_Aligned.sortedByCoord.out.bam,1.5293323,13.994914
26_human_embryo_E-MTAB-3929:ERR1041426_Aligned.sortedByCoord.out.bam,1.474169,14.0813265
26_human_embryo_E-MTAB-3929:ERR1041427_Aligned.sortedByCoord.out.bam,0.555778,13.020276
26_human_embryo_E-MTAB-3929:ERR1041428_Aligned.sortedByCoord.out.bam,1.9994693,14.408278
26_human_embryo_E-MTAB-3929:ERR1041429_Aligned.sortedByCoord.out.bam,-1.4436694,12.778174
26_human_embryo_E-MTAB-3929:ERR1041430_Aligned.sortedByCoord.out.bam,-1.3186896,13.138307
26_human_embryo_E-MTAB-3929:ERR1041431_Aligned.sortedByCoord.out.bam,-1.6251336,12.097842
26_human_embryo_E-MTAB-3929:ERR1041432_Aligned.sortedByCoord.out.bam,-1.3869988,13.717254
26_human_embryo_E-MTAB-3929:ERR1041433_Aligned.sortedByCoord.out.bam,-1.5929744,13.756287
26_human_embryo_E-MTAB-3929:ERR1041434_Aligned.sortedByCoord.out.bam,-1.8409573,11.237986
26_human_embryo_E-MTAB-3929:ERR1041435_Aligned.sortedByCoord.out.bam,-1.7791619,11.453924
26_human_embryo_E-MTAB-3929:ERR1041436_Aligned.sortedByCoord.out.bam,-2.0890698,10.64118
26_human_embryo_E-MTAB-3929:ERR1041437_Aligned.sortedByCoord.out.bam,-1.7610487,12.023005
26_human_embryo_E-MTAB-3929:ERR1041438_Aligned.sortedByCoord.out.bam,-1.5372083,13.6322975
26_human_embryo_E-MTAB-3929:ERR1041439_Aligned.sortedByCoord.out.bam,-1.1243191,13.300904
26_human_embryo_E-MTAB-3929:ERR1041440_Aligned.sortedByCoord.out.bam,-1.6496347,11.754954
26_human_embryo_E-MTAB-3929:ERR1041441_Aligned.sortedByCoord.out.bam,-1.3089083,11.802636
26_human_embryo_E-MTAB-3929:ERR1041442_Aligned.sortedByCoord.out.bam,-1.2533786,11.751691
26_human_embryo_E-MTAB-3929:ERR1041443_Aligned.sortedByCoord.out.bam,1.6860591,13.858945
26_human_embryo_E-MTAB-3929:ERR1041444_Aligned.sortedByCoord.out.bam,1.5353363,13.725467
26_human_embryo_E-MTAB-3929:ERR1041445_Aligned.sortedByCoord.out.bam,1.3727925,13.820291
26_human_embryo_E-MTAB-3929:ERR1041446_Aligned.sortedByCoord.out.bam,1.8725218,13.701864
26_human_embryo_E-MTAB-3929:ERR1041447_Aligned.sortedByCoord.out.bam,1.3814142,13.700034
26_human_embryo_E-MTAB-3929:ERR1041448_Aligned.sortedByCoord.out.bam,1.7599227,13.611016
26_human_embryo_E-MTAB-3929:ERR1041449_Aligned.sortedByCoord.out.bam,1.7293637,13.883605
26_human_embryo_E-MTAB-3929:ERR1041450_Aligned.sortedByCoord.out.bam,0.5218916,13.5562935
