CellID,UMAP1,UMAP2
52_mouse_sympatho_GSE99933:SRR5674607_Aligned.sortedByCoord.out.bam,9.17573,3.3442097
52_mouse_sympatho_GSE99933:SRR5674608_Aligned.sortedByCoord.out.bam,7.6866145,5.9915686
52_mouse_sympatho_GSE99933:SRR5674609_Aligned.sortedByCoord.out.bam,9.496504,4.13817
52_mouse_sympatho_GSE99933:SRR5674610_Aligned.sortedByCoord.out.bam,10.696272,7.3023014
52_mouse_sympatho_GSE99933:SRR5674611_Aligned.sortedByCoord.out.bam,12.285177,0.54757875
52_mouse_sympatho_GSE99933:SRR5674612_Aligned.sortedByCoord.out.bam,10.755809,2.240083
52_mouse_sympatho_GSE99933:SRR5674614_Aligned.sortedByCoord.out.bam,6.950747,3.1433477
52_mouse_sympatho_GSE99933:SRR5674615_Aligned.sortedByCoord.out.bam,9.44324,7.0310774
52_mouse_sympatho_GSE99933:SRR5674616_Aligned.sortedByCoord.out.bam,8.506079,3.543686
52_mouse_sympatho_GSE99933:SRR5674617_Aligned.sortedByCoord.out.bam,8.638964,1.9508824
52_mouse_sympatho_GSE99933:SRR5674618_Aligned.sortedByCoord.out.bam,8.440829,3.1385934
52_mouse_sympatho_GSE99933:SRR5674619_Aligned.sortedByCoord.out.bam,8.62441,2.774199
52_mouse_sympatho_GSE99933:SRR5674620_Aligned.sortedByCoord.out.bam,10.087716,8.971613
52_mouse_sympatho_GSE99933:SRR5674621_Aligned.sortedByCoord.out.bam,8.642588,4.2175083
52_mouse_sympatho_GSE99933:SRR5674622_Aligned.sortedByCoord.out.bam,7.789702,3.9664571
52_mouse_sympatho_GSE99933:SRR5674623_Aligned.sortedByCoord.out.bam,9.573866,0.8440739
52_mouse_sympatho_GSE99933:SRR5674624_Aligned.sortedByCoord.out.bam,10.92985,8.483041
52_mouse_sympatho_GSE99933:SRR5674625_Aligned.sortedByCoord.out.bam,9.360875,3.9949827
52_mouse_sympatho_GSE99933:SRR5674626_Aligned.sortedByCoord.out.bam,7.3993196,3.7111685
52_mouse_sympatho_GSE99933:SRR5674627_Aligned.sortedByCoord.out.bam,12.867766,9.578305
52_mouse_sympatho_GSE99933:SRR5674628_Aligned.sortedByCoord.out.bam,9.325023,7.1013203
52_mouse_sympatho_GSE99933:SRR5674630_Aligned.sortedByCoord.out.bam,9.015929,4.30919
52_mouse_sympatho_GSE99933:SRR5674631_Aligned.sortedByCoord.out.bam,9.811374,1.4476533
52_mouse_sympatho_GSE99933:SRR5674632_Aligned.sortedByCoord.out.bam,11.735327,-0.022831475
52_mouse_sympatho_GSE99933:SRR5674633_Aligned.sortedByCoord.out.bam,11.827779,7.93287
52_mouse_sympatho_GSE99933:SRR5674634_Aligned.sortedByCoord.out.bam,7.7772136,5.1685214
52_mouse_sympatho_GSE99933:SRR5674635_Aligned.sortedByCoord.out.bam,11.347891,8.14451
52_mouse_sympatho_GSE99933:SRR5674636_Aligned.sortedByCoord.out.bam,10.256776,2.2931864
52_mouse_sympatho_GSE99933:SRR5674637_Aligned.sortedByCoord.out.bam,11.553405,7.9509797
52_mouse_sympatho_GSE99933:SRR5674638_Aligned.sortedByCoord.out.bam,9.52368,1.7354707
52_mouse_sympatho_GSE99933:SRR5674639_Aligned.sortedByCoord.out.bam,9.690353,3.4917386
52_mouse_sympatho_GSE99933:SRR5674640_Aligned.sortedByCoord.out.bam,7.9193106,5.1383862
52_mouse_sympatho_GSE99933:SRR5674641_Aligned.sortedByCoord.out.bam,9.123859,7.511068
52_mouse_sympatho_GSE99933:SRR5674642_Aligned.sortedByCoord.out.bam,9.589578,8.277522
52_mouse_sympatho_GSE99933:SRR5674643_Aligned.sortedByCoord.out.bam,7.911863,5.5401034
52_mouse_sympatho_GSE99933:SRR5674644_Aligned.sortedByCoord.out.bam,7.7915306,1.4117459
52_mouse_sympatho_GSE99933:SRR5674645_Aligned.sortedByCoord.out.bam,9.339213,5.6505446
52_mouse_sympatho_GSE99933:SRR5674646_Aligned.sortedByCoord.out.bam,9.956783,8.508143
52_mouse_sympatho_GSE99933:SRR5674647_Aligned.sortedByCoord.out.bam,9.603241,7.4988713
52_mouse_sympatho_GSE99933:SRR5674648_Aligned.sortedByCoord.out.bam,12.171915,8.641719
52_mouse_sympatho_GSE99933:SRR5674649_Aligned.sortedByCoord.out.bam,11.563129,8.016024
52_mouse_sympatho_GSE99933:SRR5674650_Aligned.sortedByCoord.out.bam,8.923354,4.7530665
52_mouse_sympatho_GSE99933:SRR5674651_Aligned.sortedByCoord.out.bam,9.250117,6.45964
52_mouse_sympatho_GSE99933:SRR5674652_Aligned.sortedByCoord.out.bam,7.50533,4.263295
