CellID,UMAP1,UMAP2
SRR3290185,2.52157,1.4714673
SRR3290185,2.7018752,0.79599196
SRR3290185,1.321412,1.5000813
SRR3290185,3.1020033,1.5784932
SRR3290185,2.824285,1.6689491
SRR3290185,2.8206425,1.7509398
SRR3290185,3.2208724,1.0671729
SRR3290185,1.9931293,1.8697762
SRR3290185,16.453012,1.7653667
SRR3290185,2.889001,0.2672372
SRR3290185,3.2060542,0.32326657
SRR3290185,2.6661022,1.745997
SRR3290185,2.598052,1.600306
SRR3290185,1.6450198,1.6175903
SRR3290185,3.6527674,0.8297949
SRR3290185,2.9553373,0.9536932
SRR3290185,2.6677654,1.4074427
SRR3290185,0.7420683,1.3170961
SRR3290185,2.5182717,0.32046247
SRR3290185,3.0388346,0.44453475
SRR3290185,1.2927157,1.5860133
SRR3290185,2.2099638,1.9635081
SRR3290185,0.71651745,1.4674492
SRR3290185,2.6731071,-0.057804372
SRR3290185,3.005227,2.0658581
SRR3290185,2.118183,1.0501637
SRR3290185,2.9645069,1.5003266
SRR3290185,2.6922233,0.41758415
SRR3290185,3.1845565,1.1489439
SRR3290185,2.9749062,0.5632467
SRR3290185,3.8667552,0.91669756
SRR3290185,3.2543156,0.270327
SRR3290185,3.7073572,1.094429
SRR3290185,1.3436291,1.4748001
SRR3290185,2.9043167,1.3833307
SRR3290185,3.0880644,0.9455862
SRR3290185,2.6987534,1.1177713
SRR3290185,2.438319,1.7214838
SRR3290185,1.879275,0.9352536
SRR3290185,2.7615824,1.4969218
SRR3290185,2.7713876,1.909387
SRR3290185,3.7710016,0.7361527
SRR3290185,2.3571053,1.7126583
SRR3290185,1.8151428,1.373219
SRR3290185,2.2640789,1.4581747
SRR3290185,1.8100512,0.82303154
SRR3290185,3.4828615,0.48327476
SRR3290185,2.1089344,1.4321469
SRR3290185,2.3030648,0.33962876
SRR3290185,4.015057,1.1798292
SRR3290185,1.1764221,1.1379315
SRR3290185,2.8755167,2.22578
SRR3290185,2.3965144,0.45233536
SRR3290185,2.5495627,1.8162055
SRR3290185,2.8825269,0.7463253
SRR3290185,2.8007066,0.8616816
SRR3290185,2.6748476,1.8979704
SRR3290185,1.5054243,1.3015158
SRR3290185,1.4349766,1.6739248
SRR3290185,3.8000562,1.2693478
SRR3290185,0.68497384,1.4819579
SRR3290185,2.0876484,0.9143203
SRR3290185,2.8252232,0.5668385
SRR3290185,2.842205,0.7241075
SRR3290185,2.9150822,0.4035309
SRR3290185,2.4419177,0.9519155
SRR3290185,3.7406423,0.7268335
SRR3290185,2.1139505,1.7781488
SRR3290185,3.2697022,1.9243774
SRR3290185,1.9598061,0.49435663
SRR3290185,3.0430014,2.1463368
SRR3290185,2.9222531,0.5379089
SRR3290185,3.2092087,1.1829549
SRR3290185,3.234904,0.5386075
SRR3290185,2.851847,1.2885891
SRR3290185,2.281227,1.7533226
SRR3290185,2.6575851,0.9538539
SRR3290185,2.4977677,0.22600172
SRR3290185,3.6203082,1.4303825
SRR3290185,0.71847135,1.3669891
SRR3290185,2.590863,1.0079933
SRR3290185,3.292967,1.7617648
SRR3290185,0.9625471,1.4871427
SRR3290185,4.0360937,0.9061029
SRR3290185,3.4190717,0.8500291
SRR3290185,3.2448359,1.8879626
SRR3290185,4.0951085,1.2611947
SRR3290185,2.3668485,0.62426764
SRR3290185,3.6909008,1.3528748
SRR3290185,0.82497746,1.1743453
SRR3290185,2.2483737,0.52065337
SRR3290185,2.7096877,0.93763924
SRR3290185,3.6094337,1.4569633
SRR3290185,2.2594993,0.5922185
SRR3290185,3.364147,0.6043603
SRR3290185,2.0830429,1.4621154
SRR3290185,2.5908449,2.0427825
SRR3290185,1.6085572,1.0579076
SRR3290185,2.3383188,1.6639122
SRR3290185,3.466237,0.5994893
SRR3290185,2.5011616,1.0875944
SRR3290185,3.3546288,0.9081075
SRR3290185,0.72252834,1.4509131
SRR3290185,3.306969,1.243107
SRR3290185,2.9580486,1.817916
SRR3290185,1.9474148,0.87215424
SRR3290185,1.9389418,1.1681294
SRR3290185,3.3031795,0.7166113
SRR3290185,3.1267407,1.1787182
SRR3290185,3.6330857,1.6457822
SRR3290185,3.1928856,0.13080795
SRR3290185,2.94947,2.295059
SRR3290185,3.3364916,0.96410865
SRR3290185,0.546583,1.1927437
SRR3290185,2.7693977,0.59777075
SRR3290185,2.5380852,1.4805405
SRR3290185,2.686613,0.8906745
SRR3290185,2.4039557,0.6560667
SRR3290185,0.76146317,1.3916507
SRR3290185,2.7351847,0.1556584
SRR3290185,1.84489,1.2041361
SRR3290185,2.5075898,0.9029318
SRR3290185,3.4239993,1.2658553
SRR3290185,3.000337,1.6349431
SRR3290185,0.83854175,1.2182695
SRR3290185,2.1073134,1.0750668
SRR3290185,3.8856442,0.67156786
SRR3290185,3.2709653,1.3216379
SRR3290185,3.7975793,0.8353858
SRR3290185,1.0374075,1.3642652
SRR3290185,0.74025476,1.211103
SRR3290185,2.2955482,1.65236
SRR3290185,3.3534122,1.3003366
