Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_Hs_PBMC_ctrl,21_Hs_PBMC_CTCL,22_peripheral_blood,23_peripheral_blood,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
VeloAE,0.999968191,0.867372113,0.976826643,0.999845605,0.997131995,0.995979198,0.999774925,0.975691791,0.999945856,0.999806532,0.999844966,0.998958218,0.99982103,0.999478329,0.999673463,,0.999996587,0.99115449,0.997202964,,0.999933054,0.999978564,0.999536119,0.997435397,0.996005587,0.999952765,0.999994122,,0.998288878,0.999941735,0.999842072,0.999968242,0.999097058,,0.98467056,0.998192311,0.999859607,0.998737898,0.99999839,0.999749012,0.996195891,0.993618629,0.999976943,0.999847861,,0.999936777,0.999692016,,0.999575759,0.989949647,0.9926371,0.993357051,0.987649635,0.998845633,0.994302867,20
LatentVelo,0.972556217,0.902209996,0.88735487,,,0.957206468,0.967650239,0.898524423,,,0.976597281,0.869271651,0.97389736,0.940996222,0.951398413,0.903525975,0.988827727,0.924796648,0.935182134,,0.916584555,0.863865931,0.941424647,0.948652163,0.976383821,0.892820736,0.96265068,0.99997721,0.993789891,0.993305349,0.927483719,0.991530357,0.982899434,,0.899548448,0.920136964,,0.993170506,0.996503749,,0.929985692,0.924320108,0.988484775,0.931193406,,0.914594487,,,0.901912095,0.881705639,0.966258794,0.933533845,,0.999612121,0.943388684,19
TFvelo,0.965462745,0.958655867,0.934302107,0.952671335,0.89309319,0.960054413,0.964050384,0.975087513,0.939497225,0.962131429,0.972899803,0.877631089,0.979549826,0.89571812,0.927453579,,0.964382675,0.960222096,0.921731491,,0.783138991,0.975785037,0.955968507,0.956412098,0.968359847,0.847330279,,,,0.940944353,0.9655938,0.880857729,0.928181909,,0.970162435,0.956407254,,0.957049672,0.936244763,0.930619728,,0.903284174,0.97272381,0.87458833,,0.936829365,0.731905221,0.969301283,0.824392278,0.877981835,0.966445513,0.920758602,0.963706216,0.969691803,0.923818086,18
UniTVelo,0.985795745,0.977283247,0.961415041,0.963910201,0.887136697,0.936174625,0.989211688,0.980103817,,0.891116067,,,0.992904267,0.832541242,0.793503252,,0.729149742,0.724476073,0.97070838,0.984848918,,0.971453297,0.971659654,0.935984412,0.935436722,0.808373435,0.987123919,,0.789703472,0.932677653,0.918789132,0.898047694,0.887941414,,0.990905348,0.636589777,0.977169575,,0.996079156,0.964239022,0.690537623,,0.994199142,0.870732157,0.704376179,0.73605372,0.892787035,0.95485206,0.869609162,0.703679972,,0.971485562,0.977846694,0.971867268,0.898647256,17
cell2fate,,0.911517138,0.712735963,,0.767450844,0.875882034,0.871186118,0.947498887,,,,,,0.810774823,0.896674282,,0.91691798,0.801459576,0.808491047,,0.919399112,0.850410078,0.773187891,0.833379671,0.935124711,0.815016811,,,0.882592051,0.936048511,0.930487936,,,,0.865157959,,,,,0.949563976,0.772982648,,0.76484248,,,0.940715481,,,0.948906315,0.837687949,0.874486519,0.94930328,,,0.865513175,16
scRNAkinetics,0.874505505,0.909794314,0.711988473,,0.818289744,0.857232247,0.872097423,0.9497033,0.877883031,0.958292753,0.779426639,0.9279105,0.861789636,0.797232236,0.905830936,0.879360532,0.798254148,0.794072871,0.829910405,0.920025147,,0.840814586,0.783192924,0.833773807,0.905634023,0.835286208,0.921412709,,0.871886572,0.903529674,0.919602495,0.641286009,0.906068395,,0.88063767,,0.757164298,,0.81514357,0.949193956,0.772945194,0.90065321,0.742842234,0.932593548,,0.93629201,0.695333792,0.898150095,0.943929463,0.828657133,0.87549896,0.955390134,,0.866734318,0.858764262,15
DeepVelo,0.920949872,0.819346896,0.887375792,0.896271252,0.771351024,0.875018595,0.901587869,0.967471647,0.93649293,0.956613636,0.873412235,0.761185807,0.902394121,0.798048668,0.857994605,,0.799292624,0.927729312,0.886400731,0.84799565,,0.901658474,0.890917333,0.798884273,0.770977165,0.735815782,0.873619272,,0.778468684,0.73262719,0.86061107,0.612179948,0.892557364,0.816288331,0.957217059,0.687220157,0.927987953,0.956645722,0.891318077,0.858939352,0.934090678,0.939708779,0.881867204,0.919695983,0.770889066,0.92300181,0.939253852,0.883032376,0.887915376,,0.953520191,0.732390347,0.758224635,0.824899214,0.858282325,14
SDEvelo,0.866829143,0.892821788,0.694621272,0.788121212,0.772252943,0.855050989,0.869005016,0.949406206,0.879340187,0.959287679,0.849986505,0.842147399,0.914697191,0.79441445,0.908060038,0.891993654,0.85770921,0.761357802,0.816582127,,0.914181447,0.832980055,0.752779769,0.832899513,0.846474134,,0.912993298,0.851166159,0.872986505,0.868661614,0.909766616,0.63522364,0.901156109,,0.870368344,0.817985164,0.757038908,0.955034562,0.774812914,0.9556249,0.781009039,0.844807949,0.775122465,0.9239837,,0.935792808,0.693204663,0.903472123,0.946308566,0.829377998,0.89402242,0.915102953,,0.875566918,0.852113439,13
PhyloVelo,0.815235919,0.931388185,,,0.774277717,0.836246249,0.897008058,0.962284343,,0.946226419,,0.966265459,0.843382007,0.792663763,0.902552342,,0.898342762,,,,,,,0.800062948,0.853806193,0.817243965,,0.837279502,,,,,0.921190214,,,,0.743508879,,0.849812664,0.926720839,0.772035635,,0.742304035,0.948118741,0.74854475,0.957114717,0.460992644,0.864540397,,0.730955203,0.905796583,0.948367108,0.858433544,0.876403586,0.847784543,12
scVelo stochastic,0.866892251,0.892821788,0.694616506,0.78793547,0.772242616,0.855050989,0.869005016,0.949404008,,0.959102489,,,0.914790556,0.802266067,0.908056726,,0.857708498,0.761357803,0.816582127,0.916198932,,0.832980055,0.752777522,0.832896939,0.846474134,0.837944252,0.91303067,,0.712212733,0.903725778,0.909766671,0.634286247,0.901509481,0.756129367,0.870249584,0.817985164,0.760880781,0.954904457,0.773701382,0.971365041,0.811064212,0.8444759,0.668243403,0.923240612,0.677258255,0.935799097,0.69641581,0.903472123,0.94630857,0.786185144,0.894026422,0.933293994,0.88144295,0.875569093,0.841325993,11
VeloVAE,0.868687126,0.896997882,0.666193828,0.783925893,0.784426935,0.853807257,0.870277854,0.910928409,0.835389776,0.951066991,0.740868134,0.674038864,0.85155609,0.796874757,0.902129357,0.888416462,0.855470443,0.778599155,0.823002773,0.903841247,,0.838331903,0.75413573,0.83397842,0.853008874,0.787966418,0.904014661,0.886951164,0.906141352,0.944608401,0.916061562,0.643968554,0.894714123,,0.903662937,0.814347212,0.765211308,0.943491668,0.772549519,0.948562247,0.798194831,0.852469598,0.766757804,0.909559627,0.657276918,0.890462797,0.701109718,0.901561467,0.784311815,0.863324028,0.872811816,0.836754589,0.909111218,0.859143495,0.837520289,10
veloVI,0.913153142,0.769353222,0.810506009,0.883587231,0.743981251,0.848717927,0.885470013,0.890013918,,0.851321181,,,0.933851755,0.803191933,0.849029073,,0.893425951,0.833610418,0.795019381,0.814230727,,0.822362497,0.888198887,0.857149948,0.855442929,0.712474765,0.903089495,,0.646574179,0.843698791,0.839182179,0.808342834,0.868133034,0.8222588,0.914799578,0.792182566,0.877726133,0.892580728,0.84886052,0.818673461,0.782467021,0.861939705,0.883574606,0.789999206,0.652511641,0.771310372,0.783957686,0.865839721,0.73180354,0.676130412,0.918122676,0.765549766,0.895042945,0.897452337,0.829289502,9
velocyto,0.851001333,0.893304378,0.682563674,0.824899117,0.779773419,0.874020314,0.860781535,0.94204653,,0.937364753,,,0.894481547,0.703355804,0.868937569,,0.740101372,0.778610759,0.88472891,0.761223166,,0.84777801,0.743133192,0.803791457,0.936105164,,0.896199038,,,0.8193728,0.939157432,0.655490097,0.843296946,,0.971824897,0.791404615,0.702905153,0.954971845,0.810621179,,0.790462564,0.892881467,,0.910368092,0.864124632,0.911956243,0.408809809,0.925785831,0.715643152,,,0.384955855,0.980394251,0.979843521,0.823377352,8
NeuroVelo,0.812647648,0.856718852,0.573773402,0.69620441,0.633820466,0.78281528,0.774421203,0.936520501,0.883133888,0.909327995,0.742690363,0.769466587,0.855677245,0.777822919,0.77882628,,0.785452922,0.782715781,0.77534556,,0.916054432,0.8346119,0.701594293,0.800621563,0.951263053,0.759573132,0.820721887,,0.882675692,0.841176129,0.823492101,0.64147112,0.898168874,,0.935002912,0.715462726,0.784341843,0.939931158,0.827127768,0.949193957,0.772945194,0.926477893,0.741783871,0.905798345,,0.922962875,0.6956438,0.840710526,0.894110995,0.775360374,0.890359615,0.816571313,0.854216629,0.84738354,0.819071851,7
Pyro-Velocity,0.769122515,0.83710025,0.719578525,,,0.877135189,0.700707935,0.89595664,,,,0.761657705,,0.561844343,0.738327015,0.719023244,0.729757859,0.861224615,0.752241666,0.709213528,,0.909710555,0.723526218,0.799341031,0.678402351,,,0.343170986,,,0.84021049,0.764238962,0.699220155,,0.92021769,,,,0.676633592,,,0.88749648,,,0.724756954,0.824839726,0.827962345,,0.712479859,,0.749893932,,,,0.75904384,6
cellDancer,0.886429975,0.906134364,0.715809619,0.793276182,0.729480034,0.874111762,0.898710341,0.94613496,,0.959894801,0.854229181,,0.855549688,0.797331901,0.899393601,0.882454166,0.915825518,0.777205486,0.804356308,0.93090673,,,0.780773722,0.833218369,0.452673226,0.812235549,0.941017914,,0.772372367,0.920833274,0.93035546,0.702105558,0.909300516,,0.85768176,0.811151828,0.760393495,0.952442409,0.184165258,0.661929338,0.828373394,0.194208153,0.805205987,0.332746515,0.782542564,0.20512184,0.143555734,0.918386224,0.899890227,0.805389345,,0.370224483,0.397327914,0.559672152,0.743670834,5
scVelo dynamical,0.594006632,0.882797414,0.846108792,0.698612415,0.594039643,0.930748371,0.810549493,0.922884096,0.111263877,0.783057672,0.203884226,0.133925691,0.916511741,0.655286876,0.194016098,,0.86863012,0.889822298,0.830389466,,0.723236594,0.88504302,0.782301633,0.814722599,0.755697168,0.807352818,0.806583158,0.177807337,0.85777456,0.826477891,0.874012462,0.229218191,0.692395243,,0.931483212,0.086642955,0.764747712,0.750809463,0.747599479,0.862856408,0.763869792,0.84879817,0.855555457,0.769296915,0.324124527,0.803745654,0.873405596,,0.607478841,0.768025674,0.204185977,0.70059653,0.637280217,0.696784385,0.681928891,4
STT,0.847703655,0.815280425,0.661178749,,,0.637685116,0.769702674,0.636455849,0.511918981,0.558040759,,0.444820849,0.868098894,0.796284206,0.670688833,0.399912944,0.632085719,0.771337236,0.587133498,0.463465001,,0.616803346,0.732990873,0.631951538,0.697162066,0.309973733,0.695221555,0.320546284,,,0.609855452,0.402168322,0.604042407,,0.615364351,,0.713393249,0.71924949,0.834645699,0.858435947,0.733516685,0.669652027,,0.611720415,,0.669254868,,0.852418047,0.334941082,0.608329541,0.930837087,0.898068263,,0.941943262,0.659149499,3
k-velo,0.613655959,0.602843999,0.634506347,0.227643753,0.829396304,0.747572027,0.480653952,0.626204591,,,,0.86749606,8.21E-06,0.484221592,0.486142868,,0.523156639,0.764767466,0.508029332,0.236714979,,0.655134156,0.461724439,0.611973066,,0.349485829,0.411410864,,0.735505619,0.883594172,0.59971812,0.342451426,0.497109773,,0.74080537,0.749112938,0.770539983,0.946331465,0.092671341,0.89411401,0.787341951,,0.511059282,,0.542090153,0.137526369,,,0.530225888,0.51105346,0.657103211,0.556518976,0.729730668,0.793763861,0.571543893,2
TopicVelo,,0.934121762,0.693776836,,0.577580021,0.837823798,0.842409257,0.410261168,,,,,0.560882166,,0.860523227,0.166450072,0.224271894,0.801117616,0.142523847,,0.932441771,0.414960895,0.216046416,0.833527764,,0.143151442,,,0.738367293,0.923692373,0.932677142,0.147616119,,,,0.168244807,0.16751695,,,0.949193957,0.804110013,0.471772017,0.565747102,,,0.120506876,0.353241035,0.850037513,0.095277709,0.465598819,0.657103193,,,,0.555616527,1
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
