Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_Hs_PBMC_ctrl,21_Hs_PBMC_CTCL,22_peripheral_blood,23_peripheral_blood,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
cell2fate,,,0.747,,0.3298,1.1257,1.0983,1.4717,,,,,,1.3226,0.9767,0.379,1.2429,0.8837,0.95,0.54,0.3137,1.5233,0.9314,0.9893,1.4137,0.6385,,,0.3756,0.7198,0.5675,0.284,,,1.4582,,,,,1.4246,1.6463,,,,1.2308,0.7916,,,0.5679,0.9102,0.6454,0.7999,,,0.9129,3
cellDancer,0.3958,0.3092,0.2105,0.2163,0.0959,0.3791,0.38,0.722,0.2157,0.227,0.3929,0.1046,0.5066,0.3897,0.2489,0.1226,0.4241,0.2767,0.2463,0.161,0.1324,0.4452,0.2392,0.3875,0.3498,0.1282,1.1269,0.2226,0.1013,0.2249,0.1651,0.0835,0.2184,,0.6353,0.1934,,0.2379,0.1982,0.4173,0.4575,,0.3191,0.1162,0.5218,0.2383,0.1162,0.414,0.1865,0.2506,0.6954,0.2204,,0.3824,0.309,1
DeepVelo,1.1443,1.0985,0.8399,0.7319,0.3651,1.2525,1.1408,1.7384,0.7342,0.4817,1.145,0.4137,1.3238,1.4794,1.0423,0.4772,1.5553,0.9569,1.1361,0.638,0.3589,1.5623,0.9842,1.0252,1.2156,0.4853,1.1125,0.8784,0.3812,0.6534,0.6665,0.374,0.307,,1.2888,0.8074,0.9671,0.715,0.7949,1.211,1.648,0.4565,1.148,0.4505,1.4173,0.8057,0.4633,1.1609,0.5413,0.9078,1.5643,0.873,1.0737,0.8889,0.9223,4
k-velo,1.3317,1.4363,1.031,0.4588,0.3796,1.2762,1.1464,1.9567,0.7917,0.9573,,0.4055,1.5201,1.2409,1.2346,0.4123,1.6987,1.0674,0.9795,0.6672,0.4396,1.6386,1.2597,1.0221,1.3299,0.4656,1.2069,,0.4237,0.6788,0.7953,0.3866,0.9107,,1.5029,0.8376,1.4113,0.833,0.4722,1.1989,1.6563,0.6019,1.1975,,0.8826,1.0192,,1.2499,0.8951,0.8444,1.7363,0.7951,0.765,0.8796,1.0067,12
LatentVelo,1.6457,1.5741,0.5091,,,1.242,1.3393,1.3684,,,1.6092,0.4287,2.8866,2.1829,1.2099,1.1524,3.1263,0.7751,1.3243,0.493,0.2263,1.3448,1.8397,1.4336,2.6453,0.3109,2.5913,1.8508,1.2451,0.062,0.5891,1.4612,2.0473,,1.4457,0.4214,,1.3508,2.0888,,1.7599,0.1914,2.1752,0.5406,,1.1083,,,0.3392,0.8046,0.7026,1.5184,,0.978,1.3009,18
NeuroVelo,1.1563,1.3103,0.9446,0.8776,0.6072,1.2617,1.1767,1.6162,0.752,0.8664,1.1459,0.428,1.3369,1.424,1.0777,0.4923,1.4577,0.9695,1.2478,0.6465,0.3646,1.5885,1,1.0721,1.487,0.6307,1.1836,0.9087,0.3829,0.7286,0.6868,0.4068,0.8024,,1.3809,0.9006,1.0754,0.831,0.9377,1.4248,1.648,0.6474,1.148,0.5615,1.3727,1.03,0.5017,1.144,0.7793,1.649,1.6321,1.2783,1.1389,0.8728,1.0187,13
PhyloVelo,1.2212,1.1487,,,0.5785,1.2525,1.2003,1.4038,,0.9111,,,1.3238,1.0827,1.23,,1.0926,,,,,,,1.142,1.2156,0.5906,0.3774,0.6628,,,,,0.7435,,1.7032,,0.6277,,0,1.4332,1.55,,1.148,0.7015,0,0.9811,1.5101,1.1531,0.7637,0.6596,1.5643,0.3994,0.78,0.4701,1.0194,14
Pyro-Velocity,1.3432,1.8104,0.9399,,0.5292,1.5064,1.3114,1.4829,0.8128,1.0195,,0.6818,,1.765,1.2911,0.5944,1.5729,1.2434,1.2707,0.7618,,1.6528,1.4252,1.2032,1.6937,,,0.8403,,,1.3179,0.6289,1.0413,,1.7197,1.6377,,,0.9303,,,1.278,,0.717,1.0484,1.2212,0.5689,1.2673,0.9231,,0.7703,,,,1.1617,17
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
scRNAkinetics,1.1443,1.231,0.933,,0.4674,1.2545,1.1427,1.6585,0.7367,0.8869,1.109,0.4831,1.3047,1.3587,1.0676,0.5317,1.5292,0.9698,1.1493,0.7128,,1.5887,0.9672,1.0257,1.5497,0.4853,1.0499,,0.3851,0.6401,0.7239,0.3723,0.7905,,1.5452,1.4916,0.9888,,0.8581,1.211,1.648,0.6073,1.148,0.5235,,1.001,0.4633,1.1847,0.783,0.9078,0.6742,0.8791,,0.8779,0.9672,10
