Method,1_Mm_DentateGyrus,2_Mm_sympatho,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
cell2fate,NA,30.42857143,43.39125856,28.25581395,82.0066335,14.80477223,NA,NA,NA,NA,34.10549819,37.18120805,73.02674494,13.43619415,60.99173554,24.32962721,7.674016429,NA,NA,42.43458476,45.74250047,31.00473142,26.70951157,NA,NA,23.45828295,NA,NA,NA,NA,46.64237376,76.62601626,NA,NA,NA,NA,39.57047643,NA,NA,31.59564823,32.3,67,6.626506024,NA,NA,38.30594609,7
cellDancer,49.52380952,34.84419263,23.59550562,48.23943662,50.80789946,50.8045977,35.38461538,49.52623535,32.53546099,36.73469388,25.33992583,72.22222222,10.61755146,37.14001986,37.85249458,40,30.62015504,26.60935286,57.59162304,33.25301205,25.21994135,34.3832021,29.02767921,51.77619893,NA,21.62162162,28.16537468,20.2764977,43.43963371,20.37470726,30.18867925,60.64257028,33.55119826,42.32309746,26.1707989,NA,31.96480938,1.369863014,49.89429175,46.59498208,34.93670886,41.91919192,73.33333333,32.28398314,42.07650273,37.32041095,4
DeepVelo,67.43142145,49,36.91416535,25.34883721,85.36484245,50.97613883,9.134360064,64.53387672,29.30019621,46.79878474,1.86994139,55.43624161,25.44031311,39.89071038,53.55371901,31.45846959,39.73194985,40.01889466,31.39087775,22.12741752,32.88590604,52.63011411,47.47215081,67.3047166,28.30033101,30.17118402,26.94575472,20.86306775,14.43810748,19.85617637,26.80895367,69.17344173,57.38801795,51.08507387,24.2151975,40.83333333,45.07529005,2.7941424,33.72817955,37.03535811,53.7,53.46666667,28.71485944,26.63329821,38.04812834,38.56196906,9
k-velo,63.17539485,42.71428571,46.03004292,44.65116279,52.32172471,68.65509761,50.34983854,NA,60.26814912,43.64355994,54.45157689,59.19463087,33.85518591,39.50498232,49.38842975,56.57292348,22.67617812,31.0212565,NA,18.75237012,37.25307492,47.34205399,24.73007712,27.03879879,NA,34.76420798,28.125,17.59717908,19.51482047,26.34892086,49.2451848,61.11111111,30.2748313,33.07182883,NA,30.41666667,31.69587756,NA,54.11471322,32.00362647,45.1,61.36666667,20.48192771,50.69151739,32.33957219,40.79636118,12
LatentVelo,69.65918537,65.85714286,NA,80.05813953,5.265339967,26.13882863,NA,99.27661742,47.22040549,91.51545558,9.852079263,68.18791946,7.925636008,47.46062359,32.85950413,96.01046436,45.7846952,24.4478035,29.99204455,32.87827076,41.36389044,51.40551072,53.63324764,58.29560433,NA,4.171704958,48.99764151,NA,41.01052293,44.40081374,NA,75.47425474,19.12743632,97.76872134,5.867528625,NA,29.40014811,NA,98.81546135,46.14687217,54.7,0.033333333,89.15662651,NA,61.97860963,48.7064347,20
NeuroVelo,12.73482959,16.71428571,50.97419695,43.8372093,40.33996683,31.45336226,56.93043016,97.43250127,14.87900589,98.21334002,0.530281887,75.03355705,12.10045662,45.37126326,75.60330579,88.16219751,1.707738867,48.79357581,61.26359056,36.55669321,47.38215018,23.62927915,25.92116538,60.46191759,NA,62.15235792,14.62264151,17.78188229,19.58068921,32.38397124,25.03904217,51.08401084,16.86438839,90.80998472,22.68120309,49.58333333,28.26462602,0,6.421446384,55.89301904,57.8,15.9,99.79919679,44.40200211,31.79144385,41.11094409,14
PhyloVelo,25.0872818,21.71428571,24.80252765,24.70930233,24.79270315,23.86117137,32.81996814,24.09577178,29.03858731,30.10006411,30.81216857,24.69798658,NA,28.33494053,NA,25.11445389,30.91223519,33.91025035,30.64836913,NA,NA,NA,NA,28.03025961,NA,24.90931076,NA,34.96767694,33.71837095,34.40885651,21.34305049,25.06775068,32.82332926,20.13245033,35.43527091,27.08333333,32.36237966,26.86416428,27.93017456,29.41976428,28.2,10.96666667,14.0562249,21.19336143,29.37165775,27.12800327,1
Pyro-Velocity,27.99667498,53.42857143,25.43443918,3.953488372,16.66666667,38.77440347,30.37705789,NA,26.29169392,NA,49.26039632,31.94630872,48.76060013,31.98328512,61.09090909,54.61085677,NA,NA,15.60594007,NA,NA,16.00333983,35.02999143,36.7127056,NA,28.65779927,59.61084906,NA,NA,34.95292615,NA,NA,41.80472934,NA,22.06760533,79.16666667,46.33423846,5.31896987,6.857855362,11.42339075,NA,49.13333333,NA,NA,NA,34.11226526,2
Region Velocity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.36666667,NA,NA,NA,72.36666667,0
scRNAkinetics,22.39401496,35,59.34702475,32.61627907,79.76782753,72.12581345,40.28146575,89.93377483,39.33943754,80.39691167,59.1962043,1.879194631,16.99282453,1.157184185,49.61983471,34.72858077,1.729355815,29.23004251,NA,40.46264695,43.13396683,34.92902867,36.40959726,45.73327984,NA,29.38331318,31.81818182,8.790193938,NA,34.64540853,8.953669964,34.62059621,40.09545449,91.2175242,35.177779,NA,34.33720069,94.54637266,0.06234414,22.80145059,38,95.3,16.06425703,NA,44.57219251,40.16975574,10
