Method,33,22_CTCL,26,4,3,34,15,9,19,12,36,25,47,51,1,21,20,40,42,22_ctrl,30,17,18,28,8,46,24,27,55,41,11,39,62,13,49,44,37,43,63,61,31,53,14,38,32,10,48,5,7,54,29,23,45,6,AVG,Reversed_rank
cell2fate,1.221,1.1944,0.7178,1.0023,,,1.1241,0.8022,1.0452,,0.6618,0.7144,1.1128,,,1.0125,1.0369,,0.7247,1.1783,1.1894,0.9523,1.2024,,0.8008,1.0223,0.9774,1.1101,1.0104,0.6031,,,,,,,,,,0.8583,1.0899,1.1919,,,1.1021,,,,0.9451,1.059,,0.7356,,0.7106,0.9713,1
cellDancer,1.0954,0.6525,0.3692,0.5825,0.6016,0.7041,0.7701,0.7089,0.7753,0.4667,0.7065,0.521,0.8173,0.8267,0.6006,0.6251,0.8611,0.4551,0.6424,0.655,1.053,0.7182,0.893,0.6949,0.773,0.802,0.6922,0.6715,0.7866,0.6238,0.5027,0.5165,,0.9054,0.4293,0.821,0.5743,,0.4673,0.3351,0.9322,0.8858,0.5709,,0.883,0.5207,,0.3496,0.8933,0.7875,0.6778,0.8845,0.571,0.2414,0.6779,18
DeepVelo,1.2044,1.183,0.7235,0.9628,0.8899,0.9998,1.1033,0.6126,0.9907,0.9583,0.6724,0.6271,1.0374,0.85,0.6691,0.9812,1.0171,0.9324,0.7243,1.159,1.1937,0.9211,1.1777,0.6537,0.778,0.7667,0.9566,1.1309,0.8504,0.8474,0.5424,0.8397,0.5868,1.178,1.0974,0.9568,0.977,0.843,0.5387,0.8644,1.0949,1.1264,0.7452,0.6633,1.0666,0.8092,,0.6972,0.8743,1.0606,0.9657,0.7053,0.9826,0.7407,0.8968,10
k-velo,1.2164,0.9873,0.8893,0.767,0.8835,0.8818,1.1537,0.6834,0.7635,,0.566,0.6312,1.02,0.8323,0.6188,0.9762,0.9209,1.0433,0.7416,0.9593,1.2091,0.7753,1.1799,0.6924,0.7418,0.8375,0.8253,1.1248,0.8103,0.8161,0.5013,0.8715,0.8022,1.2049,,0.9554,0.8974,,0.5583,0.9056,1.1357,1.1323,0.7788,0.6242,1.0921,0.4713,,0.7531,0.8952,1.0733,,0.6205,,0.8179,0.8675,12
LatentVelo,1.0232,1.2303,0.2154,1.2031,0.9615,0.4908,0.7735,1.0219,0.3641,0.8699,0.8873,0.6685,1.0929,,0.2383,1.1257,1.1565,0.5431,0.8384,1.215,0.936,0.9211,1.073,0.5253,0.7892,,0.3454,1.2249,1.1355,,,0.8703,,1.2118,,0.427,1.2069,0.8425,0.0534,0.6785,1.2412,1.2321,0.7549,,1.2063,,,,0.8993,1.1732,0.9266,0.9765,1.1818,,0.878,11
NeuroVelo,1.218,1.2032,0.8583,1.0112,0.914,1.0347,1.1411,0.8008,1.055,0.9726,0.692,0.655,1.0776,0.8846,0.6978,1.0503,1.0289,0.9322,0.7243,1.1776,1.1901,0.9629,1.1956,0.7584,0.7782,0.7706,0.9793,1.1103,0.8471,0.6107,0.8869,0.881,0.651,1.2008,1.1287,0.9568,1.0338,0.9333,0.5854,0.8901,1.0896,1.1604,0.7462,0.7168,1.1394,0.8403,,0.7147,0.8896,0.7304,1.0045,0.7076,1.0815,1.1077,0.9322,3
PhyloVelo,,,0.7235,,0.8884,1.0309,1.1495,0.8052,1.0184,,0.7157,0.7581,1.0615,0.9298,0.8251,,,0,0.7876,,,1.076,,0.5098,0.8854,0,,1.1575,0.8504,0.9672,1.0049,,0.8302,,1.1599,0.9568,,,0.4371,0.7574,,1.1536,0.7452,1.074,,,,,0.8743,1.1356,1.0615,,1.0116,0.9352,0.9149,6
Pyro-Velocity,1.1538,,0.4966,0.8733,0.632,0.8844,1.018,0.7026,0.6077,,0.4567,0.5743,0.9434,0.6111,0.4569,0.7264,0.7554,0.6691,,1.1408,,0.5961,1.1274,,0.4927,0.9828,0.6295,,0.9739,,0.5465,,,0.988,1.0793,,0.4279,0.9378,,,,1.0462,,,0.9705,0.5601,,,0.5242,,1.055,0.3314,0.904,0.5494,0.7618,15
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,0
