Method,1_Mm_DentateGyrus,2_Mm_sympatho,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
cell2fate,,-0.107418147,0.264184007,0.208978835,0.23609929,-0.028566704,,0.181997746,,,-0.248053787,,0.296907233,0.539825373,0.081792653,0.505129468,-0.15293876,,-0.435438811,-0.284002527,-0.207368083,0.018064462,0.317917571,-0.133575608,,0.995013337,0.041342413,,,,0.601887539,0.180496234,,-0.704311753,,,-0.141231373,,,0.036504329,-0.120629392,0.493315344,-0.495062225,,,0.069316381,12
cellDancer,-0.007134724,-0.612533298,,0.08738778,0.119561682,-0.021952707,-0.048588558,-0.170961856,0,,-0.263161633,0.138964014,,0.041288865,-0.096142231,-0.144031214,,-0.178023676,-0.000282192,0.013285067,-0.025937361,-0.01915936,0.032269676,-0.11043058,,0.231005883,-0.323893718,0.007072223,-0.003258851,0.2219897,-0.278391468,0.003096488,0.281352322,0.053442724,0.212413949,0.166746018,-0.173547698,-0.022317249,-0.37223177,-0.039585751,0.068732703,,-0.594541074,0.087836332,0.569509032,-0.030003911,4
DeepVelo,0.511614901,0.876234256,0.003175337,-0.51073055,0.046256177,-0.065063402,-0.056130696,0.63973157,0.090805109,0.064006223,-0.319365106,0.890823339,0.169642767,0.282082152,0.284741731,-0.065574524,0.151616219,-0.282572357,0.164928157,-0.094150069,0.181036393,0.07944362,0.179685727,,,,0.256769251,0.13686625,-0.272557793,-0.173347696,-0.55767486,0.799257995,0.296508845,-0.242996685,0.119187722,0.416724839,-0.53386905,0.029745805,-0.000166607,,-0.015480333,0.311557128,-0.644019305,,-0.250052836,0.072467241,14
k-velo,,0.452842761,-0.023244675,-0.630799202,-0.016158674,0.479319732,-0.266859208,,0.077896865,0.002641803,-0.561541384,0.94111393,-0.206500544,0.516162256,-0.602362477,0.440151872,-0.043268059,-0.26069483,,-0.063696088,0.45737823,0.2643048,-0.098145255,-0.140902399,,-0.937645728,0.09381912,-0.124371516,-0.04666669,-0.073968437,0.366286059,0.357136006,,-0.434215943,,0.022839292,-0.483266021,,,0.204795471,-0.102096638,0.285230365,-0.728442603,0.302029047,0.535980044,-0.001214019,6
LatentVelo,-0.321438707,-0.469536914,,-0.139482873,-0.064682446,0.161035483,,0.166480731,0.103594794,,-0.223860151,-0.90363773,0.045775978,0.03216575,-0.13896123,0.487135933,-0.028954062,0.045751566,-0.006412549,-0.020685087,,-0.104324624,0.00232785,-0.088235433,,0.261029712,0.006851798,,-0.000713454,-0.244119729,,-0.025781006,0,-0.034262033,0.030370622,,0.078525214,,,-0.096640951,0.083276332,,-0.100728632,,-0.660961726,-0.065730229,1
NeuroVelo,0.074100201,0.783061037,-0.29757261,0.062293637,0.231967816,0.554225113,-0.366150593,0.561067309,0.16561143,0.066248135,-0.609579496,0.809825265,-0.049851039,0.706743646,0.218560513,0.240905957,0.057360805,-0.155476576,0.001210161,-0.368598604,-0.044229571,-0.070786668,0.120602168,0.050085872,,,0.611807625,-0.153941124,-0.010550477,0.17929453,0.608738871,0.660075404,0.36236542,0.62295527,0.177187327,-0.290902395,0.463801202,0.188981007,-0.482232001,0.060761167,,0.127933938,-0.831672314,,-0.358307009,0.114095618,16
PhyloVelo,,-0.554460588,0.043514479,0.505301733,0.220623913,-0.196905345,-0.03650993,-0.015514242,0.065537804,-0.149804711,-0.142501727,0.843636769,,0.343938893,0.042232791,0.398688594,0.000321155,-0.227229493,0.003399711,-0.204757948,-0.015023945,-0.053626589,0.028799885,0.30876881,,,0.284167156,0.058262547,-0.025132123,0.129566774,0.50611657,0.391769954,-0.159584064,0.071143712,0.028787688,0.195412321,-0.323118956,0.220312433,-0.683505249,-0.13317761,0.072648112,0.307946647,0.277011959,0.244864782,0.287515254,0.072181413,13
Pyro-Velocity,-0.142330797,0.548043278,,0.179433421,-0.096759831,,,,,,-0.256102552,0.949201402,,0.018915062,0.181089201,0.178384973,,,0.746097003,,,,,0.213052959,,,,,,0.014099623,,,0.099814163,,,0.198197937,-0.527656124,-0.118988417,,-0.503029964,,,,,,0.09890949,15
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
scRNAkinetics,-0.613684785,-0.701366108,-0.048883372,-0.158565387,0.256784443,-0.259776678,-0.463050016,-0.015514242,,-0.145879714,-0.120140596,0.898147506,,0.607613441,0.095404031,0.590969358,-0.104745518,-0.461760037,,-0.265929922,-0.0596017,0.018652359,0.035719725,-0.011750575,,,,0.118511278,,-0.135612893,0.608267848,0.403615038,0.176207889,0.060699317,0.03619356,,-0.612868731,0.214258124,-0.593246018,-0.408049267,0.038561326,,-0.3571109,,0.28165817,-0.031322087,3
