Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_Hs_PBMC_ctrl,21_Hs_PBMC_CTCL,22_peripheral_blood,23_peripheral_blood,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
cell2fate,,,0.755,,0.4606,1.2196,1.3923,1.8772,,,,,,1.1689,1.0635,0.3157,1.2535,0.8496,0.9769,0.4591,0.2626,2.1646,0.9535,1.4318,1.85,0.5763,,,0.3186,0.6674,0.52,0.2329,,,2.207,,,,,2.2265,2.3445,,,,1.1656,0.7131,,,0.4814,0.8711,0.6387,0.903,,,1.0426,3
cellDancer,0.6984,0.5678,0.3478,0.5998,0.4043,0.4349,0.5254,0.953,0.405,0.4486,0.795,0.122,0.8392,0.4953,0.3527,0.1405,0.5536,0.3254,0.396,0.2427,0.2066,0.5137,0.364,0.8127,0.8739,0.193,1.4883,0.3393,0.1046,0.2376,0.1961,0.0759,0.3341,,0.8624,0.3489,,0.455,0.3961,0.6519,0.7004,,0.3861,0.2071,0.6302,0.3042,0.2548,0.5162,0.2108,0.3214,0.8884,0.5983,,0.8217,0.4788,1
DeepVelo,1.7281,1.1795,0.8779,1.0288,0.4864,1.4742,1.4854,2.8769,0.9578,0.8677,1.2306,0.3497,1.7149,1.3132,1.1541,0.4076,1.7669,0.9345,1.212,0.551,0.3044,2.3269,1.0393,1.6409,1.5355,0.4336,1.5155,0.9222,0.3213,0.5942,0.6418,0.312,0.3104,,1.9168,0.8191,1.4529,0.8312,0.9038,1.4281,2.3535,0.598,1.2348,0.4543,1.7864,0.7881,0.4274,1.3922,0.4919,0.8648,1.8767,0.9937,1.7396,1.5674,1.1211,7
k-velo,2.1404,1.5862,1.3482,0.5605,0.4578,1.4417,1.5581,3.0385,1.507,1.8277,,0.337,1.9519,1.0824,1.614,0.3543,2.4721,1.1467,1.0057,0.6668,0.4112,2.7591,1.5435,1.6606,1.4666,0.4126,1.499,,0.3512,0.5976,0.7345,0.3169,0.9847,,2.611,0.916,2.2109,0.9441,0.467,1.4349,2.3105,0.6283,1.292,,1.0551,0.9999,,1.5523,0.8107,0.7851,2.1557,0.8732,0.8988,1.6127,1.2733,13
LatentVelo,7.2222,1.6127,0.4215,,,1.3694,1.6755,1.3569,,,1.8473,0.3528,3.7833,2.8425,1.3602,1.0722,8.3389,0.6728,1.2205,0.4072,0.1833,1.405,5.5991,2.1898,12.3184,0.255,5.1195,1.9542,1.3254,0.0503,0.4932,1.4184,3.9774,,1.6231,0.3489,,1.5602,3.3403,,2.0751,0.2254,5.1634,0.4571,,1.0232,,,0.2759,0.6865,0.6183,2.287,,19.2115,2.5754,19
NeuroVelo,1.698,1.3833,0.9375,1.2383,0.5568,1.4686,1.5231,2.0375,0.9492,1.0518,1.2073,0.3564,1.7317,1.2392,1.1609,0.4112,1.5097,0.9434,1.2814,0.5506,0.3039,2.3799,1.0157,1.63,1.6657,0.5703,1.4485,0.9261,0.3243,0.6719,0.6071,0.3344,0.7974,,2.0027,0.8691,1.499,0.9349,1.0671,2.209,2.3535,0.7246,1.2348,0.5318,1.6743,0.9626,0.4419,1.3146,0.6845,2.3242,1.9714,1.442,1.668,1.4769,1.1943,12
PhyloVelo,1.5052,1.232,,,0.6084,1.4742,1.3405,1.7072,,0.8812,,,1.7149,0.9382,1.1456,,1.088,,,,,,,1.4449,1.5355,0.5184,0.7531,0.6344,,,,,0.7478,,2.4234,,0.5812,,0.6344,1.4376,1.9127,,1.2348,0.7033,0.9242,0.9336,1.3052,1.2479,0.6737,0.5829,1.8767,0.5847,0.9117,1.0266,1.1254,8
Pyro-Velocity,2.8703,2.8421,1.0325,,0.8742,2.9338,2.5055,2.3246,1.5312,1.8725,,0.6832,,1.7391,2.1698,0.5257,2.663,1.5338,1.7346,0.7235,,5.1456,2.41,2.0193,3.3763,,,0.8593,,,1.3892,0.5484,1.0864,,3.7354,3.9079,,,1.3916,,,1.3633,,0.7671,1.0261,1.2771,0.5809,2.1134,1.0476,,0.7926,,,,1.8166,18
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1322,0
scRNAkinetics,1.7229,1.351,0.9655,,0.5992,1.4789,1.4782,2.1055,0.9692,1.2453,1.1632,0.4939,1.6714,1.2101,1.257,0.4567,1.7459,0.95,1.2711,0.6158,,2.4085,1.0036,1.6511,2.0634,0.4336,1.33,,0.3232,0.5793,0.6874,0.3091,0.8023,,2.479,2.0119,1.4033,,1.0153,1.4281,2.3535,0.7525,1.2348,0.5249,,0.9596,0.4173,1.438,0.6924,0.8648,0.6662,1.004,,1.418,1.1537,11
