Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_Hs_PBMC_ctrl,21_Hs_PBMC_CTCL,22_peripheral_blood,23_peripheral_blood,24_Mm_brain,25_Hs_embryo,26_Mm_skin,27_Hs_brain,28_Hs_blood,29_Mm_embryonic,30_Hs_fibroblast,31_Hs_retinal_epithelial,32_Hs_A549_cell_line,33_Mm_brain,34_Mm_embryos,35_Mm_testis,36_Mm_mESCs,37_Dm_embryos,38_Mm_brain,39_Hs_bone_marrow,40_Mm_hematopoiesis,41_Mm_DentateGyrus,42_Mm_pancreas,43_Mm_gastrulation,44_Mm_embryos,45-C_elegans_embryos,46_Mm_primary_lung_tumors,47_Hs_blood,48_Mm_bone_marrow,49_Mm_skin,50_Hs_HsK562cell,51_Mm_spermary,57_SIRV_chickenheat_D14_RNA,58_SIRV_Mmbrain_RNA,59_SIRV_Mm_embryo_RNA,AVG,Reversed_rank
cell2fate,,,1.0023,,0.7106,0.9451,0.8008,0.8022,,,,,,1.1241,0.9523,1.2024,1.0452,1.0369,1.0125,1.1783,1.1944,0.7356,0.9774,0.7144,0.7178,1.1101,,,1.1894,1.0899,1.1021,1.221,,,0.6618,,,,,0.6031,0.7247,,,,1.0223,1.1128,,,1.1919,1.059,1.0104,0.8583,,,0.9713,1
cellDancer,0.6006,0.6016,0.5825,0.3496,0.2414,0.8933,0.773,0.7089,0.5207,0.5027,0.4667,0.9054,0.5709,0.7701,0.7182,0.893,0.7753,0.8611,0.6251,0.655,0.6525,0.8845,0.6922,0.521,0.3692,0.6715,0.6949,0.6778,1.053,0.9322,0.883,1.0954,0.7041,,0.7065,0.5743,,0.5165,0.4551,0.6238,0.6424,,0.821,0.571,0.802,0.8173,0.4293,0.8267,0.8858,0.7875,0.7866,0.3351,,0.4673,0.6779,18
DeepVelo,0.6691,0.8899,0.9628,0.6972,0.7407,0.8743,0.778,0.6126,0.8092,0.5424,0.9583,1.178,0.7452,1.1033,0.9211,1.1777,0.9907,1.0171,0.9812,1.159,1.183,0.7053,0.9566,0.6271,0.7235,1.1309,0.6537,0.9657,1.1937,1.0949,1.0666,1.2044,0.9998,,0.6724,0.977,0.6633,0.8397,0.9324,0.8474,0.7243,0.843,0.9568,0.9826,0.7667,1.0374,1.0974,0.85,1.1264,1.0606,0.8504,0.8644,0.5868,0.5387,0.8968,9
k-velo,0.6188,0.8835,0.767,0.7531,0.8179,0.8952,0.7418,0.6834,0.4713,0.5013,,1.2049,0.7788,1.1537,0.7753,1.1799,0.7635,0.9209,0.9762,0.9593,0.9873,0.6205,0.8253,0.6312,0.8893,1.1248,0.6924,,1.2091,1.1357,1.0921,1.2164,0.8818,,0.566,0.8974,0.6242,0.8715,1.0433,0.8161,0.7416,0.9687,0.9554,,0.8375,1.02,,0.8323,1.1323,1.0733,0.8103,0.9056,0.8022,0.5583,0.8695,11
LatentVelo,0.2383,0.9615,1.2031,,,0.8993,0.7892,1.0219,,,0.8699,1.2118,0.7549,0.7735,0.9211,1.073,0.3641,1.1565,1.1257,1.215,1.2303,0.9765,0.3454,0.6685,0.2154,1.2249,0.5253,0.9266,0.936,1.2412,1.2063,1.0232,0.4908,,0.8873,1.2069,,0.8703,0.5431,,0.8384,0.8425,0.427,1.1818,,1.0929,,,1.2321,1.1732,1.1355,0.6785,,0.0534,0.878,10
NeuroVelo,0.6978,0.914,1.0112,0.7147,1.1077,0.8896,0.7782,0.8008,0.8403,0.8869,0.9726,1.2008,0.7462,1.1411,0.9629,1.1956,1.055,1.0289,1.0503,1.1776,1.2032,0.7076,0.9793,0.655,0.8583,1.1103,0.7584,1.0045,1.1901,1.0896,1.1394,1.218,1.0347,,0.692,1.0338,0.7168,0.881,0.9322,0.6107,0.7243,0.9333,0.9568,1.0815,0.7706,1.0776,1.1287,0.8846,1.1604,0.7304,0.8471,0.8901,0.651,0.5854,0.9322,3
PhyloVelo,0.8251,0.8884,,,0.9352,0.8743,0.8854,0.8052,,1.0049,,,0.7452,1.1495,1.076,,1.0184,,,,,,,0.7581,0.7235,1.1575,0.5098,1.0615,,,,,1.0309,,0.7157,,1.074,,0,0.9672,0.7876,,0.9568,1.0116,0,1.0615,1.1599,0.9298,1.1536,1.1356,0.8504,0.7574,0.8302,0.4371,0.86109,12
Pyro-Velocity,0.4569,0.632,0.8733,,0.5494,0.5242,0.4927,0.7026,0.5601,0.5465,,0.988,,1.018,0.5961,1.1274,0.6077,0.7554,0.7264,1.1408,,0.3314,0.6295,0.5743,0.4966,,,1.055,,,0.9705,1.1538,0.8844,,0.4567,0.4279,,,0.6691,,,0.9378,,0.904,0.9828,0.9434,1.0793,0.6111,1.0462,,0.9739,,,,0.7618,15
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
scRNAkinetics,0.6757,0.8505,0.9809,,0.766,0.8741,0.7845,0.7766,0.8132,0.7576,0.9738,0.9935,0.7238,1.1181,0.8836,1.1735,0.9922,1.0181,0.9542,1.1518,,0.684,0.9705,0.6216,0.6939,1.1309,0.7392,,1.1963,1.0974,1.0648,1.2038,1.012,,0.6284,0.7384,0.7063,,0.9029,0.8474,0.7243,0.8758,0.9568,1.0082,,1.056,1.1006,0.8407,1.1495,1.0606,1.0136,0.8546,,0.5919,0.9117,8
