Method,33,22_CTCL,26,4,3,34,15,9,19,12,36,25,47,51,1,21,20,40,42,22_ctrl,30,17,18,28,8,46,24,27,55,41,11,39,62,13,49,44,37,43,63,61,31,53,14,38,32,10,48,5,7,54,29,23,45,6,AVG,RANK
cell2fate,0.284,0.3137,1.4137,0.747,,,1.3226,1.4717,1.2429,,1.4582,0.9893,0.7916,,,0.95,0.8837,,1.6463,0.54,0.3756,0.9767,0.379,,1.0983,1.2308,0.9314,0.6385,0.6454,1.4246,,,,,,,,,,0.7999,0.7198,0.5679,,,0.5675,,,,1.1257,0.9102,,1.5233,,0.3298,0.912874194,18
cellDancer,0.0835,0.1324,0.3498,0.2105,0.3092,0.2184,0.3897,0.722,0.4241,0.3929,0.6353,0.3875,0.2383,0.414,0.3958,0.2463,0.2767,0.1982,0.4575,0.161,0.1013,0.2489,0.1226,1.1269,0.38,0.5218,0.2392,0.1282,0.6954,0.4173,0.227,0.2379,,0.1046,0.1162,0.3191,0.1934,,0.3824,0.2204,0.2249,0.1865,0.5066,,0.1651,0.2157,,0.2163,0.3791,0.2506,0.2226,0.4452,0.1162,0.0959,0.309008,20
DeepVelo,0.374,0.3589,1.2156,0.8399,1.0985,0.307,1.4794,1.7384,1.5553,1.145,1.2888,1.0252,0.8057,1.1609,1.1443,1.1361,0.9569,0.7949,1.648,0.638,0.3812,1.0423,0.4772,1.1125,1.1408,1.4173,0.9842,0.4853,1.5643,1.211,0.4817,0.715,1.0737,0.4137,0.4633,1.148,0.8074,0.4565,0.8889,0.873,0.6534,0.5413,1.3238,0.9671,0.6665,0.7342,,0.7319,1.2525,0.9078,0.8784,1.5623,0.4505,0.3651,0.922318868,17
k-velo,0.3866,0.4396,1.3299,1.031,1.4363,0.9107,1.2409,1.9567,1.6987,,1.5029,1.0221,1.0192,1.2499,1.3317,0.9795,1.0674,0.4722,1.6563,0.6672,0.4237,1.2346,0.4123,1.2069,1.1464,0.8826,1.2597,0.4656,1.7363,1.1989,0.9573,0.833,0.765,0.4055,,1.1975,0.8376,0.6019,0.8796,0.7951,0.6788,0.8951,1.5201,1.4113,0.7953,0.7917,,0.4588,1.2762,0.8444,,1.6386,,0.3796,1.006697959,9
LatentVelo,1.4612,0.2263,2.6453,0.5091,1.5741,2.0473,2.1829,1.3684,3.1263,1.6092,1.4457,1.4336,1.1083,,1.6457,1.3243,0.7751,2.0888,1.7599,0.493,1.2451,1.2099,1.1524,2.5913,1.3393,,1.8397,0.3109,0.7026,,,1.3508,,0.4287,,2.1752,0.4214,0.1914,0.978,1.5184,0.062,0.3392,2.8866,,0.5891,,,,1.242,0.8046,1.8508,1.3448,0.5406,,1.300913953,3
NeuroVelo,0.4068,0.3646,1.487,0.9446,1.3103,0.8024,1.424,1.6162,1.4577,1.1459,1.3809,1.0721,1.03,1.144,1.1563,1.2478,0.9695,0.9377,1.648,0.6465,0.3829,1.0777,0.4923,1.1836,1.1767,1.3727,1,0.6307,1.6321,1.4248,0.8664,0.831,1.1389,0.428,0.5017,1.148,0.9006,0.6474,0.8728,1.2783,0.7286,0.7793,1.3369,1.0754,0.6868,0.752,,0.8776,1.2617,1.649,0.9087,1.5885,0.5615,0.6072,1.018718868,8
phylovelo,,,1.2156,,1.1487,0.7435,1.0827,1.4038,1.0926,,1.7032,1.142,0.9811,1.1531,1.2212,,,0,1.55,,,1.23,,0.3774,1.2003,0,,0.5906,1.5643,1.4332,0.9111,,0.78,,1.5101,1.148,,,0.4701,0.3994,,0.7637,1.3238,0.6277,,,,,1.2525,0.6596,0.6628,,0.7015,0.5785,1.019440625,7
Pyro-Velocity,0.6289,,1.6937,0.9399,1.8104,1.0413,1.765,1.4829,1.5729,,1.7197,1.2032,1.2212,1.2673,1.3432,1.2707,1.2434,0.9303,,0.7618,,1.2911,0.5944,,1.3114,1.0484,1.4252,,0.7703,,1.0195,,,0.6818,0.5689,,1.6377,1.278,,,,0.9231,,,1.3179,0.8128,,,1.5064,,0.8403,1.6528,0.717,0.5292,1.161722222,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9265,
