,33,22_CTCL,26,4,3,34,15,9,19,12,36,25,47,51,1,21,20,40,42,22_ctrl,30,17,18,28,8,46,24,27,55,41,11,39,62,13,49,44,37,43,63,61,31,53,14,38,32,10,48,5,7,54,29,23,45,6,AVG,RANK
cell2fate,0.2329,0.2626,1.85,0.755,,,1.1689,1.8772,1.2535,,2.207,1.4318,0.7131,,,0.9769,0.8496,,2.3445,0.4591,0.3186,1.0635,0.3157,,1.3923,1.1656,0.9535,0.5763,0.6387,2.2265,,,,,,,,,,0.903,0.6674,0.4814,,,0.52,,,,1.2196,0.8711,,2.1646,,0.4606,1.042596774,18
cellDancer,0.0759,0.2066,0.8739,0.3478,0.5678,0.3341,0.4953,0.953,0.5536,0.795,0.8624,0.8127,0.3042,0.5162,0.6984,0.396,0.3254,0.3961,0.7004,0.2427,0.1046,0.3527,0.1405,1.4883,0.5254,0.6302,0.364,0.193,0.8884,0.6519,0.4486,0.455,,0.122,0.2548,0.3861,0.3489,,0.8217,0.5983,0.2376,0.2108,0.8392,,0.1961,0.405,,0.5998,0.4349,0.3214,0.3393,0.5137,0.2071,0.4043,0.478822,20
DeepVelo,0.312,0.3044,1.5355,0.8779,1.1795,0.3104,1.3132,2.8769,1.7669,1.2306,1.9168,1.6409,0.7881,1.3922,1.7281,1.212,0.9345,0.9038,2.3535,0.551,0.3213,1.1541,0.4076,1.5155,1.4854,1.7864,1.0393,0.4336,1.8767,1.4281,0.8677,0.8312,1.7396,0.3497,0.4274,1.2348,0.8191,0.598,1.5674,0.9937,0.5942,0.4919,1.7149,1.4529,0.6418,0.9578,,1.0288,1.4742,0.8648,0.9222,2.3269,0.4543,0.4864,1.121054717,14
k-velo,0.3169,0.4112,1.4666,1.3482,1.5862,0.9847,1.0824,3.0385,2.4721,,2.611,1.6606,0.9999,1.5523,2.1404,1.0057,1.1467,0.467,2.3105,0.6668,0.3512,1.614,0.3543,1.499,1.5581,1.0551,1.5435,0.4126,2.1557,1.4349,1.8277,0.9441,0.8988,0.337,,1.292,0.916,0.6283,1.6127,0.8732,0.5976,0.8107,1.9519,2.2109,0.7345,1.507,,0.5605,1.4417,0.7851,,2.7591,,0.4578,1.273320408,8
LatentVelo,1.4184,0.1833,12.3184,0.4215,1.6127,3.9774,2.8425,1.3569,8.3389,1.8473,1.6231,2.1898,1.0232,,7.2222,1.2205,0.6728,3.3403,2.0751,0.4072,1.3254,1.3602,1.0722,5.1195,1.6755,,5.5991,0.255,0.6183,,,1.5602,,0.3528,,5.1634,0.3489,0.2254,19.2115,2.287,0.0503,0.2759,3.7833,,0.4932,,,,1.3694,0.6865,1.9542,1.405,0.4571,,2.575367442,2
NeuroVelo,0.3344,0.3039,1.6657,0.9375,1.3833,0.7974,1.2392,2.0375,1.5097,1.2073,2.0027,1.63,0.9626,1.3146,1.698,1.2814,0.9434,1.0671,2.3535,0.5506,0.3243,1.1609,0.4112,1.4485,1.5231,1.6743,1.0157,0.5703,1.9714,2.209,1.0518,0.9349,1.668,0.3564,0.4419,1.2348,0.8691,0.7246,1.4769,1.442,0.6719,0.6845,1.7317,1.499,0.6071,0.9492,,1.2383,1.4686,2.3242,0.9261,2.3799,0.5318,0.5568,1.194301887,9
phylovelo,,,1.5355,,1.232,0.7478,0.9382,1.7072,1.088,,2.4234,1.4449,0.9336,1.2479,1.5052,,,0.6344,1.9127,,,1.1456,,0.7531,1.3405,0.9242,,0.5184,1.8767,1.4376,0.8812,,0.9117,,1.3052,1.2348,,,1.0266,0.5847,,0.6737,1.7149,0.5812,,,,,1.4742,0.5829,0.6344,,0.7033,0.6084,1.125414706,13
Pyro-Velocity,0.5484,,3.3763,1.0325,2.8421,1.0864,1.7391,2.3246,2.663,,3.7354,2.0193,1.2771,2.1134,2.8703,1.7346,1.5338,1.3916,,0.7235,,2.1698,0.5257,,2.5055,1.0261,2.41,,0.7926,,1.8725,,,0.6832,0.5809,,3.9079,1.3633,,,,1.0476,,,1.3892,1.5312,,,2.9338,,0.8593,5.1456,0.7671,0.8742,1.816580556,3
scRNAkinetics,0.3091,,2.0634,0.9655,1.351,0.8023,1.2101,2.1055,1.7459,1.1632,2.479,1.6511,0.9596,1.438,1.7229,1.2711,0.95,1.0153,2.3535,0.6158,0.3232,1.257,0.4567,1.33,1.4782,,1.0036,0.4336,0.6662,1.4281,1.2453,,,0.4939,0.4173,1.2348,2.0119,0.7525,1.418,1.004,0.5793,0.6924,1.6714,1.4033,0.6874,0.9692,0.3712,,1.4789,0.8648,,2.4085,0.5249,0.5992,1.153689583,10
