Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500,AVG,Reversed_rank
cell2fate,0.52,0.51,0.49,0.52,,,,0.5,,,,0.52,0.49,0.5,0.48,0.5,,0.68,,,,0.49,0.48,,,0.52,0.51,,,,,0.49,0.54,0.5,,,0.5,0.51,,0.45,0.55,,0.48,0.49,,,0.52,0.47,,0.47,,,,0.54,0.51,,,0.52,0.52,,,,,,0.5,0.52,,,0.52,0.52,,0.51,,,,0.53,0.49,,,0.5,0.48,,,,0.5,0.49,0.5,0.54,0.49,0.51,7
cellDancer,0.58,0.67,0.67,0.45,0.67,0.75,0.31,0.51,0.72,0.64,0.51,0.64,0.62,0.51,0.73,0.68,,0.45,0.53,0.54,0.46,0.34,0.57,,0.46,0.31,0.58,,0.69,0.9,0.75,0.69,0.73,0.61,,0.64,0.45,0.66,,0.62,0.69,0.52,0.57,0.38,,0.49,0.72,0.57,,0.63,0.52,0.46,0.44,0.84,0.43,,0.49,0.44,0.6,,0.6,0.54,0.64,0.61,0.56,0.68,,0.55,0.5,0.58,,0.76,0.52,0.85,0.41,0.76,0.76,,0.48,0.75,0.76,0.63,0.73,0.37,0.56,0.34,0.37,0.43,0.63,0.58,15
DeepVelo,0.53,0.52,0.53,0.49,0.54,0.65,0.59,0.63,0.47,0.51,0.44,0.53,0.59,0.49,0.59,0.46,0.59,0.52,0.46,0.55,0.48,0.54,0.57,0.57,0.5,0.5,0.54,0.69,0.59,0.52,0.54,0.53,0.55,0.47,0.7,0.49,0.53,0.63,0.71,0.47,0.54,0.53,0.45,0.69,0.72,0.46,0.43,0.43,0.61,0.47,0.48,0.84,0.74,0.78,0.93,0.66,0.81,0.53,0.92,0.58,0.57,0.51,0.7,0.51,0.5,0.58,0.51,0.51,0.56,0.61,0.77,0.26,0.42,0.73,0.46,0.59,0.5,0.59,0.56,0.38,0.52,0.5,0.55,0.58,0.49,0.45,0.5,0.53,0.5,0.56,12
k-velo,,,,,,,,,,,,,,,,,0.56,0.55,0.5,0.57,0.57,,0.47,0.56,0.59,,0.56,0.67,0.52,,0.53,0.5,,0.49,0.62,,,0.47,0.69,0.51,0.53,0.64,0.63,0.65,0.67,0.68,0.51,0.56,0.57,0.85,0.52,0.84,0.57,0.93,0.71,0.68,,,0.77,0.56,0.44,0.48,0.55,0.42,,0.44,0.5,0.43,,0.47,0.7,0.79,0.5,0.56,0.39,0.88,0.59,0.6,,,0.57,0.52,0.54,0.63,0.51,0.55,0.62,0.56,0.52,0.58,16
LatentVelo,0.51,0.46,0.47,0.44,0.49,0.79,0.62,0.62,0.83,0.43,,0.46,0.52,,0.5,0.56,0.49,0.47,0.47,0.34,0.49,,0.51,0.49,0.39,,0.41,,0.58,0.47,0.29,0.45,,0.52,0.55,0.58,,0.5,0.52,0.56,0.73,0.56,0.51,0.49,0.51,0.55,0.57,0.41,,0.43,0.5,0.45,0.55,0.47,0.52,0.48,0.47,,0.52,0.54,0.46,0.52,0.62,0.43,0.47,0.53,0.52,0.5,,0.42,0.53,0.83,0.41,0.21,0.52,0.36,0.69,0.51,0.74,,0.36,0.5,0.75,0.51,0.47,0.51,0.47,0.58,0.51,0.51,8
NeuroVelo,0.42,0.49,0.49,0.49,0.65,0.41,0.34,0.29,0.16,0.39,0.53,0.4,0.47,0.51,0.64,0.47,0.56,0.65,0.5,0.64,0.38,0.46,0.52,0.5,0.41,0.49,0.44,0.51,0.68,0.18,0.83,0.16,0.43,0.41,0.51,0.3,0.41,0.63,0.55,0.59,0.27,0.34,0.4,0.33,0.43,0.31,0.5,0.73,0.51,0.36,0.53,0.54,0.57,0.48,0.53,0.46,0.49,0.43,0.44,0.53,0.62,0.47,0.49,0.5,0.47,0.61,0.51,0.53,0.53,0.6,0.46,0.83,0.43,0.84,0.04,0.88,0.84,0.46,0.04,0.52,0.28,0.65,0.68,0.35,0.42,0.35,0.26,0.49,0.51,0.48,3
PhyloVelo,,0.5,0.5,0.47,,,0.34,0.47,0.46,0.48,0.5,0.46,0.5,0.51,0.42,0.47,0.5,0.47,0.49,0.48,0.47,0.44,0.46,0.49,0.47,0.45,0.51,0.5,0.48,0.5,0.5,0.46,0.47,0.5,0.5,0.45,0.47,0.56,,0.49,0.48,0.5,0.39,0.53,,0.52,0.47,,0.5,0.48,0.5,0.52,0.48,0.52,0.51,0.5,0.47,0.43,0.45,0.5,0.49,0.5,0.5,0.49,0.5,0.47,,0.46,0.5,0.48,0.5,0.46,0.5,0.48,0.39,0.41,0.46,0.5,0.4,0.47,0.38,0.48,0.5,0.42,0.45,0.45,0.43,0.52,0.51,0.48,2
Pyro-Velocity,0.55,0.5,0.5,0.56,0.51,0.62,0.65,0.55,0.73,0.52,0.47,0.45,0.51,0.52,0.39,0.44,,0.61,0.5,0.58,0.45,0.44,0.58,0.48,0.41,0.62,0.28,,,,,,,,0.46,,,,,0.51,0.53,0.57,0.49,0.49,0.43,0.61,0.44,0.62,,0.49,0.52,0.5,0.58,0.53,0.5,0.47,0.45,0.45,0.39,,0.6,0.48,0.56,,0.47,,0.49,,0.45,,,0.73,0.46,0.5,0.94,0.53,0.36,0.49,0.93,0.43,0.21,0.48,0.48,,0.4,,,0.46,,0.51,9
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
scRNAkinetics,,,,,,,,,,,,,,,,,,0.46,,,0.46,0.45,0.5,,0.47,0.51,0.33,,0.39,,,0.36,0.51,0.34,,0.32,0.51,0.43,,0.37,,0.39,0.35,0.44,0.55,0.35,0.39,,0.5,0.5,,,0.53,0.19,0.56,0.53,0.53,0.55,,,0.5,,0.46,0.49,0.54,0.5,,0.49,0.49,,0.6,0.44,0.49,0.53,0.41,0.54,0.49,0.46,0.46,,0.5,0.32,,0.38,0.47,0.49,0.39,0.48,,0.46,1
