Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene100000,disconnected_cell1000_gene500,disconnected_cell1000_gene50000,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
cell2fate,-0.507021026,0.012761922,0.012761922,0.693328558,0.580335505,-0.668690537,,,-0.239457102,0.222942607,0.026577192,-0.402014809,0.744273031,0.180128525,,-0.456740099,,0.154121838,-0.104485252,-0.13337811,0.290604731,,-0.416155173,-0.204658675,0.589486667,,,,-0.049458432,-0.231764524,-0.477824262,-0.150143334,,-0.629848118,-0.37817285,-0.145544364,,-0.65324682,0.563023758,0.534258854,0.692067535,0.47882924,,0.622878649,-0.84416416,-0.389532675,,0.690813314,,0.724675606,0.880630839,0.974180047,0.950816266,,0.819959813,0.101798263,0.94093389,,,,0.588562284,-0.270875545,-0.259267026,0.050397597,0.751286615,-0.062094884,,0.330072223,-0.010817991,0.773196517,,0.661358975,,0.866467528,-0.827983219,0.829191837,0.840419224,,-0.87983541,0.686841347,0.532762688,,-0.176247437,0.412278626,0.554822364,0.522780788,0.180263884,0.598671438,-0.744099578
cellDancer,0.02894104,0.504884924,0.504884924,-0.394326722,-0.841053656,0.881387578,0.305675358,0.336899614,-0.225194748,0.64227694,-0.126187505,0.547923594,0.511712536,0.704966678,,0.086867871,0.089723051,0.061114599,-0.238524162,0.138912891,-0.425175948,,-0.18932806,0.134225975,0.028767385,,-0.136231162,-0.103515033,0.591305136,0.171552488,-0.021519548,0.605029627,,0.193735478,-0.115974838,0.791060209,,0.401201501,0.777741122,-0.714525869,-0.389184018,-0.933631355,,-0.640221599,0.810227837,0.223011553,,0.343441426,0.163289498,-0.083974397,0.005758974,0.918764346,0.79881213,,-0.185095118,-0.116598602,0.560863345,,0.590120368,0.25410281,0.769515228,0.431957577,0.474527086,-0.621229025,0.893089411,-0.087551314,,0.233176722,0.293162041,0.884592333,,0.462315464,-0.580524103,0.793597194,0.50009218,0.696010585,0.836110829,,0.656763799,0.7492093,0.833237024,0.345513839,0.80747139,-0.712195283,-0.318512692,-0.8456677,-0.864094263,-0.139175791,0.556269397
DeepVelo,0.752504303,0.858428194,0.703991885,-0.180215246,0.484797062,0.639479074,-0.463178856,0.002581898,-0.316525494,0.819342621,0.400812227,0.447212607,0.068644576,-0.306858162,0.215488265,0.087511894,0.178823974,0.202739974,-0.52275325,-0.567547683,-0.122239328,0.466379318,0.141510308,0.307180277,0.398835439,0.841502629,0.591280297,0.731211034,0.427746021,-0.460196434,0.469571075,0.745643346,0.818205304,0.734073322,0.27214573,0.739278082,0.90188102,-0.170616699,0.865606529,0.223599455,-0.002321013,0.535417296,0.8967092,0.364896805,-0.435200178,0.829737117,0.743599289,-0.060668589,0.12296867,0.710986018,0.888833928,0.597626825,0.963951362,0.879411438,0.932903001,0.096847525,0.951422151,0.251190455,-0.766603462,0.058699713,-0.023349512,-0.851428995,0.022050991,-0.076221348,0.856908429,-0.163218391,-0.005194773,-0.2216796,0.526345858,0.950349648,0.708467018,0.029289034,0.40557316,0.840049391,0.777680043,0.023666276,0.885196345,0.652329317,0.887409704,-0.647286612,0.907534911,0.382408602,0.649239327,0.191913641,-0.00128713,-0.295505551,0.151135936,-0.16615378,0.039332553
k-velo,,,,,,,,,,,,,,,0.031247985,0.01787166,-0.021120775,0.052752619,-0.127167464,,-0.120211291,0.049485037,0.09202004,,-0.061181405,0.132231323,0.050807082,,-0.044740329,0.004658585,,-0.191478855,0.11355901,,,-0.180743718,0.122743486,-0.007742716,0.070718412,0.039317501,0.15533458,-0.026826737,0.109052774,-0.0231528,-0.024148339,0.162913119,0.013528598,0.039170451,-0.002475331,0.048237209,0.139314539,0.781835297,0.419374589,0.127691654,,,0.312739762,0.039998076,-0.171817244,0.001150384,-0.061811875,-0.20220911,,0.09816277,-0.283856168,0.011906676,0.348420435,-0.088706697,,-0.086335072,0.086781948,0.023057095,-0.00052148,0.152268635,-0.064140115,0.286051667,0.212904402,0.082772638,,,0.424236868,0.014672791,-0.050347851,0.017084484,0.027999624,-0.006304537,-0.314469982,-0.152429754,0.023789772
LatentVelo,0.034091636,-0.023928809,-0.056857391,0.001781228,-0.169010593,0.056779536,0.0667201,0.03968472,,0.026405719,-0.04715917,,0.028296982,0.003661486,-0.009006425,-0.027680996,-0.008022452,0.018109202,0.054109742,,0.056274119,-0.003077893,0.025207517,,0.052125209,,-0.000757973,-0.002378781,-0.048403851,0.024765231,,0.02837409,0.011203457,0.01891644,,-0.01835014,-0.002071994,-0.075498934,0.036691982,0.068241142,-0.11495459,-0.059986998,0.01210019,0.317700463,0.00352301,0.035724409,,0.03968472,-0.027674201,-0.001646905,-0.020973569,0.047504121,0.034811434,-0.02142476,0.02209865,,0.012572701,0.001554097,0.047946144,0.019598887,-0.133372467,-0.008829728,-0.053594794,0.022005198,-0.052692824,0.002962663,-0.011493652,0.11076703,,-0.040464754,0.035277165,0.0667201,-0.010359482,0.041541654,-0.08190342,-0.454295182,-0.076312394,0.007550167,-0.05798194,,-0.055959322,-0.003267476,-0.08337196,-0.060912507,-0.021238934,0.132036126,-0.079617638,0.236441465,-0.007008234
NeuroVelo,0.661443285,-0.665088379,-0.665088379,0.646508141,0.374240831,0.285921529,0.70151906,0.770756562,0.07717566,0.516385977,-0.656549975,0.065507394,0.789142632,-0.760280221,0.354001811,0.387742955,-0.022939258,0.455052742,-0.109267131,0.337857856,0.232800956,0.437113826,-0.523466249,0.278420076,0.754082337,0.839271875,0.864282691,0.473238811,0.747885556,0.911628872,0.350830686,0.785602848,0.849170248,0.747278851,0.416648719,0.824523245,0.901349953,0.799190685,0.830699605,0.666438969,0.542143358,0.408435662,0.913213472,0.850291556,-0.755198942,0.848300227,0.908869449,0.778094732,-0.041556821,0.752639148,0.930640534,0.982959208,0.94153827,0.884000013,0.922935927,0.150131562,0.951090228,0.280154035,0.883414381,0.205163245,0.577609751,0.824078335,0.20732028,0.548565285,0.860069272,-0.155109295,0.076811163,0.887099799,0.355994084,0.969114924,0.784039049,0.702947106,-0.528610372,0.839274338,0.856170641,0.806801194,0.881705384,0.698870154,0.870423076,0.53213439,0.881288435,0.825836977,0.783030965,0.468005407,0.425733562,0.470681415,0.611112835,0.396862573,0.791806953
PhyloVelo,,-0.172071807,-0.172071807,0.350897873,0.364010478,-0.045053077,0.256908387,0.059098303,0.006059249,-0.038400158,-0.122750121,0.025251434,0.108858724,-0.39605651,0.021263399,-0.104149973,0.006230008,0.01812005,-0.073127848,0.018799387,0.131930066,0.009160573,-0.03207733,0.118566471,0.564418236,0,0.112044399,0.014213583,0.076160796,0.105074066,-0.302916738,-0.018087976,0.032008927,-0.441893763,0.01023819,0.008022685,,-0.12339955,0.084626232,0.228423094,0.274602403,0.250965768,,0.227480327,-0.39605651,,0.206426391,0.059098303,0,0.131851284,0.41425994,0.900061235,0.773739738,0.143334553,0.551401344,0.119427064,0.561029614,0.038360486,0.176228899,0,0.141256603,0.210928897,0.126572764,0.367324589,0.431760525,-0.052228746,0,-0.000582516,0.149143158,0.113932509,0.269873592,0.256908387,0.03957019,0.282196083,-0.441534077,0.536265213,0.58477788,0.133987445,-0.555744714,0.074819605,0.115627782,-0.0562247,0.021334459,0.100378558,0.3166929,0.070346129,0.089167478,0.136616366,-0.192497103
Pyro-Velocity,0.368442332,,,0.746312967,0.245363466,0.145201787,0.067031345,0.397940521,-0.093202561,0.345747429,0.214005986,0.058261321,0.743139949,0.47054839,,0.199724636,,0.172535774,-0.016338988,0.075274634,0.423528772,0.011514042,0.112320122,-0.028550297,0.633892197,,-0.328642639,0.119459998,-0.73745124,-0.896361763,-0.56527907,0.261308425,0.238176883,-0.871030971,-0.041715404,0.672664346,,0.316686336,-0.049725776,0.645825759,0.711073462,0.832338129,0.185900583,0.645825759,0.47054839,-0.343495379,,0.510599475,,0.545580422,0.546199936,0.760363889,0.635277799,0.422167178,0.592553142,0.027622571,0.489094144,,0.154398763,,0.204665763,,-0.13357219,0.079045344,,0.036340657,-0.360139818,,-0.001420913,,,0.067031345,,0.319270658,-0.08464266,0.389769586,-0.599180357,0.138609218,0.049657859,0.081101189,0.586117234,0.12100508,-0.013979343,-0.065698693,0.559764985,0.274096035,-0.487085208,0.505568897,-0.765273493
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scRNAkinetics,-0.230324499,-0.548410466,-0.555475359,0.703716964,0.561594843,,0.636058732,0.541981086,,-0.488794388,0.021581704,,0.745835494,-0.809235882,,-0.097074231,,,0.055968386,-0.02159395,0.151696158,,-0.047269213,-0.015553731,0.327151138,,0.045654825,,,0.089060825,2.51E-18,-0.054522015,,-0.405734994,-0.030242907,-0.081490586,,-0.062819748,,0.38930935,0.254132025,0.079676054,0.011133089,0.14400864,-0.261909743,,0.1012317,0.091840642,,,0.508959427,0.903905199,0.84386066,0.119021327,0.388566105,0.173759475,,,0.153454191,,0.169165261,0.004096782,,0.03219167,-0.039021216,,,-0.034367416,-0.088699387,,0.208066314,0.306981696,0.045728744,0.368750435,-0.21487069,0.412497567,0.303164584,0.102148536,-0.238466972,,0.225141258,-0.051301722,,0.068812899,0.357283221,0.170358036,0.101674586,0.035686817,
scVelo dynamical,0.721744024,-0.085597763,-0.085597763,0.408424663,0.843374798,-0.165660021,0.624318105,0.591129939,-0.135851961,0.629494924,0.416627341,-0.041421863,0.750311582,-0.3352833,0.01673439,0.092749715,0.058418446,-0.041285796,0.225784386,0.703371435,0.093341593,0.03279447,0.407314334,0.429044857,0.733851225,0.669789515,-0.854599459,-0.66854936,-0.836557644,-0.622296198,-0.636487492,-0.794166285,0.68818182,-0.8265178,-0.597556699,0.825931082,0.842960899,0.807877502,0.69577787,0.640963894,0.701312372,-0.156042419,0.687034315,0.386772778,0.294878404,-0.648124379,0.686711159,0.340431493,0.172086277,0.741881635,0.9106475,0.980969587,0.9598571,0.839075136,0.827624326,-0.210166629,0.953961991,-0.052058411,-0.261643895,-0.040834523,0.454580359,0.673945358,-0.026597971,-0.29191761,0.509372365,-0.063978038,-0.018338878,0.36782291,0.269916912,-0.89865904,,0.635895582,-0.626179146,0.82936138,-0.770577947,0.818533555,-0.880283989,,-0.678665014,-0.713525336,0.896210911,-0.729991061,0.292531292,0.16884061,0.391343278,-0.384331696,-0.191030555,0.034298737,-0.823321693
scVelo stochastic,0.300939867,-0.238607817,-0.238607817,0.701858139,0.374492614,0.093561813,0.633600931,0.693694408,-0.027405995,-0.467362213,-0.449575705,-0.117948774,0.730925871,-0.752952708,-0.09621932,-0.33070189,-0.019594392,0.152585552,-0.16602757,0.268186001,0.317720022,-0.206968029,0.04188383,-0.21008115,0.495661614,0.5668208,0.478034591,-0.398498461,0.474888918,-0.212590013,-0.279947175,-0.563945882,-0.150217971,-0.56738981,-0.089781956,-0.287350775,0.615460575,-0.084070427,0.558781722,0.613591025,0.701114103,0.637675126,0.432749012,0.662873122,-0.797727967,-0.45431139,0.789173231,0.703057878,0.022876911,0.724317188,0.884931533,0.975525424,0.953293224,0.557581432,0.832319593,-0.003301526,0.944817448,-0.005215956,0.666566279,0.081254945,0.666303209,0.061699555,0.125556823,0.002718631,0.762846315,-0.086368495,0.006230135,0.525059155,0.039981549,-0.832206605,0.696087937,0.645970006,-0.120387974,0.852496508,-0.838680756,0.818790702,0.844160348,0.619427105,-0.80859136,-0.091047834,-0.409302995,0.081450376,-0.180684104,0.40569168,0.598284014,0.503023847,0.211179098,0.57956367,-0.74579484
SDEvelo,0.012458579,-0.24540922,-0.24540922,0.29300763,0.222335333,,0.305743969,0.103067118,,0.06173344,-0.067183994,,0.265279878,-0.527682107,0.02919781,-0.111185345,-0.009794648,0.06047521,0.175801143,,0.192069614,0.012353489,-0.008104984,,0.351913502,0.052582184,0.058359837,-0.044781859,0.096084885,0.163284948,,-0.037644545,0.028360869,-0.351281663,,0.02433298,0.063561935,-0.085981254,0.07764766,0.384948378,0.367553088,0.214971314,0.034680527,0.142813931,-0.527682107,-0.187021121,0.202885444,0.103067118,0.00630368,0.110306501,0.530984714,0.871418646,0.865018206,0.158025333,0.403583982,,0.736145472,0.029591531,0.195669965,0.024185522,0.120375425,0.127159934,,0.283267556,0.350748675,0.027000463,-0.193417708,0.20507951,,-0.003243962,0.29063485,0.305743969,0.035652138,0.341981707,-0.425040788,0.347265548,0.384485431,0.127219976,-0.537098076,,-0.198478941,-0.049036316,0.028713824,0.068813135,0.303159642,0.170358366,0.101674419,0.261849001,-0.346492328
