Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500,AVG,Rank,Reversed_rank
cell2fate,0.93441166,0.988248015,0.887675558,0.989630395,,,,0.842305801,,,,0.939194338,0.948314977,0.854985659,0.985836652,0.947378893,,0.763787616,,,,0.483815239,0.91444993,,,0.765579752,0.985889537,,,,,0.959455974,0.519353847,0.926814314,,,0.763019038,0.920607769,,0.5579425,0.835869239,,0.976706347,0.94732734,,,0.929479759,0.965757055,,0.997465426,,,,0.983476424,0.913997341,,,0.793209574,0.928228765,,,,,,0.777188634,0.892754384,,,0.801641677,0.966285126,,0.644859687,,,,0.972189839,0.909537136,,,0.875339341,0.906670765,,,,0.992284966,0.872038036,0.992243883,0.983542692,0.949594077,0.881919666,5,15
cellDancer,0.059708629,0.069373009,0.069373009,0.818801375,0.092690832,0.159119319,0.700752072,0.007321472,0.887881439,0.909933643,0.009721457,0.065772528,0.022762609,0.007655778,0.850291351,0.092610247,,0.062494532,0.02696766,0.087570854,0.071397607,0.006494179,0.150322507,,0.086405977,0.00782613,0.102642653,,0.066450473,0.01539298,0.105717147,0.073620525,0.007548703,0.137898386,,0.073618909,0.01049521,0.146032752,,0.091504622,0.085168136,0.602934882,0.64087507,0.707345349,,0.593460955,0.093448889,0.105666755,,0.911014532,0.020449638,0.149877726,0.068981433,0.598893796,0.117101665,,0.077672183,0.006456861,0.09176498,,0.112191225,0.017646445,0.159376885,0.101602731,0.015325452,0.132503038,,0.128436817,0.01078585,0.149144875,,0.886889518,0.018742358,0.151304573,0.065545653,0.65397876,0.103797448,,0.080582916,0.001248843,0.159763117,0.067882251,0.104900934,0.66735178,0.649830032,0.655239342,0.636871741,0.645207753,0.113406645,0.22746546,18,2
DeepVelo,0.949850138,0.935938942,0.839704377,0.996760951,0.708367308,0.918629103,0.948423373,0.30434709,0.952527841,0.998269238,0.278140473,0.883338611,0.653612972,0.356212598,0.996330403,0.935007121,0.805561886,0.722048362,0.225029974,0.912224483,0.852669267,0.359142968,0.938861117,0.769570308,0.8118507,0.400555824,0.943280997,0.994924465,0.578992257,0.31535142,0.82409457,0.807706097,0.320224644,0.951472422,0.79685834,0.880905362,0.356212478,0.948727161,0.790455168,0.667604846,0.860356937,0.979017176,0.996810429,0.979693035,0.79132915,0.959462138,0.88058696,0.960600225,0.66722618,0.998396797,0.20377464,0.907315007,0.783100851,0.991879985,0.909300601,0.674405754,0.858604451,0.358159228,0.932680683,0.809839938,0.73811669,0.220698681,0.931147589,0.899831166,0.329940446,0.945388866,0.473215934,0.9435924,0.405662239,0.967314659,0.654012684,0.998781385,0.228526266,0.945402852,0.798447677,0.991751235,0.841707448,0.603505465,0.754330543,0.337017782,0.906529282,0.607344141,0.851776813,0.998150193,0.996330873,0.997268983,0.994664734,0.995652965,0.866259164,0.768030281,9,11
k-velo,,,,,,,,,,,,,,,,,0.375922046,0.181133316,0.131804729,0.210812809,0.563031576,,0.367664912,0.350280898,0.331741927,,0.17631376,0.361510102,0.067307916,,0.208788896,0.403439772,,0.244118895,0.342501846,,,0.296822374,0.352318178,0.076579739,0.13937652,0.867139422,0.778930219,0.843528564,0.365096606,0.920972217,0.144837062,0.238415733,0.257386004,0.773625352,0.118018464,0.317012239,0.552974688,0.788465649,0.552430673,0.255576275,,,0.319900304,0.388924015,0.243161482,0.278042795,0.37102974,0.160817271,,0.451959394,0.004111069,0.162957668,,0.393668304,0.270319705,0.923580066,0.138679153,0.181923255,0.610698547,0.687653407,0.180916232,0.244331964,,,0.188303729,0.036403114,0.10065729,0.877209374,0.723363425,0.914926281,0.923648387,0.778668008,0.215916198,0.388977862,15,5
LatentVelo,0.995748819,0.994587318,0.993287534,0.999728575,0.999616676,0.999889377,0.999819462,0.997689435,0.998765045,0.993702002,,0.997753634,0.997326733,,0.999617882,0.995520353,,0.999652455,0.999877287,0.99962454,0.99697773,,0.999130695,,0.995596024,,0.998438164,,0.999621567,0.999274458,0.99891061,0.997376078,,0.994237107,,0.997049854,,0.991963236,,0.999688215,0.999521125,0.999892638,0.999676179,0.999450183,,0.999520344,0.996246321,0.997108824,,0.993702002,0.99995803,0.999192252,0.997752707,0.999170663,0.99643455,,0.990044327,,0.99238825,,0.999649821,0.999838578,0.999293488,0.991409067,0.999052402,0.999089058,,0.996641899,,0.99498949,,0.998765045,0.999886817,0.998602823,0.998717605,0.999663098,0.99391287,,0.993916772,,0.98865683,0.999948959,0.999813046,0.999873399,0.999292022,0.999849817,0.999516302,0.999778911,0.991960032,0.997538933,3,17
NeuroVelo,0.996317982,0.996899963,0.996899963,0.999992902,0.999784384,0.999978062,0.999972228,0.996719706,0.999957153,0.999962386,0.99697055,0.996523353,0.996290321,0.996287683,0.999988655,0.995069443,0.999852386,0.999957842,0.999509617,0.999995558,0.993344443,0.997256769,0.996913086,0.999946905,0.989857953,0.997651959,0.994075978,0.999792818,0.999731844,0.997129329,0.999951622,0.99468569,0.997459334,0.997837524,0.999919455,0.990685617,0.997700063,0.997243809,0.999896174,0.999865369,0.999940988,0.999987488,0.999993704,0.999986357,0.999894759,0.99998335,0.994467285,0.996900674,0.999901427,0.999965475,0.999473811,0.999970507,0.990348658,0.999973131,0.995632416,0.999249294,0.98806544,0.996612958,0.994157756,0.99996153,0.999820353,0.998671687,0.999951974,0.996768126,0.997036695,0.998174313,0.999952469,0.994487053,0.997019155,0.9956839,0.999899862,0.999974771,0.999316074,0.999986697,0.993740703,0.999979006,0.995643319,0.999923943,0.99121525,0.996651284,0.994463041,0.999681304,0.999950187,0.99997433,0.999989545,0.999986106,0.999979531,0.999970446,0.99557269,0.997818053,2,18
PhyloVelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Pyro-Velocity,0.506306741,0.361875734,0.361875734,0.3797257,0.395619635,0.4138929,0.199746639,0.258919693,0.61419329,0.348433198,0.28851264,0.225838712,0.325447034,0.28271065,0.348835996,0.216354216,,0.345187049,0.389748311,0.287186205,0.295117978,0.250133978,0.317198503,,0.24648662,0.292375733,0.309287411,,,,,,,,,,,,,0.452178582,0.481921611,0.398694494,0.302060914,0.339604223,,0.437432262,0.216354216,0.39126875,,0.371093861,0.509880017,0.330997004,0.241598908,0.325301476,0.212689449,,0.186609247,0.293138973,0.221619663,,0.323938963,0.285674295,0.366250154,,0.295035942,,,,0.260660289,,,0.61419329,0.567923967,0.317886532,0.245126744,0.216981094,0.217183855,,0.199550306,0.28677061,0.277191208,0.485699601,0.452888963,,0.43692716,,,0.330919825,,0.335904279,17,3
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
scRNAkinetics,,,,,,,,,,,,,,,,,,0.319309843,,,0.076853818,0.049551375,0.139120421,,0.125109579,0.098641285,0.196858846,,0.066551019,,,0.066060647,0.063378935,0.073415277,,0.046140897,0.109956812,0.013488286,,0.063534652,,0.135756438,0.140416745,0.088345826,,0.114122544,0.134597939,,,0.318563396,,,0.072082734,0.242197677,0.11644277,,0.118803753,0.132956737,,,0.18901552,,0.180337047,0.074543103,0.105881417,0.11296268,,0.148316459,0.143924792,,,0.423231609,0.083016309,0.633615119,0.406391266,0.398424581,0.575907917,,0.398484711,,0.420290394,0.060542354,,0.109849676,0.076706586,0.188120991,0.094991896,0.186221448,,0.173043279,19,1
