Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
cell2fate,0.52349727,0.53572017,0.53572017,0.928184,,,0.90934272,0.239725365,,,0.218280355,0.52878845,0.289240045,0.23817323,0.86449766,0.6023753,,0.4452802,,0.55875202,0.469612065,0.288805795,0.57482893,,0.537135455,0.32917807,0.55960313,,,,0.413404175,0.431923805,0.3111034,0.5314112,,0.53183223,0.36121914,0.65301253,,0.30164155,0.3870547,0.918044875,0.8938688,0.9057811,,0.928770545,0.7247881,0.632309025,,0.86246663,,0.52977278,0.46981972,0.8601865,0.565284525,,0.495160135,0.240901635,0.56370604,,,,0.48412487,0.503591005,0.202730315,0.580978325,,0.523459555,0.25077707,0.703293065,,0.8950709,,0.474240365,0.27290767,0.851452175,0.33537416,,0.289122875,0.236770415,0.41596514,,0.382680835,0.904122,0.8424071,0.903397,0.92178515,0.88800528,0.53713445
cellDancer,0.072903393,0.07653764,0.07653764,0.854976416,0.110940713,0.177728046,0.69966939,0.01008866,0.916378986,0.925240084,0.008579891,0.071617404,0.026580731,0.009133282,0.866004058,0.096896276,,0.086778242,0.037134096,0.130440139,0.072921629,0.010093128,0.143713868,,0.078796763,0.011918401,0.111850379,,0.072532671,0.02051694,0.107452422,0.079087342,0.011338549,0.136713483,,0.085811681,0.013956826,0.155514997,,0.105014057,0.098000133,0.644705208,0.666292394,0.707021054,,0.640127417,0.092413459,0.106343314,,0.925569088,0.041225606,0.18859304,0.065471995,0.629972573,0.119224728,,0.07722058,0.011482426,0.09741503,,0.114617637,0.043037412,0.173626227,0.105008522,0.015166537,0.1483761,,0.108972485,0.012665285,0.156469798,,0.91257015,0.033796487,0.169511788,0.06281655,0.667187833,0.102350186,,0.074448014,0.013146106,0.137563528,0.072669902,0.11626562,0.706334933,0.659191693,0.688145571,0.690798501,0.672795528,0.13159251
DeepVelo,0.89093524,0.89793952,0.879341225,0.9964509,0.71815947,0.91690197,0.9367707,0.33235118,0.9244784,0.9980209,0.288059635,0.891569125,0.66996715,0.40375328,0.9951903,0.936719865,0.80939114,0.73458815,0.252639695,0.901292485,0.8246345,0.3522684,0.93059502,0.78392738,0.845655485,0.40283698,0.91031525,0.849520205,0.5656878,0.37563288,0.828547,0.772276535,0.37489787,0.903844175,0.799578845,0.8661361,0.3773211,0.9488188,0.78472054,0.697468385,0.873256,0.940860835,0.996029025,0.95581174,0.79875845,0.933953425,0.91256022,0.9538638,0.66719883,0.99818903,0.38033226,0.89830362,0.796625275,0.99064246,0.918842125,0.6741022,0.82543555,0.34955628,0.928615515,0.796038665,0.7266908,0.61167033,0.923636615,0.90335525,0.382864725,0.94156036,0.5841052,0.92569665,0.4673604,0.9494445,0.6729613,0.9982573,0.4008926,0.9226539,0.78274685,0.98830396,0.85259452,0.62386445,0.76116123,0.34739048,0.9127608,0.6123409,0.852166875,0.99721235,0.9950676,0.99559414,0.984074885,0.9953773,0.89325063
k-velo,,,,,,,,,,,,,,,,,0.399732293,0.199006134,0.21444525,0.248315917,0.63613416,,0.379343348,0.355036201,0.55470179,,0.239459063,0.39551288,0.111763047,,0.220213681,0.556860408,,0.322088313,0.363754713,,,0.368781586,0.374022636,0.12767016,0.183437433,0.821876836,0.755467446,0.82796982,0.382585455,0.902367796,0.307327142,0.319755492,0.275862553,0.807913395,0.263547194,0.356004804,0.636971292,0.738328134,0.486162936,0.256012547,,,0.356761097,0.395916081,0.27908309,0.431342901,0.352161094,0.273364792,,0.442264571,0.326979401,0.290402434,,0.405604372,0.277506664,0.912105863,0.298903808,0.251951757,0.675261157,0.695377334,0.186688129,0.25548746,,,0.248875589,0.114249573,0.18632359,0.792846043,0.697927279,0.84730818,0.884023133,0.79237128,0.347676071
LatentVelo,0.88715845,0.9132808,0.9480776,0.92915002,0.89640563,0.95282346,0.8446286,0.821172735,0.9992259,0.9995494,,0.92051226,0.9274464,,0.933154,0.89539048,0.99280742,0.85758877,0.9311927,0.9768661,0.916216365,,0.85471493,0.92870396,0.86432885,,0.857587915,,0.94528312,0.9425252,0.94363635,0.8959262,,0.884562335,0.969121025,0.9102209,,0.89748615,0.9818516,0.92505133,0.9947658,0.95849322,0.91933258,0.93828905,0.97607003,0.94330764,0.90118366,0.8751686,,0.9995494,0.886390355,0.96990615,0.84212899,0.90918821,0.87167923,0.9098457,0.888894175,,0.782209665,0.9838474,0.8789753,0.93222314,0.97784428,0.93701935,0.89665863,0.86551034,0.9540867,0.81979924,,0.94755805,0.960661125,0.9992259,0.9145317,0.98444396,0.9197257,0.94927512,0.8290011,0.9321391,0.85962475,,0.86553794,0.980382325,0.98271797,0.91921538,0.956626,0.9516996,0.923932835,0.88050056,0.90253385
NeuroVelo,0.659262,0.6333265,0.6333265,0.9895086,0.33245504,0.60415315,0.9762098,0.21349662,0.9825301,0.98046845,0.209187115,0.60714943,0.410288235,0.2337194,0.987427585,0.759818065,0.562618675,0.333908865,0.49807638,0.60131418,0.4256512,0.23535596,0.68162876,0.484827415,0.491719825,0.2624126,0.661071875,0.552649735,0.3204254,0.19172372,0.523183225,0.451023,0.26092732,0.619362505,0.4706164,0.53964133,0.27539419,0.785488,0.5533162,0.375929,0.56283878,0.9667047,0.9611921,0.9803903,0.49552384,0.97137752,0.690880925,0.715550275,0.446115615,0.98046845,0.53617595,0.6756344,0.44342048,0.94223896,0.64394005,0.39429733,0.52384418,0.22262452,0.649559705,0.5393981,0.325737135,0.66679765,0.6348165,0.57249567,0.246978655,0.750308425,0.49564067,0.621013175,0.27053466,0.7957191,0.41676065,0.9825443,0.5544584,0.5652321,0.2720357,0.9415545,0.434066995,0.34162369,0.286066055,0.22635462,0.5321303,0.26570113,0.5301456,0.96342543,0.942810935,0.9667931,0.968357535,0.95537668,0.637457
PhyloVelo,,0.67436225,0.67436225,0.9467591,,,0.9104875,0.237598315,0.8950721,0.86246634,0.22187464,0.6366355,0.430217785,0.25045296,0.8739799,0.76302409,0.6775549,0.44489628,0.274983885,0.5588965,0.469612065,0.288890335,0.57482893,0.57586975,0.53720375,0.28665594,0.55960313,0.66348465,0.33614132,0.2955791,0.40927085,0.431923805,0.3111034,0.5314112,0.56734275,0.53185055,0.289864015,0.65301253,,0.30185093,0.3868685,0.918044875,0.8717788,0.9057811,,0.928770545,0.76302409,,0.6030246,0.86246634,0.44452396,0.53037425,0.46981972,0.841205325,0.565329725,0.528220615,0.49522628,0.226854915,0.56370604,0.656661035,0.365545105,0.629886675,0.48582548,0.518117315,0.239617815,0.595312775,0.5033747,0.586009325,0.2777408,0.72139895,0.56620387,0.8950721,0.44645607,0.478870725,0.27290767,0.8170409,0.33537416,0.479865175,0.289122875,0.22849984,0.41596514,0.2628931,0.382749455,0.904122,0.84466073,0.903397,0.92178515,0.89104918,0.53713445
Pyro-Velocity,0.759599293,,,0.848943928,0.791637109,0.911396144,0.902590035,0.774144962,0.788592282,0.858569607,0.863355832,0.738010573,0.843762808,0.816502479,0.75504355,0.862009213,,0.881660307,,0.892751599,0.86621746,0.778522661,0.869676959,0.95939846,0.901018115,0.680733545,0.867861306,,0.808759394,0.663433726,0.867095162,0.863794889,0.81991462,0.858649925,0.950147088,0.89311613,0.684268834,0.893552753,,0.784969721,0.805005298,0.830520291,0.822636733,0.795660277,0.969124646,0.843974509,0.862009213,0.872453841,,0.847755576,,0.818993624,0.800193803,0.8237214,0.885441991,0.901353557,0.870103255,0.812761434,0.861806793,,0.818436995,,0.857304419,,0.683397474,,0.615248533,,0.780290703,,,0.788592282,,0.777337334,0.872890544,0.8647497,0.853951333,0.934384526,0.904176485,0.724681199,0.858220456,0.797766307,0.825665116,0.829541459,0.794847212,0.811947071,0.747665338,0.775225575,0.801317732
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scRNAkinetics,0.68817872,0.63632377,0.63632377,0.92251587,0.35440817,0.45523152,0.9041567,,0.88971984,0.8453927,,0.571258485,0.358569375,,0.8435765,0.698977535,,0.44464228,,,0.46484805,0.30536653,0.575695,,0.544221785,0.26846999,0.52930886,,0.33839619,,,0.44406003,0.30529603,0.539098025,,0.53633742,0.23242938,0.56932835,,0.31705645,,0.8836575,0.88502448,0.900827915,0.70391744,0.92627155,0.62294625,,0.7048907,0.8454001,,,0.46157662,0.8532633,0.56450712,0.6022046,0.481055415,0.23496564,,,0.360252815,,0.549842145,0.5193179,,0.6052853,,0.60193388,0.27752656,,0.6746372,0.8897155,0.6343238,0.5191244,0.2877809,0.87685445,0.351058155,0.59795743,0.27796666,,0.39774054,0.26476264,,0.9003751,0.85722042,0.89422333,0.914905115,0.9104881,
