Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
cell2fate,1.07521965,0.935828715,0.935828715,1.3505931,,,1.57203515,0.122963885,,,0.130143205,1.10690245,0.53910605,0.25197695,1.56811,1.1539876,,1.1882153,,1.5583586,1.5456138,0.7703354,1.6720167,,1.7111926,0.9648092,1.4546309,,,,1.3642448,1.29833635,0.7988579,1.42480485,,1.39169595,0.9714503,1.4700645,,0.477716225,1.1045019,1.3776904,1.2978907,1.2909579,,1.51174865,1.28558965,1.3529767,,1.183925,,1.3503321,1.4225072,1.24053155,1.5464082,,1.5363803,0.32347903,1.6212455,,,,1.4992814,1.3430803,0.346301155,1.5789046,,1.5341634,0.46021679,1.652743,,1.984733,,1.816551,0.60868734,1.35542645,1.060127,,0.8366603,0.4519406,1.0037745,,1.1562158,1.3461244,1.28495815,1.3363696,1.4062212,1.4022782,1.2612914
cellDancer,0.505068354,0.420287944,0.420287944,0.9293011,0.549260035,0.733989647,1.135781417,0.085188181,1.875141012,1.575602181,0.099755431,0.552077609,0.266163809,0.126911441,1.156742306,0.600954559,,0.478184346,0.047106605,0.593340368,0.547123505,0.180604106,0.760066924,,0.553965145,0.207207754,0.519234669,,0.548517307,0.107265509,0.534545675,0.546560195,0.206907196,0.614744967,,0.555634152,0.240101809,0.688300901,,0.492172794,0.530603821,0.896921591,0.862918912,1.008017964,,0.901896034,0.485824941,0.538438162,,1.574753316,0.037299059,0.566260397,0.482999736,0.89870065,0.583293475,,0.484531856,0.140696162,0.568238845,,0.544817357,0.070868219,0.660962143,0.785018652,0.190269244,0.682396648,,0.8622338,0.239797389,0.700933926,,1.817610002,0.033330678,0.710329176,0.216079049,0.780839227,0.2742324,,0.236300276,0.133922058,0.262542265,0.310298814,0.428454001,0.963828175,0.770685216,0.885637261,0.986257702,0.819595833,0.519064221
DeepVelo,1.1359948,1.26073855,1.26073855,1.3470725,0.621397015,1.5056609,1.57528675,0.28994824,2.0130277,1.2448152,0.156211795,1.35563225,1.18244285,0.337931365,1.56768895,1.21845205,0.18340605,1.2864715,0.092262205,1.5984899,1.6290265,0.72254805,1.7014137,0.21319179,1.7343453,0.7297048,1.5032968,0.19981762,1.2777928,0.36536363,1.3813051,1.3532818,0.82604754,1.4483209,0.2538858,1.3999814,0.76784615,1.4813387,0.19158694,0.9648887,1.12751305,1.3913,1.309477,1.2920679,0.2317686,1.51191665,1.35742705,1.36015975,0.15381302,1.2665948,0.080102433,1.3763317,1.5000747,1.27311345,1.5887694,0.270452735,1.53691285,0.2233001,1.631577,0.20591328,0.9849914,0.20241395,1.519716,1.4060571,0.72643429,1.612945,0.54918672,1.514692,0.665539,1.6527462,0.16677988,2.13081155,0.081411055,1.8583398,0.66306204,1.3724958,1.0970179,0.093109295,0.59464265,0.234831785,1.0928135,0.60333115,1.169098,1.352566,1.29460815,1.3451588,1.4062212,1.40497875,1.2687631
k-velo,,,,,,,,,,,,,,,,,0.144181755,1.042831097,0.057663339,1.548689742,0.712838589,,1.669181503,0.192709795,0.816901256,,1.096998061,0.178881262,1.098719587,,1.355194801,0.515738664,,1.408750717,0.236509571,,,1.49717975,0.152428489,0.854815993,1.101455263,1.427880616,1.171124886,1.285070814,0.196898744,1.51059341,0.728939845,0.955375379,0.131632756,1.053786398,0.052547771,1.324593782,0.514303464,1.264739505,1.323258684,0.259208818,,,1.423500609,0.149907171,1.042247298,0.072724175,1.460764043,1.177021562,,1.597465507,0.495096599,1.191029427,,,0.142140821,2.067238571,0.03634774,1.817813231,0.170065141,1.319624523,0.483108095,0.081483311,,,0.707311393,0.633050331,1.141282567,1.371949595,1.252883652,1.331938031,1.4050489,1.326898532,1.158281994
LatentVelo,0.87874652,0.7348824,0.719680695,1.6386114,0.348213235,1.5112471,1.5256613,0.115703435,2.21446705,1.8725673,,0.70610092,0.30794509,,1.63215685,0.997434625,0.20453293,0.44222102,0.083352167,1.76125095,0.69661707,,0.82918055,0.23320103,0.82854,,0.83965977,,0.29814537,0.16294059,0.93915872,0.60628215,,0.769135505,0.2322079,0.67985527,,0.9461893,0.140395485,0.637837915,1.6052258,1.77365605,1.52045035,1.4496052,0.181469635,1.740145,0.9995499,0.965200075,,1.8725673,0.09777431,1.81992845,0.5658246,1.5432949,0.74944535,0.357221835,0.69422045,,0.71684495,0.66280745,0.35227871,0.094381478,1.4452179,0.824092,0.177685035,0.88074778,1.1468133,0.926293075,,1.203587,0.138425755,2.21446705,0.072665388,2.32334875,0.247672855,1.62566895,0.5016481,0.033526835,0.281849475,,0.522447555,0.34634155,1.56781095,1.70149035,1.43008875,1.6688424,1.66666685,1.5583528,0.826796665
NeuroVelo,1.14431875,1.29020485,1.29020485,1.27490985,0.66594967,1.51483995,1.5598572,0.392584135,1.8941212,1.1942707,0.15906923,1.3552831,1.2334748,0.419738165,1.55931795,1.2254013,0.13641945,1.3119084,0.102557674,1.6224852,1.5955116,0.77166295,1.70368445,0.18412249,1.6798445,0.77833813,1.55306105,0.17954611,1.2772518,0.39597002,1.37749295,1.3510011,0.89852742,1.4518799,0.26174051,1.4054652,0.94271952,1.4768305,0.2012584,0.96544296,1.1139231,1.30686975,1.26232855,1.2298913,0.24068022,1.3405296,1.40582685,1.3943513,0.1112893,1.2132365,0.084599902,1.4268227,1.5184464,1.2884625,1.6131554,0.19446195,1.54211115,0.30220076,1.6309835,0.19976464,0.96608734,0.25223131,1.5297272,1.4264212,0.86828898,1.6355394,0.58033383,1.5446455,0.80257976,1.68389295,0.09774257,2.0378882,0.100805225,1.7982863,0.64868134,1.36854545,1.20524995,0.11192833,0.61330962,0.3601055,1.0675732,0.66039526,1.17220295,1.3559217,1.29390425,1.33524,1.3674512,1.38661925,1.26728145
PhyloVelo,,1.2476802,1.2476802,1.2468789,,,1.57528675,0.27927929,2.0130277,1.2448152,0.139703135,1.3143532,1.1723456,0.33267188,1.5332886,1.22037705,0.18340605,1.2614915,0.12858366,1.5976677,1.6254497,0.8852701,1.6996375,0.21319179,1.7112557,0.754062485,1.4544567,0.19981762,1.27127485,0.95227164,1.3806681,1.34229765,0.888776,1.4463907,0.2538858,1.39169595,0.805446135,1.4700645,,0.5281056,1.12689155,1.38951475,1.14972935,1.2923932,,1.51174865,1.22037705,,0.15381302,1.2448152,0.08512255,1.3763317,1.501771,0.7325163,1.588528,0.27049622,1.5363803,0.241381855,1.6212455,0.205567935,0.764296725,0.222424405,1.5060764,1.0403109,0.666482,1.60941785,,1.17155335,0.6487231,1.6419359,0.16677988,2.0130277,0.08592011,1.8577881,0.7005479,0.6401575,1.138721,0.093109295,0.8366603,0.25362068,1.0037745,0.49926057,1.1690185,1.352566,1.0510039,1.3451588,1.4062212,1.35293935,1.2612914
Pyro-Velocity,1.14093485,1.2876192,1.2876192,1.19758175,1.30122145,1.48622755,1.57037295,0.241272195,2.42418585,1.8474252,0.105499085,1.4057817,1.2979325,0.26380363,1.6209705,1.23538095,,1.6350272,0.072941595,1.68989685,1.7766617,0.31918447,1.7463092,0.30450668,1.8595861,0.25558218,1.76182995,,1.38270435,0.24996656,1.46324275,1.45102275,0.297387465,1.50547415,0.28912698,1.49338485,0.286468325,1.5326419,,1.1402349,1.16368805,1.14177185,1.15286655,1.1988166,0.17732453,1.11662525,1.23538095,1.37671375,,1.83967255,0.072444948,1.568521,1.59619405,1.55295405,1.64175045,0.24516943,1.64688875,0.13252412,1.7230544,,1.4832521,0.16665421,1.48009375,1.5674322,0.98814155,1.62670305,1.29921245,1.71893115,0.3426764,1.6758019,,2.42418585,0.07746193,2.2253895,1.49357375,2.00306085,1.5462326,0.079633772,0.53958695,0.1947878,,1.23934535,1.3032527,1.334685,1.2879349,1.27352985,1.3013889,1.2849961,1.2741715
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scRNAkinetics,1.1664713,1.2494565,1.2494566,1.3563909,1.1648276,1.5075046,1.5743787,0.36426006,2.13533595,1.277304,,1.3288864,1.16098575,0.46555596,1.5855413,1.38777895,,1.2920413,,,1.6319237,0.428975655,1.70302085,,1.7234613,0.39629543,1.72346415,,1.27611655,,,1.3484125,0.5499955,1.4516573,,1.35212,0.3878928,1.5222597,,0.99474175,,1.45166755,1.32541375,1.2941693,0.34286857,1.5116493,1.4849386,,0.129544525,,,,1.50463815,1.2509886,1.5863935,0.2996619,1.5475559,0.16918391,,,1.67116945,,1.66647635,1.7172814,1.1430334,1.7809195,,1.7712812,0.6160065,,0.150686835,2.13532865,0.096698128,2.14223765,0.83849348,1.5144371,1.51378505,0.095412627,0.697837865,,1.25690575,0.6690236,,1.3541485,1.29292545,1.3481776,1.4050461,1.4370766,
scVelo dynamical,1.1359948,1.26073855,1.26073855,1.3470725,1.2462331,1.5117703,1.57998635,0.28994824,2.07459875,1.7789492,0.156211795,1.35563225,1.18244285,0.337931365,1.56768895,1.21845205,0.21784185,1.5450062,0.092098775,1.5980496,1.6729488,0.654974835,1.7010479,0.371364355,1.74076065,0.65520282,1.5032968,0.252884,1.35824035,0.36598414,1.3812155,1.39530855,0.6613074,1.45188385,0.38698462,1.43444885,0.60252774,1.4813387,0.227434995,1.06761505,1.1274872,1.33375125,1.30430275,1.31317245,0.33142811,1.42386035,1.35742705,1.36015975,0.14408632,1.7789509,0.078954647,1.3764318,1.57002065,1.2442711,1.5884468,0.327106225,1.59872175,0.21913879,1.6318234,0.289123485,1.4585664,0.20237815,1.542046,1.1322859,0.726482375,1.62301705,0.76282812,1.1952144,0.5080123,1.6517053,,2.0745939,0.081373332,1.86429875,0.929863185,1.27575005,1.11987345,,0.91585823,0.20329797,1.0928135,1.05702755,1.17622995,1.3478586,1.2805949,1.34627915,1.3713709,1.39986415,1.2687631
scVelo stochastic,1.1359948,1.26073855,1.26073855,1.3470725,1.2461809,1.5118322,1.57998635,0.28984745,2.07460535,1.7789492,0.156211795,1.35563225,1.18247605,0.337931365,1.56768895,1.21845205,0.217799365,1.5449792,0.092354528,1.5983702,1.67286525,0.6549812,1.70110635,0.37134259,1.74076065,0.65568656,1.5032968,0.25296112,1.35824035,0.36605346,1.38116825,1.39530855,0.66131502,1.45187935,0.386868765,1.43444885,0.60252774,1.4813387,0.22741323,1.06755875,1.12747095,1.33375125,1.30430275,1.31317245,0.331513565,1.42242005,1.35742705,1.3601615,0.14407603,1.7794302,0.079031878,1.3762413,1.57002065,1.24937785,1.5884468,0.32704653,1.59629615,0.21913879,1.6318234,0.29444434,1.46477705,0.20152931,1.5420966,1.49153195,0.6758068,1.62314875,0.7792847,1.5767143,0.5079351,1.6517053,0.150119495,2.12565885,0.081538818,1.86447525,0.91934835,1.31845225,1.1575916,0.086108843,0.91585823,0.20329797,1.0928135,1.0845164,1.1762672,1.3478586,1.28996915,1.34627915,1.3713709,1.39986415,1.2687631
SDEvelo,1.1658811,1.2622447,1.2622447,1.352133,1.1534594,1.5075445,1.5740541,0.19708152,2.13812185,1.27842955,,1.3512331,0.3602795,0.14947776,1.58089,1.34031045,0.18478692,1.2885022,0.09358266,1.6084107,1.6310387,,1.70259045,0.2103802,1.7115331,,1.5067987,0.20222806,1.2768724,0.36725646,1.3778969,1.3509911,,1.4490321,0.2547886,1.3986727,,1.4795492,0.1931815,0.9657782,1.13245075,1.3951596,1.3081211,1.4523551,0.23387033,1.5115692,1.34031045,1.36376215,0.15397471,1.27842955,0.081114015,1.3785104,1.5007335,1.27437475,1.5861198,0.270192935,1.5346665,,1.6241299,0.20655702,0.9808287,0.206234965,1.5114872,1.31739135,0.22741863,1.6073855,0.560605765,1.45206335,,1.65165425,0.16739605,2.13812185,0.099635593,1.8532133,0.6708069,1.37238425,1.0973458,0.09463526,0.58795038,,1.06810885,0.6332849,1.16715705,1.3541484,1.29639715,1.3481774,1.405046,1.40748915,1.26093485
