Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
cell2fate,1.342243657,1.019874502,1.019874502,3.809054179,,,4.999215392,0.104490671,,,0.109431734,1.236000337,0.500356376,0.221119425,2.786535067,1.445368281,,1.286078171,,2.134529326,1.89396568,0.735891906,2.523652706,,2.369814012,0.936786269,1.720796267,,,,2.083246544,1.799497789,0.795018636,2.241836944,,2.196683971,1.037404799,3.312570064,,0.706620858,2.03824144,4.569472932,5.888176204,5.36463125,,7.189451844,1.755148134,2.543536058,,1.217419247,,1.55196779,1.556167228,1.500345775,1.867897446,,1.793779601,0.267744726,2.012761508,,,,2.647782929,2.05961071,0.316981072,3.047241269,,2.591498358,0.409797754,3.734153532,,2.80132517,,2.100427323,0.506598308,1.574972086,0.920303775,,0.715135042,0.373755013,0.896242996,,1.627290536,3.937465603,3.5082114,3.900256009,4.514088578,4.616665229,2.136483613
cellDancer,1.121038344,0.453089379,0.453089379,1.081649211,0.765112117,0.9870235,1.467405033,0.173031215,2.389789979,2.240335803,0.206969559,0.932089761,0.452983318,0.262893078,1.465922882,1.098176385,,0.521908197,0.100904293,0.600765132,0.621676122,0.450545855,0.863677665,,0.621527385,0.431262314,0.47941118,,0.909532456,0.195958994,0.551499998,0.781782056,0.490975088,0.637005306,,0.686392931,0.493353042,0.774141686,,1.16569133,0.638938664,1.739884072,1.646842829,1.802745842,,1.716336994,0.501637833,0.517680041,,2.261397526,0.081872716,0.56478867,0.537567957,1.082628093,0.570931371,,0.535464428,0.27835988,0.545008096,,0.823583381,0.158406594,0.855530351,1.276860449,0.40732799,0.879699198,,1.400229678,0.468251702,0.917243869,,2.485904877,0.075312139,0.715639351,0.211383223,0.897230157,0.231912555,,0.232812872,0.261528477,0.21924101,0.453966978,0.418208891,2.190164259,1.417560738,1.109378952,2.246330022,1.082144847,0.504836787
DeepVelo,4.28734151,2.401648162,2.401648162,4.094550328,0.987202269,4.581728619,5.048178981,0.237619175,2.841438615,1.315212613,0.12787217,3.22390364,1.482841751,0.280933264,2.846143414,5.072401652,0.15314758,1.424998765,0.077866444,2.292733502,2.075835577,0.690566731,2.675942427,0.175345008,2.26384449,0.659039131,1.762016069,0.167906749,1.869024223,0.308582766,2.269386801,1.977483549,0.841793176,2.62334122,0.209767222,1.838788753,0.736735115,3.408082418,0.160013868,1.12709419,2.293160627,4.935518811,6.185851078,5.467259165,0.192085088,7.212208318,2.408294385,2.48616911,0.127823414,1.346890384,0.067392659,1.61360582,1.723411096,1.589911833,1.992116269,0.223915781,1.762436356,0.182808479,2.027466872,0.173892197,1.087219424,0.173337837,2.730042801,2.253574359,0.664026218,3.245790722,0.517070003,2.506079927,0.585112327,3.627227557,0.13725641,3.008003076,0.068295023,2.210069748,0.553946352,1.593771163,0.964694728,0.075485414,0.492420204,0.191602919,0.956357956,0.539032256,1.783082346,4.098176178,3.7157478,4.123535743,4.514088578,4.484722347,2.081043655
k-velo,,,,,,,,,,,,,,,,,0.119957541,1.010331847,0.052726924,2.05533301,0.686832136,,2.613922309,0.157507201,0.81307527,,1.043517928,0.149643171,1.154858645,,2.122949095,0.47440145,,1.782770799,0.194148381,,,2.617871812,0.126863394,0.830180463,1.852585054,5.232391943,5.72057189,5.113452874,0.161840931,6.866344085,0.659793984,0.917984027,0.109383096,1.059848551,0.049573,1.478128099,0.482495865,1.59482764,1.425405861,0.213809469,,,1.551934863,0.125604103,1.165391175,0.072938005,2.476892858,1.30066058,,2.976480571,0.426717668,1.264450296,,,0.116766012,2.917353584,0.033842621,2.077096394,0.154224802,1.592222625,0.399612767,0.065844656,,,0.589952404,0.556040834,1.520657245,4.240087992,4.824764743,3.864380263,4.601957234,5.730844665,1.210209846
LatentVelo,0.803976982,0.63942509,0.627540439,2.397769414,0.285981807,2.238669183,1.855856313,0.094120648,3.334579597,2.902005103,,0.60558605,0.255679634,,2.221033136,0.953878528,0.171777445,0.36507361,0.067153706,2.880729992,0.59560064,,0.719419726,0.188562528,0.724271677,,0.730643328,,0.243382545,0.13161455,0.869322079,0.516845081,,0.673346952,0.18979054,0.587462667,,0.864818169,0.117754508,0.553616968,4.094977251,3.862733997,2.097904472,1.916086346,0.141954421,3.578672907,0.949253378,0.917528898,,2.902005103,0.078819228,2.517085493,0.473983893,1.802969945,0.642816548,0.292384588,0.58985336,,0.60912557,0.572691568,0.288422514,0.076214966,1.823354271,0.720889149,0.145733205,0.784440491,1.145717398,0.85003659,,1.194619588,0.111577035,3.334579597,0.058506817,3.393120523,0.201333806,1.595131435,0.414319905,0.026560955,0.230854113,,0.435893874,0.284501576,3.337944034,2.667260333,1.928603991,2.5473375,2.771434846,2.655094484,0.750274823
NeuroVelo,4.429473823,2.585537467,2.585537467,5.419709562,1.055518042,4.752356237,5.617080744,0.321616154,2.552992501,1.253668116,0.129282025,3.288862998,1.642651591,0.348852012,2.946293465,5.350544101,0.111872085,1.429940321,0.088020442,2.317860702,2.001668568,0.738614282,2.717349382,0.149630528,2.183165431,0.70660975,1.837559826,0.148201971,1.901102163,0.331879924,2.208065763,1.999498572,0.941315233,2.506950196,0.2138538,1.924529333,0.955854102,3.522566308,0.16578365,1.146507849,2.320197557,6.386211787,6.650095013,5.9394962,0.19763466,8.080987246,2.636723521,2.750240704,0.090796584,1.289438923,0.070618717,1.637918336,1.73482704,1.621467046,2.042811844,0.158171031,1.759006893,0.246444834,2.015676088,0.165400694,1.064447153,0.213593324,2.812995747,2.284330548,0.81099983,3.353869952,0.536050089,2.59378561,0.728109255,3.785891419,0.079317477,2.780063673,0.083884012,2.158951834,0.538333475,1.582398177,1.070592154,0.089832911,0.508172218,0.293658005,0.930967823,0.592694335,1.815729185,5.600714174,4.193537488,6.151505493,5.836860936,5.014077897,2.098284971
PhyloVelo,,3.228448786,3.228448786,5.381009333,,,5.048178981,0.229869383,2.841438615,1.315212613,0.11452489,2.753867041,1.476990261,0.279896629,2.717999234,5.137449783,0.15314758,1.41890799,0.110930071,2.286932444,2.125724508,0.860933993,2.669220294,0.175345008,2.369941506,0.685474989,1.720579201,0.167906749,1.836833456,1.284524759,2.242331581,1.997569443,0.908751773,2.464314994,0.209767222,2.196737768,0.781714077,3.312570064,,0.799899487,2.269447576,4.901670776,1.25644315,5.46504898,,7.189451844,5.137449783,,0.127823414,1.315212613,0.072216329,1.61360582,1.722862301,0.636431721,1.990334051,0.223945943,1.793779601,0.197676945,2.012761508,0.173619243,0.879826273,0.192889142,2.708092385,1.862514798,0.617391447,3.220656724,,2.338230321,0.572680367,3.574525785,0.13725641,2.841438615,0.072722226,2.20607114,0.591474451,0.558831335,1.008669151,0.075485414,0.715135042,0.20714306,0.896242996,0.479881792,1.782437641,4.098176178,1.038979582,4.123535743,4.514088578,4.090932752,2.136483613
Pyro-Velocity,5.211718512,5.76324662,5.76324662,6.94851427,4.11014836,4.271910576,6.6609007,0.198110097,4.500794722,3.696068107,0.087260173,3.765450572,1.917026427,0.218029511,3.905782993,5.76190485,,2.275677468,0.065357173,2.711612211,2.736631185,0.27053719,3.054862874,0.257332347,2.825678716,0.236421276,2.695338458,,3.00395773,0.209868753,4.144730573,3.793210156,0.254153849,4.53492417,0.240567874,2.555120343,0.257736237,7.079255844,,4.969798567,5.48582986,7.313902224,6.976905072,6.417350932,0.148825665,10.98628258,5.76190485,4.98597498,,3.640538633,0.062053569,2.04971763,2.065603819,2.180017943,2.188284827,0.201616173,2.142035551,0.113036618,2.32119413,,2.45800309,0.142840658,2.587109042,2.731698817,0.969486212,3.285101515,2.67973851,3.270831407,0.286627892,3.800190871,,4.500794722,0.067079369,3.258720571,1.434039458,2.663931598,1.484496688,0.064062178,0.446534035,0.160465061,,3.963811783,5.058903055,6.564212101,6.00231744,5.63917586,7.155819744,6.345724464,4.480508937
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scRNAkinetics,1.456835709,1.433498169,1.433498259,4.08194398,1.782766317,4.579221899,5.108664092,0.312330627,3.020214873,1.359051491,,1.588429127,1.225184777,0.388535127,2.802440249,2.008312976,,1.454483812,,,2.08859259,0.47668995,2.677943785,,2.249626424,0.397795677,2.552437577,,1.868564907,,,1.697724172,0.628690659,2.631428798,,1.684589203,0.398952099,6.917489991,,1.188159645,,7.034373839,6.215118426,5.460828921,0.301543297,7.154879439,4.479484072,,0.109670619,,,,1.722672009,1.495317677,1.983521475,0.254639022,1.809739504,0.155751044,,,5.218247708,,4.323925796,5.547680794,1.554218293,7.061583099,,5.253660191,0.633108339,,0.126638117,3.020245985,0.082440511,3.063823943,0.71192527,1.625865779,1.420507896,0.077486932,0.581756112,,1.151113841,0.609582564,,4.131300607,3.52986655,4.137968967,4.539577109,5.009133775,
