Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500
cell2fate,0.80106145,0.91759203,0.91759203,0.3545744,,,0.314456375,1.17679295,,,1.18926385,0.8955519,1.07744415,1.1395514,0.562745475,0.79840385,,0.92390597,,0.7300713,0.81607276,1.0468051,0.66253835,,0.72207886,1.0299139,0.8453243,,,,0.654864785,0.721499275,1.00482915,0.6355524,,0.633544,0.936423565,0.44378367,,0.67605735,0.54188963,0.301498755,0.22042321,0.24064243,,0.210273145,0.73246789,0.53192747,,0.9724875,,0.8700774,0.91410947,0.826830435,0.8278871,,0.8565045,1.2081621,0.80548316,,,,0.5662403,0.65210396,1.0924979,0.5181423,,0.5919986,1.12303395,0.44260178,,0.7084979,,0.8648483,1.2015187,0.860603475,1.1519316,,1.1699333,1.2091894,1.1199803,,0.7105159,0.34187585,0.366271585,0.34263638,0.3115183,0.303742665,0.590358565
cellDancer,0.450536199,0.927604937,0.927604937,0.859152016,0.717881762,0.743639484,0.774006761,0.492328399,0.78464678,0.703288399,0.481981175,0.592300905,0.587579716,0.482749267,0.789088103,0.547229541,,0.916223101,0.466844404,0.987641154,0.880078044,0.400856215,0.880035406,,0.89129644,0.480468028,1.083067501,,0.603076123,0.547387526,0.9692578,0.699120926,0.421420967,0.965054704,,0.809498651,0.486673414,0.88911489,,0.422215368,0.83044563,0.515506525,0.523983768,0.559157004,,0.525477245,0.968477473,1.040098361,,0.69636289,0.455573728,1.002605801,0.898490564,0.830110225,1.021652522,,0.904881503,0.505446985,1.042624595,,0.661520581,0.447381746,0.772575915,0.614803796,0.467115565,0.775715892,,0.615780263,0.512112157,0.764174011,,0.731166352,0.442567143,0.992579817,1.022214754,0.87027751,1.182481906,,1.01497943,0.512074476,1.197505273,0.683527282,1.02449759,0.440071182,0.543669978,0.798318068,0.439052896,0.757380895,1.028182246
DeepVelo,0.26496485,0.52494723,0.52494723,0.32899156,0.62945258,0.32862289,0.312050495,1.2202224,0.7084537,0.9464745,1.22162465,0.420494035,0.79741675,1.2028884,0.55081165,0.24021206,1.1975772,0.9027878,1.1848776,0.6971983,0.784757,1.0463117,0.6358185,1.2158418,0.7661062,1.1072253,0.85316861,1.19005115,0.6836684,1.1840053,0.60866887,0.684345415,0.981295125,0.55209017,1.2103216,0.76136065,1.04222825,0.4346546,1.1973146,0.85608524,0.49168516,0.28189539,0.21168906,0.23632827,1.2065934,0.20963297,0.563646645,0.5470906,1.2033243,0.94038447,1.18859285,0.8529541,0.87041026,0.800744685,0.79752845,1.2078324,0.87203878,1.2214975,0.8047367,1.1841433,0.90597296,1.16774245,0.5566638,0.6239231,1.09398435,0.49693438,1.0621129,0.6044069,1.1374551,0.45564999,1.2150972,0.708380775,1.1920496,0.8408512,1.1969788,0.8611624,1.13716585,1.233474,1.2075919,1.22561695,1.1426825,1.1192858,0.65566125,0.33004096,0.3484112,0.3262149,0.3115183,0.3132811,0.60967635
k-velo,,,,,,,,,,,,,,,,,1.201939898,1.032166906,1.093622298,0.753498209,1.037864351,,0.638573494,1.223498317,1.004705574,,1.051249846,1.195385406,0.951388806,,0.638354826,1.087135513,,0.790202935,1.218189766,,,0.571907205,1.20151672,1.02967491,0.594550442,0.272892519,0.204721645,0.251311755,1.216618958,0.219999667,1.10479917,1.040732029,1.203410405,0.994280171,1.060007888,0.896129221,1.065923051,0.793025825,0.92833818,1.212335535,,,0.917242497,1.193489439,0.894332581,0.997068338,0.589756654,0.904941367,,0.536696097,1.160243965,0.941934555,,,1.217313314,0.708600624,1.074022589,0.875170376,1.102709415,0.828793978,1.208940592,1.237508338,,,1.198929588,1.138496118,0.750519271,0.323566303,0.259677667,0.34467054,0.305315506,0.231536293,0.957091861
LatentVelo,1.0929996,1.14928615,1.1468276,0.6833899,1.21760625,0.67506495,0.82207943,1.2293098,0.664091825,0.645266715,,1.1659795,1.20441775,,0.7348638,1.0456621,1.1906856,1.21132015,1.2412147,0.6113905,1.1696043,,1.15256855,1.2367305,1.143963,,1.1492061,,1.2250072,1.2380135,1.0803346,1.17304425,,1.14225735,1.22349565,1.157274,,1.09409045,1.1922727,1.15212855,0.39199871,0.45917116,0.72474718,0.75654482,1.2783655,0.486254275,1.05298535,1.05195605,,0.645266715,1.24048805,0.72303005,1.19376335,0.855973725,1.1658775,1.2217533,1.17693735,,1.17684265,1.157355,1.2213981,1.23835885,0.792614975,1.1431605,1.2192488,1.12277195,1.00095652,1.08970965,,1.0075065,1.24062945,0.664091825,1.24199865,0.68472332,1.2301603,1.0191442,1.2107748,1.26226015,1.22089865,,1.19856595,1.2173625,0.4696936,0.637916865,0.74151498,0.655132035,0.601373275,0.58692932,1.10199175
NeuroVelo,0.258341915,0.499008375,0.499008375,0.235235825,0.63092211,0.318755555,0.27769891,1.2206605,0.74192196,0.9526211,1.23040485,0.412082565,0.7509047,1.20319835,0.52924733,0.22902368,1.2194235,0.91745675,1.16515745,0.69999254,0.7970908,1.04474415,0.62696555,1.2305142,0.7694536,1.1015106,0.845175775,1.2114961,0.67184806,1.1931123,0.62384598,0.67566995,0.95454465,0.5791419,1.22392265,0.73029035,0.9862588,0.41924846,1.2139822,0.8420727,0.480098385,0.204639275,0.18982113,0.20706997,1.2178037,0.16588686,0.533171885,0.50699246,1.2256992,0.94090265,1.1979813,0.87111956,0.8752725,0.79462762,0.789674,1.229441,0.876694205,1.226241,0.8091496,1.2077618,0.9075954,1.1808951,0.54380715,0.6244373,1.07064015,0.48765737,1.0826112,0.5955178,1.1022793,0.4447811,1.2322955,0.73303652,1.20172155,0.83294415,1.2049805,0.8648553,1.1257788,1.2459613,1.20689325,1.2262751,1.1467348,1.1142257,0.64558248,0.242098,0.3085472,0.21705906,0.23427853,0.276545215,0.6039606
PhyloVelo,,0.3864643,0.3864643,0.231718405,,,0.312050495,1.21494775,0.7084537,0.9464745,1.21984955,0.477275475,0.79373956,1.18855265,0.564124,0.2375453,1.1975772,0.889058,1.1591416,0.6986073,0.7646568,1.0282671,0.6367543,1.2158418,0.72206664,1.10005835,0.8453297,1.19005115,0.692101315,0.7413416,0.615728785,0.67196545,0.97801845,0.58693418,1.2103216,0.633528485,1.030359,0.44378367,,0.66021495,0.496548835,0.28347778,0.91506675,0.23648337,,0.210273145,0.2375453,,1.2033243,0.9464745,1.1787161,0.8529541,0.8716721,1.1509739,0.7981213,1.2078639,0.8565045,1.2210926,0.80548316,1.18401585,0.8686905,1.1531204,0.556139225,0.55855175,1.07951285,0.49971729,,0.50104275,1.1327839,0.4593437,1.2150972,0.7084537,1.1814835,0.8421252,1.1844094,1.145529,1.1289341,1.233474,1.1699333,1.2243745,1.1199803,1.0403824,0.6558538,0.33004096,1.0115732,0.3262149,0.3115183,0.330716595,0.590358565
Pyro-Velocity,0.218917205,0.22341907,0.22341907,0.172350765,0.316587465,0.34790699,0.23575985,1.21786925,0.538612845,0.49983527,1.2090176,0.373336915,0.67705509,1.2099446,0.415018065,0.214404955,,0.71847932,1.11604575,0.62320742,0.649214885,1.17981735,0.571648965,1.18332065,0.658102455,1.0810456,0.65365815,,0.46029421,1.19106135,0.35303688,0.3825316,1.17010805,0.33197339,1.201852,0.58446752,1.11147865,0.2164976,,0.22943282,0.212126165,0.156109805,0.165240395,0.18680864,1.1914916,0.101638133,0.214404955,0.27611726,,0.50532977,1.1674582,0.7652376,0.77274937,0.71235838,0.75024532,1.21602065,0.768842865,1.1723999,0.742313785,,0.60343785,1.1667141,0.57210335,0.57379393,1.0192425,0.495175885,0.48482807,0.5255334,1.1955445,0.44097835,,0.538612845,1.15478025,0.68290283,1.0415151,0.751919025,1.0415871,1.24307,1.2083893,1.2138954,,0.312665035,0.25761567,0.203327525,0.21457294,0.225836165,0.181864405,0.202497935,0.284380975
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scRNAkinetics,0.800688295,0.8716136,0.871613615,0.332290425,0.6533821,0.329205405,0.30817816,1.1662643,0.70701458,0.9398496,,0.83660415,0.947600535,1.1982339,0.56577167,0.69101727,,0.88831604,,,0.7813509,0.89990497,0.635943465,,0.76611,0.9962286,0.67522284,,0.682939375,,,0.7942471,0.8748269,0.55166125,,0.802640785,0.97227913,0.220059545,,0.8372122,,0.2063677,0.213256395,0.236991365,1.1370459,0.2112753,0.331497685,,1.1812145,,,,0.87343275,0.8366039,0.7997864,1.1768106,0.85512633,1.08624575,,,0.32025491,,0.385408175,0.309549425,0.73543942,0.252198335,,0.33715184,0.9729875,,1.1899011,0.70700488,1.1729443,0.6992039,1.177783,0.93146502,1.06566465,1.2313383,1.1995368,,1.09190395,1.09751105,,0.32777777,0.36628168,0.3258066,0.30951035,0.28689124,
