Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500,AVG,Reversed_rank
cell2fate,50.2,29.9,46.4,23.2,,,,15.5,,,,42,20.2,58.6,47.1,38.4,,63.14,,,,21.1,27.3,,,37,31.4,,,,,79.3,89.4,75.9,,,59.4,43.4,,7.52,70.67,,56.4,70.8,,,66.2,44,,42.77,,,,51,37.5,,,41,46,,,,,,41.82,46.6,,,51.8,44.2,,64.89,,,,54.99,86.41,,,22.49,66.1,,,,79.7,65.5,80.2,13,70,49.34,15
cellDancer,66.09,85.28,85.28,47.32,75,84.21,26.14,67.43,66,70.18,35.8,69.32,86.9,26.1,55.9,75.35,,45.3,27.46,52.44,36.2,8,32.9,,32.4,7.8,41.8,,62.17,95.14,78.13,71.43,81.06,51.9,,60.74,27.4,70.35,,61.13,65.61,43.27,56.36,29.41,,44.57,91.16,46.4,,69.79,45.25,44.89,49.08,81.13,41.28,,48.73,39.4,28.4,,60.87,45.74,53.11,46.58,81.45,48.73,,48.8,54.19,43.08,,72.86,38.03,90.19,37.64,66.78,57.52,,44.26,92.26,53.27,62.16,79.12,30.33,49.29,22.1,31.13,42.14,80.35,54.84,19
DeepVelo,53.4,69.3,64.4,46.4,57.31,54.43,56.4,43.2,36.18,44.26,47.2,60.4,45.6,26.6,43.2,35.8,45.77,46.77,25.73,51.98,42.8,43.2,51.2,47.64,15.2,33,50,76.91,56.59,85.67,63.2,37.8,53.5,81.2,69.83,54.6,43.2,50.4,80.16,37.94,76.95,43.5,41.8,74,75.87,55.4,32.8,43.8,32.33,40.31,42.64,73.69,19.8,62.7,93.9,25.45,5.2,38.6,1.4,61.01,39.77,44.78,43.02,25.6,27.67,51.1,35.37,42,42.22,37,69.49,38.55,34.8,83.83,83.15,53.97,79.61,52.33,59.81,1.44,77.97,44.88,70,59.6,41.2,46.7,56.4,35.6,45.8,49.36,16
k-velo,,,,,,,,,,,,,,,,,45.2,52.1,34.36,47.67,42.1,,47.8,43.43,43.2,,46.8,76.29,39.99,,22.57,36.7,,23.2,68.9,,,31.6,78.87,38.02,41.84,61.2,60.6,45.9,73.94,57.2,42,52.8,40.44,86.57,43.12,80.64,29,97.8,64.5,27.41,,,14.8,58.9,38.46,38.35,39.1,31.8,,40,38.26,31.8,,34.6,64.5,64.53,31.95,58.71,32.1,86.73,58.98,52.96,,,53.51,38.48,38.37,38.8,52.5,35.7,37.8,47.4,34.8,47.83,13
LatentVelo,48.4,31.1,30.9,25.7,34.87,85.84,57,54.9,93.25,36.82,,31.3,36,,56.9,41.6,35.47,36.04,26.59,6.2,32.8,,45.1,31.75,21,,20.8,,45.24,27.22,10.62,29.9,,29.3,48.45,40.4,,47,42.51,42.87,75.81,50,39.8,,38.84,48.2,40.2,18.2,,36.82,42.69,43.02,34.2,46,46.9,43.93,37.6,,43.4,41.99,39.35,34.42,52.27,43.3,17.61,44.6,46.31,41,,25.2,42.9,93.25,30.58,8.08,37.02,27.1,56.92,40.21,58.61,,21.07,35.13,79.6,42.5,34.9,36,31,44.6,30.6,40.33,7
NeuroVelo,31,45.2,45.2,45.1,57.7,29.71,20.4,24.7,9.27,44.12,40.7,30.2,16.2,29.2,43.8,32,43.48,50.01,38.27,55.67,22.6,38.6,44.4,35.58,15,27,37,43.64,58.68,1.93,93,1.6,27.6,23.6,39.2,14.6,29,72,49.08,53.85,15.61,9,16.4,15.5,28.9,14.4,28.2,77.6,45.66,40.55,40.98,51.51,33.3,47.7,49.5,49.37,54,42,56.4,48.56,42.67,26.53,43.94,38.1,39.31,50.5,34.32,23,29.94,44.4,36.65,85.04,34.2,82.41,0.25,85.6,74.76,38.59,3.83,35.65,21.79,66.23,68.04,21.9,4.6,24.7,3.4,7.6,38.2,37.43,3
PhyloVelo,,38.06,38.06,28.34,,,14.6,32.26,29.51,34.52,41.29,29.24,35.92,36,28.1,30.66,33.11,32.7,33.25,32.22,29.43,26.55,31.54,32.38,26.81,29.64,27.35,33.31,31.79,33.74,33.5,33.26,30.53,38.03,33.02,32.35,26.27,45.65,,32.15,32.42,36.77,18.45,43.1,,43.31,30.66,,33.97,34.52,35.03,39.9,41.87,42.54,41.3,33.59,48.59,47.29,46.71,33.78,34.89,33.24,35.6,40.27,42.65,36.7,,45.08,37.34,41.63,33.3,29.51,33.64,31.96,24.87,24.21,27.95,33.15,26.96,27.34,25.13,31.41,33.83,26.38,24.19,26.37,23.19,23.65,36.14,33.29,2
Pyro-Velocity,51.2,52.2,52.2,46.8,42.1,54.56,70.8,38.5,67.66,48.63,33.6,37.9,28.6,32.9,32.3,26.8,,51.87,36.19,30.24,23.8,28.2,42.8,30.49,12.4,29.6,19.2,,,,,,,,31.75,,,,,46.64,48.82,48.3,36.4,,30.17,56.4,26.8,66.6,,45.28,41.55,45.97,36.6,53,49.4,47.96,41.4,34,53.6,,44.06,36.7,39.85,,13.84,,30.96,,36.53,,,67.66,36.21,39.03,81.06,50.34,22.45,36.22,78.95,22.25,4.12,44.78,42.65,,49.6,,,41.4,,41.24,8
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
scRNAkinetics,,,,,,,,,,,,,,,,,,51.66,,,17.7,13.2,25.5,,14.6,45,10.8,,34.47,,,23.9,39.7,13.7,,18.4,22,39.4,,21.84,,28.1,22.3,34.3,48.66,17,19.8,,39.97,57.23,,,38.6,23.8,54.2,40,35.8,41.6,,,36.93,,28.75,35.6,28.15,39.1,,35.6,40.12,,58,0.02,39.23,5.37,2.83,56.8,5.22,51.62,3.83,,0,21.74,,31,8.7,42.1,27,33.6,,29.32,1
