Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
DeepVelo,0.36566122317018385,0.8105891762479932,0,0,0.01070205878029009,-0.2691051807030834,0.09161774478644218,-0.010758924509131164,0,-0.024101690251065636,0.31893900029732875,0.08480331866298137,0.018696652228074002,-0.19635013741133056,0.6166050063818712,0.16856713747855692,0.15704744486151587,0,0,0,0,0.11182459388224057,-0.05343658484410646,0.13303029649088802,-0.126258775086494,0.12696929371079488,-0.07184526340491819,0.1109421481357661,0.03306267455976702,0.15929584068456357,0,0,0,0.16423598413042592,0.06309949633798745,-0.2317789807674708,-0.0910144892952049,-0.4743127469813047,0.6581332346048271,0.2107674917198157,-0.0685274766437364,0.08952442069158008,0.2702276620977862,-0.36253814129475564,0.07701009945306073,-0.07180125412969857,0,0.006662965172788823,0.1273893911213466,-0.4457360896357996,0,-0.09367339155545147,-0.5757162152574842,-0.017435806566885155,0.03691112987669591
InterVelo,-0.1607642498787109,0.5036100421147014,0,0,-0.058197238571192654,0.5687373169229452,0.24638027059224615,0.2590832672091808,0,-0.20440952287498038,0.5357863838489408,0.19077351153033908,0.4062416889086946,0.03733216290338535,0.7932959906591984,0,0.42126740116026895,0,0,0,0,0.49089520584977325,0.14015458453743762,0.08831909493751566,0.14410180799524744,0.2737996688004992,0,0,0,0,-0.04594673832660147,0,0.39166405927345727,0,-0.04121033396359427,0.1993960337159963,-0.09434081082162757,-0.6013738709487385,0.776290293538784,0.404466650639977,0.6896008713770283,0.08232667045038125,0.32576133345564606,-0.40591649649644773,0.14180662342812744,-0.41299077591978023,-0.159243811397791,-0.04211093905209853,0.48814888750518487,-0.7353494948479864,0.09494397677006051,-0.17768605397093662,0,0,0
LatentVelo,-0.15366334468685114,-0.22753147942213828,0,0,0,-0.039587200275998324,-0.039354379808099985,0.1240769473691317,0,0,0.18304457236313196,0.06786782672757435,0,-0.15199371087757596,-0.778990795896066,0.009114801945060076,0.02299122606012056,0,0,0,0,-0.061673533101272236,0.4269559039123002,-0.006918072472445008,0,-0.01096070903654373,-0.03415038006932362,0,-0.09195641059356865,0.00021486358368523893,-0.05123632955486812,0,0.13086106274814552,0.07564278197647295,0,0.00273404675708355,-0.13844365741280756,0,-0.04721921623247148,0.008898701950628151,-0.024539413563847857,0.0269322820348547,0,0.04547581755944055,0,0,-0.043583087502259,0.07789821309047032,0,-0.0779442254858761,0,-0.7847276728407662,0,0,0
NeuroVelo,-0.30582950847162726,-0.8242259715192631,0,0,-0.13056004708953342,-0.7250143100187524,0,-0.044836927297417,0,0.2311425210030399,0,-0.07270930344190947,0.35817815215804555,-0.2130360540919743,0.58507849691329,0,0.4389136389491584,0,0,0,0,0.5981279636419112,0.40751253363341816,-0.13731475447624245,0.10316755724486333,-0.6004646573422333,0,0,0,0,0.45462369622525917,0,-0.04792936982918559,0,-0.1985847537617709,-0.13786846690837123,-0.4457513988028257,-0.37094682281104824,0.16449918497752902,0.1525964518229525,0.6233840723452936,0.06339440215724364,0,-0.631702089268493,0.0924321573425197,-0.42174606770154877,-0.05147432212918667,0.06530489952389194,-0.23943709435126093,0.5576186677509577,-0.03255021338759246,0.7385337428088338,-0.07161856751840187,-0.6204560886173538,-0.12182990233512139
PhyloVelo,-0.17715238792103058,-0.23255238611005388,0,0,-0.34826572506234443,0.42200954512425837,0.037543425089625666,-0.4153273054745151,0,0.006812385590282555,0.05619577491855042,-0.005510724276607542,-0.4147015694945282,-0.025353422950466234,0.8688164661710659,0,0.29695361012967725,0,0,0,0,0.311745100103718,0.11603563524191712,-0.04683283713938325,0.17003157236152136,-0.17933267935195019,0,0,0,0,0.3105399846013105,0,0.30589163433608824,0,0.1332559017014407,0,0.03853196828910925,0.5337539312176013,0.651680461701489,0,0.21140085237645537,-0.01174296698394481,0.038513284937666606,-0.37133808609346397,0,-0.5288908346828148,-0.17707694865293525,-0.05104041058188375,0.5277574463091599,-0.6259801737910634,0.3151437050142064,-0.20659039376139945,0,-0.4475170622961948,0
Pyro-Velocity,-0.06636356547419149,0.4401859309647346,0,0,0,0.005897307268290502,-0.009616229218159788,0,0,0,0,0,0,-0.16202573494471548,0.8660103425511608,0,-0.014242018361579917,0,0,0,0,0.080018589575009,0.29063369283642554,0,0,0,0,0,0,0,0.12343843920517424,0,0,0,0,0,0.03952181938414701,0,0,0.07276287280182007,0,0,0.14369685541028512,-0.46316438559675605,-0.05479578012500324,0,-0.3039310304119539,0,0,0,0,0,0,-0.0051860997201274624,0
Region Velocity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18699424561292372,0,0,0,0,0,0
SDEvelo,-0.06260239181202777,-0.59779488682833,0,0,-0.03632334772874629,0.47207504477205753,0,-0.38183676306347175,0,0.030707484289632568,-0.7705286126672027,0.07478381659667135,0.025923700878965325,0,0.05091781575292211,0,0.31753058232850156,0,0,0,0,0.25287058487157144,0,-0.02196459117250161,-0.12543508629749345,0.19670650767563372,0,0,0,0,0.21187591690103338,0,0.30143535627918777,0,-0.1605243302221566,-0.09413032697850157,-0.12672026269733755,-0.49451331711387203,0.13750909560852817,-0.0994575567407159,0.3301748637557486,-0.06779995663517345,0,0.023765076422430795,-0.33409844448927656,0.26640145141108046,-0.21447347747050352,0.015785698161453195,0,-0.04355074240944836,0,-0.18159768617298175,0,0.17567654920072412,0
STT,0.21037819153962956,0.7108702415672228,0,0,0,0.07716077262115537,0,0.5475519565043264,0,-0.27559657817816835,0,0,-0.42638646330297825,-0.4270024167203921,0.7364775402155198,0,0.0060367667616641465,0,0,0,0,0.18609400292849174,0.3159309367225586,-0.06848328813061214,0.20680306858100767,-0.4764718350080122,0,0,-0.006872444633988884,0.09473486970177629,0.11588584801840052,0,0,0,-0.30871551308233885,0.07207220413036348,0.10740682519031138,-0.0902949000145423,0.13765712075289235,0.34066059235210105,0,0.1330087577215889,0,-0.03889218119142112,0,0.929413582053519,0.2223705074262243,-0.0802135816659107,0,0.08948336497644438,0,-0.12038781297766254,0,-0.32333260388446017,0
TFvelo,-0.3382105313672374,-0.7869893602162725,0,0,0.2555929487892454,0.8118843338459321,-0.1325718936396592,0.09301781322055472,0,0.11804016472688747,0.5906362055609197,0.07288944582879263,0.3237575769164147,-0.34328389009226745,-0.931061348978212,-0.2923644125891056,0.15219554363348642,0,0,0,0,-0.07773837748873309,0.1561404511789467,-0.09572383458112348,-0.02967677891394963,-0.017277014948469418,0,-0.3090280120277813,0.08283802871402654,-0.015960220129411066,-0.31214409517117464,0,0,0.3186495247109202,0,-0.08060082998719893,0.26917165447592273,0.573330975899723,0,0.00843633323902142,0.16116750069401214,-0.08957457602486812,0.11209796814519005,0.23294368014628167,0,0.09054954927928821,-0.07838724439136142,-0.3308084980327,-0.17417877812602284,0.6584882931586726,0,0.15077816962053603,-0.2553940090040597,-0.29936422353609,0
