Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
cell2fate,0,32.545,0,0,17.294,28.256,82.007,14.805,0,0,0,0,0,34.105,37.181,73.027,15.337,0,0,0,0,34.574,24.330,64.356,56.169,27.995,42.435,45.743,31.005,0,0,0,36.221,0,0,0,0,46.642,76.626,0,0,0,0,39.570,0,0,31.596,32.300,67.000,6.627,0,0,32.057,0.000,0
cellDancer,28.562,41.636,0,0,32.071,37.384,54.851,52.440,0,28.651,49.526,45.716,40.157,31.705,61.745,26.647,44.171,0,0,0,0,38.982,39.438,52.345,12.158,31.723,48.085,20.552,34.038,44.482,38.363,0,13.674,16.120,38.395,43.440,29.026,27.642,58.537,47.482,49.526,48.715,0,33.580,67.898,54.489,60.843,30.500,63.900,46.185,16.077,28.901,74.925,19.719,51.036
DeepVelo,67.431,41.636,0,0,35.210,25.349,85.365,50.976,0,32.359,64.534,29.300,46.799,1.870,55.436,25.440,29.314,0,0,0,0,38.374,31.458,16.858,71.502,63.867,22.127,32.886,52.630,47.472,67.305,28.300,31.841,30.943,24.165,14.438,19.856,26.809,69.173,57.388,51.085,24.215,40.833,45.075,2.794,33.728,37.035,53.700,53.467,28.715,26.633,38.048,57.566,32.687,39.857
InterVelo,55.594,66.182,0,0,23.852,45.640,74.046,70.011,0,20.021,70.616,72.302,53.800,38.013,67.114,39.759,58.308,0,0,0,0,64.666,33.682,67.822,75.529,45.257,32.253,12.782,52.129,22.811,32.667,46.196,18.058,24.317,27.770,50.769,25.905,22.020,57.859,37.855,73.225,33.304,67.500,38.307,97.420,12.594,1.084,18.600,69.600,35.743,58.593,37.253,75.007,16.644,41.747
k-velo,63.175,52.364,0,0,49.052,44.651,52.322,68.655,0,51.668,0,60.268,43.644,54.452,59.195,33.855,43.083,0,0,0,0,37.690,56.573,16.206,56.789,43.182,18.752,37.253,47.342,24.730,27.039,0,34.551,34.768,17.597,19.515,26.349,49.245,61.111,30.275,33.072,0,30.417,31.696,0,54.115,32.004,45.100,61.367,20.482,50.692,32.340,0,44.820,0
LatentVelo,69.659,96.545,0,0,0,80.058,5.265,26.139,0,0,99.277,47.220,91.515,9.852,68.188,7.926,45.658,0,0,0,0,62.006,96.010,33.325,0,39.266,32.878,41.364,51.406,53.633,58.296,0,33.194,51.025,0,41.011,44.401,0,75.474,19.127,97.769,5.868,0,29.400,0,98.815,46.147,54.700,0.033,89.157,0,61.979,0,28.175,0
NeuroVelo,12.735,84.182,0,0,16.597,43.837,40.340,31.453,0,69.854,97.433,14.879,98.213,0.530,75.034,12.100,45.418,0,0,0,0,76.824,88.162,14.721,45.870,9.878,36.557,47.382,23.629,25.921,60.462,0,22.234,15.984,25.559,19.581,32.384,25.039,51.084,16.864,90.810,22.681,49.583,28.265,0.000,6.421,55.893,57.800,15.900,99.799,44.402,31.791,58.788,0.134,33.541
PhyloVelo,42.045,50.182,0,0,44.117,43.140,43.118,33.134,0,34.732,43.138,39.470,37.116,37.455,47.517,0,39.328,0,0,0,0,32.143,42.381,36.217,47.548,40.194,0,0,0,0,36.661,33.309,30.585,0,31.811,32.438,0,51.119,47.696,33.819,49.618,36.797,65.833,32.840,36.733,39.900,45.181,42.100,47.433,62.651,52.553,46.484,35.860,42.814,33.400
Pyro-Velocity,27.997,72.909,0,0,23.704,3.953,16.667,38.774,0,40.149,0,26.292,0,49.260,31.946,48.761,33.104,0,0,0,0,32.751,54.611,0,0,0,0,0,16.003,35.030,36.713,0,50.522,63.115,0,0,34.953,0,0,41.805,0,22.068,79.167,46.334,5.319,6.858,11.423,0,49.133,0,0,0,0,28.443,0
Region Velocity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.367,0,0,0,0,0,0
