Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
cell2fate,0,0,0.713357641889093,0,0.960639532262544,0.939342519288942,0.978050003795044,0.957598205344184,0,0,0,0,0,0.750537938396262,0.879519457306184,0.875778454076008,0.390695230028205,0.916682147809436,0.91698903689058,0.970937287468758,0.933131817386794,0.897540867538763,0.952916695230129,0.519797480904608,0.860563544599892,0.879030844818665,0.955123213263211,0.846064113944606,0.792080665353158,0,0.898726159101709,0,0.94203495514631,0.919298222224308,0,0,0,0.831675571183525,0.958763227111119,0,0.947511384448034,0,0.567772878116342,0.518097281708191,0,0,0.936642833958259,0.775332169203188,0.798320804921085,0,0,0,0.00215298207189614,0.91382686394892,0
cellDancer,0.555312130167025,0.207539427721991,0.0709615158481556,0.207249573434969,0.00274851939518455,0.751660534463186,0.131979201693394,0.630000873787223,0.117945894623522,0.509190331483034,0.0798124200603813,0.22785287779311,0.204920643019903,0.116038750365566,0.359230341995419,0.156292458744985,0.987876022295963,0.102718475557339,0.165354254232238,0.273091206404428,0.0745530636883042,0.435764453664481,0.442773350750089,0.0728143787126332,0.135473127585479,0.200727816323616,0.491331461279504,0.421165759846906,0.49900100571658,0.386009,0.27245845026078,0,0.347507540335294,0.0978704984428198,0.277345881551218,0.22527548759432,0.104362151413376,0.0715711184611092,0.208351696521652,0.141225792136575,0.0710257078576383,0.324011733678326,0.0114203286186308,0.169833627430669,0.133400852589727,0.343414411622845,0.142362577295595,0.0934679004350524,0.191036299756991,0.369469128663952,0.414322660446579,0.582795394559493,0.123297854905482,0.189653695739082,0.0706145693048408
DeepVelo,0.927525190996617,0.958776827141159,0.921092973776765,0.959086522541002,0.922826301917841,0.905238834719698,0.963023387273145,0.99036424515603,0.967417851160019,0.98880266619187,0.964280513218266,0.817303010412912,0.965794264460363,0.801168365544468,0.889979991072365,0.780624409129686,0.8633967066781,0.939694338187664,0.902898260210803,0.909650281628367,0.969169845365401,0.885459653364658,0.837776238873401,0.658931629987433,0.912864432202134,0.822264696576233,0.884083907650317,0.840053115605301,0.899049935147011,0.537693,0.933084935482565,0.84099,0.994814481131778,0.660168496963214,0.973125523475491,0.981646579291877,0.942666879133076,0.87289075767081,0.947260991634607,0.968852762209011,0.953664364615946,0.961756796639586,0.822866497042966,0.933352319846268,0.947834136765676,0.916542970438368,0.917588055977545,0.873678016059498,0.979089394446997,0.796402129136702,0.827711624459658,0.915470636195923,0.944886722771017,0.589307303465047,0.945944175134131
InterVelo,0.701145704229388,0.654586983317618,0.665611555908263,0.776556761730065,0.556767887626134,0.71890587534357,0.715963143775796,0.903231205187297,0.725605577171856,0.939543439905746,0.786779270366846,0.681132147104838,0.904426278755096,0.676747009708768,0.707371367744477,0.698794304964936,0.613162652115324,0.72389452775339,0.673641773551194,0.757797770268126,0.584606949436703,0.751829100113166,0.769644073734307,0.495122418445221,0.502432515991357,0.691110921736367,0.643517832774716,0.742031924710295,0.805851222037691,0.671121,0.729437340653569,0.348713,0.883519940518124,0.542482127716714,0.83009743258129,0.876609451176144,0.697936451765025,0.630008259370627,0.653902591927544,0.800881802395817,0.786826842708628,0.87257586670334,0.609285046031449,0.775463314313457,0.69705845701441,0.809942498188059,0.647220797008002,0.619186735880851,0.89561336814807,0.501059326643848,0.87897966156848,0.878089855549535,0.587733794304625,0.548637390932742,0.703100955021031
k-velo,0.664581097018736,0.659051734353535,0.754674483971252,0.262490191086183,0.964709720470385,0.887809768641509,0.488792025618004,0.762765834398418,0.00531192656525202,0.736946824310642,0,0.478327133493132,0.00000697013356135514,0.545701685587127,0.33181377493643,0.598923710600143,0.767596441061846,0.814269422584761,0.53304074838353,0.695306514229704,0.517124830111324,0.280671195742345,0.549173300798846,0.481700048605809,0.515597331479485,0.771328245807946,0.701764216050048,0.985741986852367,0.58836931914022,0.294088,0.518395088233938,0,0.709245981299949,0.915495142820035,0.937150402227379,0.967769798622987,0.00133438530473746,0.926148692839821,0.748796022698261,0.972185984388605,0.638880637315272,0,0.578480689250196,0.00441767967921194,0,0.424982814736212,0.585078138579858,0.548137322278775,0.608531369501795,0.792764394293951,0.874518117796695,0.901359944028003,0,0.925801392596051,0
LatentVelo,0.99950227658853,0.999679314917471,0.999696656043901,0,0,0.999141642558463,0.998782589819316,0.99929519594489,0,0,0.99920522738996,0.999458645026662,0.999900733386377,0.999152398699503,0.99850782401709,0.999033975135848,0.998164927600348,0.999854854372748,0.99944478138528,0.998763495963787,0.999660477613743,0.999740902115818,0.998585505015262,0.999642891040914,0,0.991670669474272,0.999623571376333,0.992820771702269,0.999526282222637,0.998472,0.999863467199163,0,0.999043035299912,0.999270516536472,0,0.999964338155973,0.99975217940899,0,0.999490332607976,0,0.9991679967274,0.999841406892109,0,0.999762788405915,0,0.999656391582775,0.999420602373934,0.999129913761443,0.999296512005888,0.999656829386141,0,0.999540722276272,0,0.999646128221168,0
NeuroVelo,0.999976076311352,0.999939942227394,0.999929447823837,0.999833188133257,0.999925516401382,0.999921843256308,0.999947432732541,0.999918087641822,0.717413501779892,0.999938214616147,0.999993925997411,0.999978794838364,0.999161543430336,0.999788588988614,0.999851293028604,0.999947058300455,0.999904164188513,0.999721466692074,0.999956060282483,0.999326232811005,0.999833946299891,0.999889985525581,0.999841096726344,0.9999179785647,0.999862275821027,0.999944013493418,0.999994097055796,0.99998740967331,0.999978677692477,0.999993,0.999978232701838,0,0.999924576166705,0.998172407121293,0.999905187339952,0.999975219748033,0.999966590107377,0.999907328586534,0.99987320676808,0.999913905977869,0.999989330307982,0.999930475610072,0.999697381342559,0.999969578962122,0.999843204086234,0.999984034981989,0.999909217995773,0.999721068909295,0.9999788256951,0.999251455114037,0.987406546909972,0.999217834571335,0.999981402087459,0.999795336969424,0.999983303072574
Pyro-Velocity,0.414475368632718,0.574133441758395,0.00681622318721375,0,0.529392009824265,0.524881154793821,0.494905043659205,0.273132298963399,0.485485558398733,1.000000000000000,0,0.256941801555094,0,0.278064372262039,0.189809875713326,0.348518929463271,0.554854191739612,0.402710271619073,0.446983948628757,0.406289867166931,0.50122189023472,0.508191410182518,0.554920395047906,0,0,0,0,0,0.340751233128927,0.396184,0.590946601159484,0,0.29293451475384,0.325082478064833,0,0,0.454178318194259,0,0,0.444354640719503,0,0.544707594971287,0.55679475668906,0.544113633994386,0.281944156374706,0.957960517624843,0.660588503586157,0,0.289987620562264,0,0,0,0,0.573964832814286,0
Region Velocity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94252431198856,0,0,0,0,0,0
scRNAkinetics,0.234066579917663,0.321964797926992,0.539372561526759,0,0.48020798394548,0.492881257918359,0.193626722886838,0.481932518554714,0.217052600722567,0.370085943005091,0.585778158048403,0.060352482003656,0.670550759299294,0.178397536538759,0.34200609558324,0.502004454020651,0.878866322971718,0.391800307717346,0.712355896915562,0.383818515013482,0.492383653601444,0.33313480265652,0.660848808309382,0.148751420100918,0.203600092256589,0.455205736096668,0.783268123089978,0.982698048041249,0.495831017616889,0.473141,0.814023948756793,0,0.523910230524365,0.587796296407245,0.293042477068266,0,0.516597180083402,0.253546205426752,0.292991260290173,0.748963952642792,0.686302994690488,0.472653348537349,0,0.767839446399051,0.327657917416882,0.421189726450542,0.689877838431669,0.212056213117681,0.376283592124009,0.0980908447600423,0,0.153908184617058,0.296714829210199,0.690382137848638,0.124060073132993
