Method,1_Mm_DentateGyrus,2_Mm_sympatho,3_Mm_BoneMarrow,4_Mm_visual_cortex,5_Mm_SmallIntestinalEpithelium,6_Hs_Forebrain,7_Mm_PancreaticE15.5,8_Mm_Adult_testis,9_Mm_oldbrain,10_Mm_PFC,11_Mm_Gastrulation,12_Mm_REP1-FUCCI,13_Hs_erythroid,14_Mm_IntestinalOrganoids,15_Mm_Retina,16_Mm_NeuronGenesis,17_Mm_Hindbrain_pons,18_Hs_PBMC_citeseq,19_Hs_PBMC_reapseq,20_peripheral_blood,21_peripheral_blood,22_Mm_brain,23_Hs_embryo,24_Mm_skin,25_Hs_brain,26_Hs_blood,27_Mm_embryonic,28_Hs_fibroblast,29_Hs_retinal_epithelial,30_Hs_A549_cell_line,31_Mm_brain,32_Mm_embryos,33_Mm_testis,34_Mm_mESCs,35_Dm_embryos,36_Mm_brain,37_Hs_bone_marrow,38_Mm_hematopoiesis,39_Mm_DentateGyrus,40_Mm_pancreas,41_Mm_gastrulation,42_Mm_embryos,43_C_elegans_embryos,44_Mm_primary_lung_tumors,45_Hs_blood,46_Mm_bone_marrow,47_Mm_skin,48_Hs_HsK562cell,49_Mm_spermary,50_SIRV_chickenheat_D14_RNA,51_SIRV_Mmbrain_RNA,52_SIRV_Mm_embryo_RNA,53_Mm_thymus,54_Hs_PBMC,55_Hs_cerebral_cortex
DeepVelo,0.106099711,0,0,0,0.146898292,0.103773204,0.097276887,0,0,0.060027017,0.111575981,0.021694134,0.133135814,0.031906463,0.141457115,0,0.181772192,0,0,0,0,0.093275454,0.039125089,0.155768793,0.090810068,0.116376475,0,0,0,0,0.057443965,0,0,0,0.059684391,0.04645517,0.095685787,0.163080206,0.182867064,0.006078084,0.065757918,0,0,0,0.124732533,0.098758227,0.014387275,0.131853409,0.036489795,0.094444151,0,0.105664588,0.12609648,0.012577173,0.111084186
InterVelo,0.191436615,0.191317891,0,0,0.151587459,0.266332975,0.182977644,0.126835864,0,0.219550368,0.210688997,0.265460669,0.162907613,0.081709498,0.22971141,0,0.277868361,0,0,0,0,0.238864957,0.163771964,0.261276937,0.30600642,0.232916655,0,0,0,0,0.169860794,0,0.019754806,0,0.13021264,0.164245082,0.17714405,0.174073398,0.256967485,0.178827062,0.223346688,0.173003109,0.163570835,0.195865741,0.260918256,0.166631481,0.242987783,0.261975688,0.096476277,0.112567374,0.201044227,0.136883336,0,0,0
LatentVelo,0.1863339,0.067450054,0,0,0,0.057024372,0,0.03481048,0,0,0.133325753,0.054456443,0.012036432,0,0.071796544,0,0.215514812,0,0,0,0,0.018801309,0.120383868,0.018407377,0,0.018832478,0.118697613,0.047499017,0.062192702,0.184557381,0.099032389,0,0.008897388,0.049223108,0,0.006923276,0.11386415,0,0.038118484,0.008664697,0.564513342,0.005977501,0,0.054482237,0,0,0.054029359,0.046659981,0,0.077617668,0,0.088800758,0,0,0
NeuroVelo,0.00087246,8.44E-05,0,0,0.001792932,0.000617124,0,0.000866306,0,0.001346816,0,0.000921272,0.009786671,0.000379688,0.001025047,0,0.002752882,0,0,0,0,0.014027072,0.000764468,0.029090887,0.030643625,0.013995516,0,0,0,0,0.000582571,0,0,0,0.000561589,0.001311732,0.000449354,0.102221968,0.00380367,0.000904111,0.00413631,0.001018067,0,0.00023523,0.002862962,0.000646942,0.000418364,0.004618515,0.000268215,0.001233569,0,0.004246008,0.006847056,0.019507293,0.016488813
Pyro-Velocity,0.141920901,0.025606499,0,0,0.121533338,0.254789191,0,0.156797963,0,0.142654668,0,0.110609151,0,0,0.067656541,0,0.405072351,0,0,0,0,0.180032694,0.163725654,0,0,0,0,0,0.224365868,0.172099834,0.154786993,0,0,0.237821223,0,0,0.146872437,0,0,0.214631273,0,0.184090524,0,0.167357046,0.077988873,0,0.241494283,0,0,0,0,0,0,0.096843403,0
SDEvelo,0.117204163,0.000238631,0,0,0.015028038,0.024113737,0,4.79E-05,0,0.000615249,0.004330416,0.016448951,0.007561532,0,0.003063662,0,0.051969949,0,0,0,0,0.009343061,0,0.01818453,0.013673771,0.007911806,0.009985687,0.002077351,0.007271491,0.003505712,0.000252073,0,0,0.015927888,0.001998488,0.00020476,0.010752762,0.010295924,0.008277504,0.000178715,0.007602691,0.001549776,0,0.000368474,0.010022807,0.016610853,0.003211839,0.006200888,0,0.001814236,0,0.001054056,0,0.006221791,0
STT,0.024802969,0,0,0,0,0,0,0.008364718,0,0.008369885,0,0.039182635,0.010738803,0,0.005425937,0,0.030422345,0,0,0,0,0.037111162,0.008056338,0.022886153,0.019621057,0.007228024,0,0,0.022462088,0.020313058,0.009272085,0,0,0,0.007653423,0.014544791,0.012523297,0.004188846,0.022060365,0.01016312,0,0.008989471,0,0.013013018,0,0.011517235,0.019951567,0.015700559,0,0.010265402,0,0.00071703,0,0.018800075,0
TFvelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011411347,0,0.025855645,0.038705076,0.070186549,0,0,0,0,0,0,0,0,0,0,0,0.033370634,0,0,0.012660446,0,0,0,0,0,0,0,0,0,0,0,0.11116884,0.016131942,0
TopicVelo,0,0.000471203,0,0,0.071473349,0.014465706,0.013917859,0.003993175,0,0,0,0,0.000268352,0,0.010394735,0.000848411,0.0008336,0,0,0,0,0.007606138,0,0,0,0,0.001873026,0.005545033,0.008443432,0.000774923,0,0,0,0.000699695,0.000171146,0,0,0.059905041,0.008774663,0.003795182,0.000289036,0,0,0.003898241,0.00058246,0.004546675,0.000668776,0.000726084,0.077684352,0,0,0,0,0,0
UniTVelo,0.046407335,0.039024704,0,0,0.048958451,0.003570749,0.102072982,0.112844262,0,0.031529278,0,0.135334993,0.084920375,0.03382834,0.298936265,0,0.479167449,0,0,0,0,0.270636063,0.1494537,0.202840541,0.098611401,0.019631998,0.039738248,0.034942422,0.188064544,0.123083276,0.146002373,0,0,0.145133406,0.021196773,0,0.103305824,0.205347242,0.251861284,0,0.069748738,0.207588839,0,0.100244116,0.084618114,0.217582311,0.188035255,0.116798243,0,0.070855171,0.166146104,0.036997471,0.101144418,0.105749819,0.104709376
VeloAE,0.210215658,0.224189664,0,0,0.081985078,0.17763435,0.343802427,0.138665575,0,0.054626148,0.019607723,0.393305651,0.653072099,0.02983073,0.586779448,0.52644415,0.541917509,0,0,0,0,0.12211357,0.144671551,0.295497927,0,0.533998155,0.084986027,0.303859021,0.370829123,0.188770585,0.036356349,0,0,0.112413999,0.062873512,0.040005101,0.038928156,0.397247536,0.113964041,0.318593133,0.754671478,0.255698035,0,0.097269234,0.109653356,0,0.083924137,0.378984485,0.262580522,0.39083749,0.121673681,0.364805363,0,0.014414945,0
VeloVAE,0.007693156,0.033513131,0,0,0.007994902,0.020509819,0.005747224,0.006141507,0,0.010787222,0.033345812,0.026466276,0.010791285,0.004533975,0.007771513,0.005957241,0.044931188,0,0,0,0,0.006717359,0.00502856,0.015450256,0.01382038,0.008087549,0.001873026,0.012718212,0.007794086,0.010124893,0.002036224,0,0,0.009635812,0.002276894,0.007004154,0.007492005,0.059905041,0.004481948,0.005150938,0.033634165,0.004335909,0,0.010485109,0.00811977,0.008419593,0.010944577,0.003765811,0.006059275,0.003075061,0.008971088,0.007821891,0.038305259,0.014507588,0.020134099
cell2fate,0,0.003513576,0,0,0.010625923,0.014555647,0.011576237,0.004651661,0,0,0,0,0,0.001724873,0.007126849,0,0.012495721,0,0,0,0,0.007758372,0.002885908,0.014901282,0,0.007872414,0.002107191,0.006490565,0.007866602,0,0.007373007,0,0,0.008870546,0,0,0,0.068010457,0.014921968,0,0.007678343,0,0,0.009961789,0,0,0.013544655,0.008076143,0.002970288,0.002640381,0,0,0.008209139,0.004269625,0
cellDancer,0.008846167,0.001449548,0,0,0.00685341,0.010469325,0.0080801,0.007017708,0,0.020794572,0.076609006,0.021785849,0,0.004534784,0.011794939,0,0.009929996,0,0,0,0,0.199706974,0.023057262,0.283739031,0.257880932,0.141025641,0.007511537,0.00483049,0.007423525,0.02919933,0.015003708,0,0,0.021615589,0.009865192,0.098800327,0.205314362,0.018017447,0.010156201,0.166280318,0.006394184,0.183782272,0,0.147407344,0.163016214,0.005490668,0.022516517,0.019630831,0,0.093437432,0.318640151,0.154047821,0.270240566,0.175664745,0.361568708
k-velo,0.091690422,0.006840306,0,0,0.08461915,0.161940304,0.014950999,0.070471544,0,0,0,0.128443739,0.007625694,0.001239643,0.021995762,0.015810741,0.02566073,0,0,0,0,0.011722344,0.006948817,0.024658241,0.015671371,0.057762595,0.001873026,0.006366737,0.017295027,0.014556573,0.01215642,0,0,0.013137335,0.001416613,0.10479736,0.005193844,0.01377786,0.007602278,0,0.013509417,0,0,0.007752663,0,0,0.018844741,0.010110972,0.004232217,0.001340919,0.008342425,0.010107207,0,0.015288515,0
scRNAkinetics,0.00633396,0.000276262,0,0,0.022885069,0.018316316,0,0.005809173,0,0.005473135,0.011876268,0.023105703,0.008226537,0,0.001650012,0,0.02343512,0,0,0,0,0.014315883,0.00333647,0.023007326,0.006504759,0,0.015289163,0.022367026,0.005500417,0.012992174,0.005194404,0,0,0,0.002394251,0,0.004838976,0.01689997,0.013818619,0.007158439,0.013726029,0.008466229,0,0.00257468,0.010657268,0.006808266,0.004297404,0.008802606,0,0.004699997,0,0.004367558,0,0.00263315,0
scVelo dynamical,0.076622642,0.078750762,0,0,0.1636088,0.094155407,0.108620387,0.057889601,0,0.04593564,0.071737857,0.070828352,0.088499355,0.023465987,0.075510026,0.071917638,0.426446128,0,0,0,0,0.041105343,0.108932322,0.089195378,0.045646436,0.04422282,0.055356788,0.070572986,0.126499103,0.118345391,0.107372909,0,0,0.055002983,0.035182558,0.219525192,0.051716573,0.179760538,0.180525591,0.16756555,0.02618981,0.174690161,0,0.091570676,0.044995762,0,0.12089518,0.062716717,0,0.127763493,0.203810959,0.183315432,0.083415723,0.059073348,0.030483623
scVelo stochastic,0.05296181,0.012841086,0,0,0.081882047,0.155919261,0.125661083,0.067056329,0,0.02464851,0,0.135649619,0.039924989,0.015917854,0.105519439,0.166852168,0.18965308,0,0,0,0,0.056333004,0.081768516,0.092997736,0.021353199,0.062872919,0.088776185,0.075542526,0.082149392,0.164843003,0.093752738,0.068830838,0,0.086984899,0.062334504,0.0958423,0.050623641,0.047003823,0.126305838,0.063388779,0.112536064,0.043034972,0,0.076074134,0.091171778,0.048145593,0.15963255,0.076596531,0,0.069716126,0.051517407,0.043928214,0.275004353,0.05003144,0.026759513
veloVI,0.029246687,0.079707638,0,0,0.054681781,0.106659641,0.06851632,0.046950399,0,0.012651336,0,0.097842893,0.020061859,0.021187108,0.12088099,0.114475798,0.097527075,0,0,0,0,0.095110289,0.067126828,0.052710083,0.076637793,0.03751934,0.030749071,0.020161523,0.162350839,0.08489977,0.020230589,0.052188091,0,0.096234925,0.024873582,0.038914504,0.029415059,0.11640884,0.130573622,0.047597553,0.036449516,0.044194622,0,0.069653863,0.016552453,0.056638041,0.05346968,0.085008264,0,0.02909068,0.062780255,0.042011151,0.053908924,0.014904823,0.020057621
velocyto,0.000604754,0.00136334,0,0,0.003067052,0.007952265,0.007368647,0.004507098,0,0.000448809,0,0.016456288,0.001154125,0.002290329,0.006192323,0.005294918,0.013417621,0,0,0,0,0.069921071,0.001762321,0.040201238,0.279329669,0.061631196,0.006071302,0.002016864,0.006494418,0.008159179,0.000597902,0,0,0.01403309,0.001187886,0.001677811,0.001044878,0,0.013657382,0.000362624,0,0.000462068,0,0.000920768,0.009056317,0.008416514,0.005185194,0,0,0.026334834,0,0.019591055,0.006819685,0.004545997,0.026904293
