Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,lineage-tracing_rep01,lineage-tracing_rep02,lineage-tracing_rep03,lineage-tracing_rep04,lineage-tracing_rep05,lineage-tracing_rep06,lineage-tracing_rep07,lineage-tracing_rep08,lineage-tracing_rep09,lineage-tracing_rep10,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
DeepVelo,0.5923811534728578,-0.3042188453541276,0.03228288378046994,-0.2919286614038606,0.4345781435003765,0.17383494509337968,0.2327907681693725,0.06433624992644955,-0.09222915906385377,0.36202088547407874,0.4867572426442961,0.4077473406290731,-0.07712055820710287,0.07990182735494897,0.12186120454506809,0.0891661572509623,0.0016194896958695716,-0.28961043013352505,0.42220317459670553,0.4001596952124074,0.36375172179135024,0.4079698782222085,-0.09662230119456863,-0.3134608097602507,-0.015293304317565305,-0.3024188942455232,0.006864640981456704,-0.12986755568900224,0.013640543032548596,0.00024472151064234985,-0.06318797719870745,0.01577635142361665,0.18063213108443749,-0.20607732763488926,-0.04483457884537202,0.04302138094676531,0.18797975921814566,0.07461730344297195,0.1393888862062034,0.019886367066709904,-0.22373583887846019,-0.23041004514349694,0.009744504261075064,0.14785000926749187,0.08459221138085052,0.12266868774667407,0.23429467765492884,0.13837699378684135,0.3406453968357421,0.24532485999999143,0.0908129316227943,0.5596325397653834,-0.11122665795918023,0.2667363279728422,0.2739328989087549,0.16997605503774807,0.1891354886609049,0.5136956408143637,0.5072087130117529,0.5668541419886937,0.4285450041434628,0.11558486607370583,-0.16130225360277756,0.2881562736741454,0.10196949491551664,-0.009189309341383014,-0.11313542911495224,0.6007816817669066,-0.025801701637698307,0.631585034808999,0.6948483814881897,0.8303367301174803,0.8282049063605599,0.10233993600380192,0.8846486232257171,0.5857479225492966,0.12216110142636193,0.6049964700771616,0.4959096986445535,-0.04353938713960743,0.04306573911045968,0.5544253525621059,0.2926823065543161,0.5558081989330653,-0.05321578732178042,0.30697578889860566,0.49679341531074467,-0.4370863089416007,0.012291490611576245,-0.22470362782629133,-0.01443409262271693,-0.34316683348583094,0.060389705019473744,-0.009030139444009586,0.1697671504489914,0.8509055980378044,0.8312970273887402,-0.5484200945449901,0.8381961941932506,0.7113687711228052,-0.009794696257413934,0.49478405955402177,0.7180988343418095,0.03492472669919554,0.13217092893308957,0.38090492196530473,0.4182886452880986,0.09917860171443804,0.06972065736480342,-0.0999070446418756,-0.17813639667785075,0.07365741584686658,-0.06135777155059095,-0.32735212493334076,0.35162502381002714,0.13082668953857993
InterVelo,0.34330444709689284,0.5684387015504484,0.5550739982678642,-0.25463221776253026,0.5530929507435879,0.01757261097452749,0.2532507345515982,0.5439331691380241,-0.3213739003710121,0.34536901666212544,0.1839214102155574,0.17097565402730064,0.5415428368909878,0,0,0.5430270500140357,0.4925385814260693,-0.07299528821574147,-0.1415638855628569,0.06661229055943306,-0.37842452209160093,-0.3615311192845222,-0.10199891415897211,0.04311373640512895,-0.30811567780657456,-0.22868368838338907,0.061587938919449546,0.2534707944053895,0.23123638560682966,0.3297777107705617,0.37066990100476943,0.25279361917563525,0.28055304744958415,0.28938981030706423,0.2749821399297798,0.25124043079499997,0.5864060561510654,0.10057593484088408,0.4653819031883834,0.4055796679791982,-0.026042976546455415,0.4820297330398105,0.4420235154527997,0.242953938312439,0.4110878265810511,0.03064762968688271,0.23342203964438057,0,0.41928828920748973,0.48787212776861977,0.009190265227579316,0.6431563554271171,0.6586239951497057,-0.05205467240735137,0.3926052419663047,0.6539882256329831,0.5582688627290455,0.22545226344938143,0.561905931103699,0.5443274499638078,0.3670425583014428,0.6132419534923907,-0.2274459299630692,0.5735218231234092,0.2979818081068843,0.1721490487717018,0.33886202015082273,0.5789789030662396,0.5287243261434315,0.606577472764998,0,0.8379778228591571,0.6567188621784792,-0.020328332915351674,0.7384994155894317,0.49941497604586954,0.8839435987601881,0.6765345450091217,0.5338822609143925,0.5552168572487782,0.03155577349370645,0.6283138779933939,0,0.7690516705786387,0.37100452899207276,0.10463659667260292,0.6870357737066691,0.46706839208388556,0.10409173269796741,0.22643027940844548,0.4130807872788169,0.6590072418361103,0.02336192367721966,0.18708985653353827,0,0.8368072045284008,0.7781355518253734,-0.7157256017636313,0.8336516172514394,0.8382472475142476,0.6872948713627891,0.6153367389735294,0.7421975442586305,0.5683995075473163,0.22284152199872492,0.41265515737057823,0,0.4027621662531523,0.3903688941628536,0.3017436304376408,0.3711216542753491,0.36492762619211105,0.178672201592252,0.2981840918371048,0.5549276221123359,0.5045881758252619
LatentVelo,0.022670079186070592,0.051052989688488815,0.086508305389322,0,0.14551204307915572,0.18183496972877522,0,0.12234737607293028,-0.35945307797842574,0.0667011351078901,0.1512610806513426,0.03507086735813555,-0.9236767611193311,0.05687155935376888,-0.1590782535100794,0.5898602297192659,0.33829667403827585,0.5893039143812724,0.12869735427728143,0,0,0.717639500304802,0.4940113841601319,-0.29075621042696764,-0.12821608542221,0.6753725511684987,0.09119422185286974,0.14278965008214278,-0.057224783541182114,-0.03590917770184394,0.06488751856784487,-0.15720020498880913,0.31684565701154077,0.1427033795913132,0.13292768488782367,0.20499790280321922,-0.009534315615036603,0.10692780743636349,0,0.03560174839948026,0.04252823115784594,0,-0.12453349568663383,0.017669662852179833,-0.028911082323944973,0.007136605610086038,-0.017875860266563445,-0.004693613298955695,-0.0027867649682612,0,0,0.07082414368281299,0.24218365623908342,0,0.1652295601334092,0.3030590317109065,-0.07615332949521378,-0.73485365997969,0.034489590609965086,0,0.3274851655961718,0.32826926062026607,-0.3865059782706412,0.09685719764255497,-0.9429735729104933,-0.5406384286245984,0.5811691118387032,-0.15344770674668073,-0.16695453143496736,0.06348331740180174,-0.017395081968231575,-0.6423897979691722,-0.13722160738907024,0,-0.12802839526998108,-0.03129285131046959,0.1156405360953507,-0.022732564663712228,-0.07077074289771462,0.086508305389322,-0.11254758421765722,-0.04648784073315735,0,0.06911592150800719,0.14998462155823866,0,-0.13838953906421422,0.12469385149110317,0.11089648542542202,0.14146135214424552,0.05811488004258417,0.002155645594586198,0.03717924418900992,-0.023393996597811353,-0.0010917638076113454,-0.08393232893292624,-0.07147763588807783,0,-0.0758593011048958,-0.03682055852584712,-0.2221670817490163,-0.13513593287639458,0.01682031104313436,0.051052989688488815,-0.014610844228248588,0.003156599896015471,0.02704665297343727,0,0,0,-0.0108293814545761,0.9774150596454836,0,-0.005825903315947536,-0.18398087590971196,-0.04121566206370777
NeuroVelo,0.007322002903214322,-0.5673792998203205,-0.545314896663937,0.07857850356122052,0.185842657033357,0.20978333301065955,-0.07586415114559514,0.3532432349731576,0.13624991883607362,-0.04657467795082658,0.3059129158268977,0.3059129158268977,-0.08140397461033243,0.3828530226738019,0.4505268023495111,-0.3276418016644174,-0.6163101174938287,0.09970578716031346,-0.4439303677176047,-0.5930530675771049,0.3954556852492276,0.3700840034709387,0.01904929655176172,-0.34139438665580357,-0.3176922792958046,0.34491083114371424,-0.0076945549500581495,-0.14966900538850134,-0.14970765989729937,-0.06338613062890046,0.10603123270397329,-0.13343841436001144,-0.2011943543886147,0.13890443103010203,0.10733132463960317,-0.20366297173938092,-0.2644797089715253,0.2664021800261767,-0.01565015116660645,-0.084342527173092,0.21257780412418117,0.23196749960165214,0.006501444473374342,0.05314145467763924,0.057591758982332535,-0.16740218305980017,0,0,0.3327005218930653,-0.8274861204465005,-0.17773197190751044,-0.5166352545357917,-0.8527251674304301,-0.265735936449535,-0.2705827753844754,0.6069843296597587,0.561881234175477,-0.5808165104421488,0,0,0.39348175013750825,-0.6320931477440497,0.05409158221042163,-0.6171286677770845,-0.536877932961061,-0.47919719246335774,-0.4824268538596596,-0.5361347615737486,0.1769180123967762,0,0,-0.23195638663009757,-0.07563303178107657,0.0803590657668302,0.809255239416136,0.15619067840488549,-0.8779020911961661,-0.6157758339341423,-0.0981915364996684,-0.5725459790418267,0.06610203575499084,0,0,0.5050536811174361,-0.22705658424764136,-0.26043895205712003,0.4429077928278747,-0.09691842619382532,0.09943739753780588,-0.23144753641987212,0.19882364530580315,0.2694790497624112,-0.030570260107236683,0,0,-0.7365142581012183,-0.8234445479568004,-0.1386677230408838,0.8253041525410499,-0.7868169527104346,0.7072017343009437,-0.6232447911197291,0.7166255619495832,0.356265034216677,-0.33858734080222314,0,0,0.14719259521582959,-0.5734054373756631,-0.45734828369219277,-0.42577648098515936,-0.42662701697915295,-0.5013634524305421,-0.2733586323256236,0.29054960044738737,0.432524001038788
PhyloVelo,0,0.4141093815685692,0.0917836391342973,0,-0.5797052029322438,0.23947946054941957,-0.0429799615787979,0.034378573369850424,-0.7633420362056506,0,0.14203771652121297,0.14203771652121297,0.3547938216244124,0,0.1430841006469266,0.609483995801243,0.48329483378172894,0.2103740540332371,-0.12870770506810855,-0.06115862075315582,-0.188483875571507,-0.3504389621667946,0.3911509330271565,-0.279453330236878,-0.07613742369605456,0.3316388099124744,-0.03849504923559917,-0.12110194588251154,-0.055207589339354574,-0.04297077662326486,-0.027877362542230395,-0.05259091546572169,-0.008971053260701887,-0.010359186255659125,-0.17384550764667325,0.09805964458809284,0.26652701377523896,-0.22256708191352184,0.25085474526636514,0.0540286490293014,-0.10966376431408222,-0.17557030564332549,0.43976020178725456,-0.0744599382548466,-0.314822580255936,-0.015672898973549253,-0.10613653664362029,-0.036354716756762204,0.6901576366144592,-0.26779765471440314,0.5072454905941598,-0.05020938452804042,-0.022395801922688034,-0.15299387277674437,0.5135489149620944,0.20313392681301184,0.2394682889223449,-0.269536046023091,0.0661152182361824,-0.10512596669152113,0,0.1838953326522092,-0.7633420362056506,0,0.38275706054550185,0.4370209033555155,0,0.24959901026778344,-0.2935010566337911,0,0,0.3436352425239446,0.3532421605883204,-0.0029552742829143663,0.6045318875307877,0.29009039139200476,0.8967914945175387,0.6075654543421154,0.4009814785074373,0.48513359965018266,0.06687190409643931,0.243856957516772,0.11315310118494132,0.5853453785247346,0.18653788186758175,0.37779971250058536,0.21984087256427384,-0.10537215793756746,0.20345717676235203,0.22527244512402383,0.29838958362054585,0.23009845295898743,-0.36186695891682874,0,0.07208942310706153,0.21168627271352758,-0.7249359845373134,0.11648956189033632,0.5705251206369808,-0.6467367191278123,0.7128253181046464,0.6600638526872648,0.582251462559836,0.543480377466487,0.03129722266731032,0.4124749068225222,0.5137843233522249,-0.9814967605025128,0.09829933629765625,0.2621727020594533,0.36492101093089413,0.24939656322416742,0.4717688867892433,0.5116131981484977,-0.005495713481334602,-0.12820934139608
Pyro-Velocity,0.09591049528371363,0.049260757779252734,0.3930848121024849,0.043334062558405335,0.3460630309172043,0.0160764295372026,0.04978232741778127,0.3165623416881976,0.4287505582244219,0.1950523136922592,0,0,0.6956832861372635,0.23941246598906027,-0.9602332754727714,-0.21449657377514708,0.0011604219316530158,0.22527746697750545,-0.10941844461244774,0.5154404076956967,0.03261957018079854,0.08141043841275403,-0.41216617509081044,0.2850411425380831,-0.03763300448552539,-0.04808510360458035,-0.2797935828555158,-0.0911146721876578,-0.1881594638472846,0.14259265123705675,0.1263727730748652,0.05823233588657947,0.2259035229030842,0.07205739428116521,-0.14665207920517748,0.20732758295105827,0.4120838453359068,0.5046457915178891,0.021658541376138617,-0.054343148420926024,-0.5634220694327835,0.09503318321460984,0.06316957512037108,0.22654024530211675,0.0011028180805981054,0,0.023876047763558644,0,0.0022866696093312,-0.8163898190078004,0.9446873715718348,-0.3784026212638437,-0.7421190222170978,-0.5190248634955344,0.018710509117222503,-0.9375126533738612,0.628970472586671,0.4580171419442093,0.08787253811961131,0,-0.09856354145366186,0,0.4287505582244219,0.38273524472120046,0,0.6268913722649132,0.05753128233337145,0.048315606065352235,-0.37373617542798376,0.14641627527196008,0,-0.03361403746256604,0.09260361094891478,0.06675035979345416,0.20515491944817246,0.144015257624332,0.45924539637990536,-0.041245488005865395,0.5737099057691546,0.5368681247321466,0,0.3491799012762139,0,0,0,0.018078061083477544,0,0,-0.21295034819377634,0.02049121917822838,0.17271508227465993,-0.04881350793639608,0,-0.2183809819425522,0,0.4927626591671044,0.01701143742067418,0.04944411367486792,-0.4646087141398759,-0.05627971960053143,0.35262433411453803,0.030928429987108607,0.26629417186084436,0.049260757779252734,0,0.11465508420212761,0,-0.9983509180532364,-0.5316737884772752,0.5516922158644029,0.7130847479992961,-0.5000920437945413,0.26292347991749004,-0.047415507265942965,-0.5142333038782225,-0.07581218914131256
SDEvelo,0,-0.5142161310603051,-0.25002980568872557,0,-0.6169324591816435,0,0,-0.10811027814010922,0,-0.6455724205909652,-0.4257015107344833,-0.4257015107344833,-0.04554752137551929,0.058651612736887196,0.19655299907399815,-0.3885506994589411,0.26426457008877785,-0.6723697632881538,-0.12180418863818174,0.3622553940894456,-0.3435449992958289,0.22989694727222768,-0.6837994457852569,-0.16529574670078012,-0.3520418190333792,-0.07935515018918514,0.005301180313604743,-0.15008335749508944,-0.13111078091212366,-0.02980647092876814,0.0025288702174294554,-0.17568752216947273,-0.21375515845761664,-0.12168303542187828,-0.2320833637410323,-0.10558965998630479,0.41654987796132487,0.5547350774708965,0,0.6000598379918431,0.07808250341714518,0,0.35865253201132496,-0.1840640898953698,0.19774321532560252,0.11708621480062978,-0.23207506639500608,0.5512649554705117,-0.15825739238837283,-0.9298556593155826,0,-0.4933193591275996,-0.4490386974216672,0,-0.12585247858386112,-0.11729462570156185,0.45262772703641974,-0.08329618846677735,0.23873330862810913,0.3401284610888652,-0.2690514652035595,0,0,0.065611457134969,-0.2719069223988592,0,-0.261126137207822,0.09065774338235728,0.22556156929631532,0.052274404350408844,0.9313206726711428,0.13092707028307243,0.03731955919065109,0,0.33305594742823375,0.2447704475119123,0.4785094228056762,-0.32166962561957896,0.010700548643241978,-0.25002980568872557,-0.3795971651840485,0.5189330607337614,0.13812588189641484,0.5207880675297015,-0.7253792962387259,0,0.4664242376368207,0.05624280812271307,0,-0.15059970488692984,0.024727673060968236,0.07321989874275141,-0.1407300958780753,0.04521140483406619,0.026012947951933034,0.7761719770312795,0.5305252161543075,0,0.8242644926837813,0.27687346810004154,-0.3194241143005984,-0.34936491720317026,0.5776526385183941,-0.5142161310603051,-0.02926627347117769,0.07904208551949878,0.17230377635428354,-0.9981558237833482,-0.8511574235747535,-0.2572391503588748,-0.6231983910304735,-0.4618825108427158,-0.3269996462975449,-0.18510574466777602,-0.08239852132165411,-0.22534598770809042
STT,0,0.4776451891473347,-0.2909631142312735,0,0.8597270886204103,0.2744670152719238,0,0.1058322094097098,0.9956873893310996,0.8312434601299498,0.11243540154713265,0.11243540154713265,0.5238590996801661,0,0.8835541064363392,0,-0.11809781175291334,-0.3308725144708381,0,-0.4610474168929749,0.04657761700302457,-0.125958377897605,0.26707753949041596,-0.44748687646650387,0.2574045029987574,0.09750864639784058,-0.08170767391153694,0,0.026199891081850946,0.05347854206264996,0,0.002824872513470766,0.07129080926860988,0,0.10458799591919829,0.02435072479560269,0.47178164153771196,0.18019128431778203,0,0.6861778726676464,-0.09350258581341855,0,0,0.6326788752550953,-0.08193338364167232,0,0,0,0.9098369861846057,-0.8772342370022356,0,-0.331155574279769,0,0,0,0,0,0,0,0,-0.6700765193363797,0.9767670380885229,-0.03728500151955543,0.054028184836435865,-0.40092901351552374,-0.9508179684133756,0,0.48810935778071135,0.8690760629402325,0,0,0.650060433929465,0.4468872800452589,0,0.44062368844510635,-0.12802518422551143,0.9419477834959393,0,0.6352499741818002,-0.2909631142312735,0,0,0,0,0,0,0,0,0,0.2214561992212316,0.6038178360326342,0.06618622030540976,0,0,0,0.7683582681386475,0.6041184672820965,0,0.838400092410668,0.7453595977120911,0.7849561419332421,0,0.7590258121399174,0.5020681415521783,0,0,0,0,-0.2723984973336208,0.0220829491368278,0.9001679671773622,0,-0.07436999065290943,0,0.6676343649845562,0.21036480032573757
TFvelo,0.8105485922556847,-0.5512565928605112,-0.46578659559353436,-0.18362436826128137,0.17402718088978109,-0.18727347390173676,-0.003183431216812211,0.5377863960332814,0.005915045240554766,0.3238270641576875,-0.3202778427243066,-0.3202778427243066,-0.11471370653074654,-0.08165059338743065,-0.013081007239264081,-0.14962170752334916,-0.6091108945244994,0.7316220896638346,0.10758297548088837,-0.4897016808875761,-0.41532015659545013,-0.380349905415051,0.3500981821805976,-0.18228204246902346,-0.007960092239318286,-0.22645113754463608,-0.032231397237740794,0.12819119113433927,-0.007347852123323146,-0.0030672685671255806,0.04785786909757406,0.0846718256702877,-0.008479929804896022,0.03958315494801864,0.09867025964248653,0.052612216439269555,-0.1005536455670769,0.09928835870543502,0.04898062441371141,0.05170413287239492,0.07471312484330284,0.05237279772267498,0.08840944419450442,0.3775733235256492,-0.13056478987851236,-0.05161749847885395,0.016011868712100117,0,-0.09822505619717908,0.0004833700284385771,-0.017004176927045766,0.09796002640047988,-0.20129082973110243,-0.08375144106850607,-0.1864845255007018,-0.2629069047632479,-0.1415334766847366,-0.004237295096405452,0.20893719593527366,0,-0.5781409622157642,-0.07819553633038813,-0.24388811617620648,0.2769448037619254,-0.515633875378439,-0.11585447465397329,-0.4361865663436305,-0.43004707250254415,-0.063347181141269,0.16488537297489966,0,-0.12546402684751293,0.15373477321716822,-0.011482608168661285,0.16565066550298954,0.5665647516795319,0.17605481988208646,-0.10281982421822612,-0.03939741524479768,-0.46578857081103947,0.12423652611729646,0.10067473909502603,0,0.1264336145305083,0.023223136497938703,-0.05610048167578431,0.01424179756362841,-0.1788915154255686,0.2024669999168634,-0.10392731047416612,-0.08560782799862983,-0.1545879569061443,0,-0.15351721492718293,0,-0.6574718699840555,-0.10778904800121239,0,0.5368732928755834,-0.5434921101174277,0.08531374311772695,0.28849225396613537,-0.20385904797125617,-0.5513980374923442,-0.016643561802077506,0.22473179067702495,0,-0.4067960593365775,-0.005295590460321121,-0.2975723810236986,-0.26864417033484483,-0.0030656874694714718,-0.11018651993669161,-0.30306645290958095,-0.13754091724470408,-0.3051497840647909
TopicVelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1559270082361104,-0.07198610524470488,-0.1999558323120503,-0.3387450820286747,0.3242686851254113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4397601479365555,-0.22556622271735385,0,-0.04178834981685976,0,0,0,0,0,0,0,0,0.5135491164311682,0,0,0,0,0,0,-0.6953494945081016,0,0,-0.1109896633793968,0.1492128215999167,0.4792971686377932,0,0,0,0,0,0,0,0,0,0.5533910216899409,0.6075654605954317,0,0.1593774782457585,0.05054682737386249,0,0,0,0,0,0,0,0,0,0,0,-0.3757189295916851,0,0,0,0,0,0,0,0.3520342770240728,0.66006393636682,0,0.18991066079420577,0.08526843031581145,0,0,0,0.0069962944000103,-0.122083004475698,-0.2145880360780653,-0.13036343158967914,0.7052254510742075,0.5116131749238192,0,0
