Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,lineage-tracing_rep01,lineage-tracing_rep02,lineage-tracing_rep03,lineage-tracing_rep04,lineage-tracing_rep05,lineage-tracing_rep06,lineage-tracing_rep07,lineage-tracing_rep08,lineage-tracing_rep09,lineage-tracing_rep10,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
DeepVelo,0.337017907,0.914129796,0.997898903,0.289923337,0.893972284,0.677259141,0.409617146,0.993931484,0.934448701,0.884784126,0.899327046,0.883184958,0.996089347,0.730645189,0.918523508,0.926427421,0.950960958,0.925543314,0.862379839,0.912973128,0.951871479,0.960679905,0.860733131,0.914162897,0.847379429,0.833783338,0.879900372,0.863153107,0.838197499,0.841444633,0.828205832,0.815123922,0.822365676,0.825644757,0.824239227,0.802208711,0.900748354,0.847588309,0.404393252,0.922284586,0.821995309,0.357464588,0.996975435,0.901086671,0.741859213,0.481047829,0.789678129,0.812123257,0.940220099,0.846041304,0.389049555,0.908174708,0.771028343,0.379756432,0.998266906,0.828285732,0.582951428,0.382746839,0.803745251,0.860725678,0.949703619,0.886049003,0.911100905,0.944561535,0.921646358,0.995669251,0.997956106,0.882388546,0.725643197,0.803736182,0.787280534,0.926061481,0.820536668,0.348608694,0.920153366,0.795013839,0.989947846,0.996515419,0.878017314,0.998059045,0.502868546,0.678676106,0.675625445,0.939551687,0.92158963,0.465943199,0.936104138,0.905184093,0.430108571,0.897207361,0.91143007,0.729968819,0.545599153,0.604226346,0.797864901,0.916501489,0.761046688,0.347029344,0.862298749,0.77977761,0.978004391,0.995565817,0.871773108,0.972607033,0.50736145,0.638025677,0.684826282,0.897387328,0.945429832,0.99509975,0.955113966,0.985536314,0.994461373,0.94768224,0.861792535,0.626095433
InterVelo,0.248044254,0.78934115,0.778110534,0.221620798,0.570875277,0.427310158,0.26228607,0.813058472,0.664820812,0.637331429,0.646777961,0.643416495,0.865108813,0,0,0.851852437,0.969401012,0.949025183,0.902399441,0.906707919,0.95791238,0.964110546,0.953364382,0.943122799,0.918949484,0.909442032,0.343545275,0.345584007,0.359472307,0.388622013,0.403270135,0.415202366,0.435545035,0.444214039,0.463740494,0.467720877,0.544656317,0.472108566,0.274603169,0.538539211,0.44450586,0.254328939,0.78138685,0.557396854,0.487593512,0.488654307,0.52148891,0.607940784,0.614185257,0.49067544,0.279834704,0.538599822,0.450790941,0.274390154,0.756302947,0.48739528,0.362552517,0.308313136,0.510255472,0.613216288,0.631850537,0.905487765,0.665255695,0.876800367,0.899040855,0.856076838,0.821621707,0.473235629,0.393846905,0.549888042,0.582353751,0.555273975,0.465901254,0.234044229,0.54842676,0.446025617,0.844120457,0.702536072,0.58474195,0.777944963,0.512228634,0.439384192,0.506982468,0.669620727,0.54112212,0.300045481,0.613640275,0.503021974,0.282568594,0.626984415,0.567025082,0.452937227,0.540564112,0.414587121,0.585701166,0.464437594,0.330014547,0.231560953,0.425380522,0.326984985,0.852565611,0.914735565,0.596648023,0.789580263,0.520425607,0.391400284,0.465858499,0.539095029,0.89823636,0.825537985,0.890950938,0.890438902,0.813028902,0.785837809,0.502230831,0.335629091
LatentVelo,0.815128754,0.999264607,0.999522582,0,0.908540876,0.917207239,0,0.924484315,0.876394539,0.879578379,0.896351413,0.926371523,0.921974286,0.882713713,0.932298105,0.828729869,0.998972686,0.997476411,0.999858605,0,0,0.999977511,0.998756626,0.998115722,0.996766017,0.998506758,0.999078912,0.99881955,0.998515145,0.99884757,0.999464931,0.999304553,0.999630166,0.999517732,0.999604126,0.999675826,0.843224348,0.845425288,0,0.849988908,0.9126414,0,0.999773904,0.976824932,0.851079232,0.9285829,0.923422789,0.989592624,0.88855385,0.908144754,0,0.871636144,0.889626494,0,0.999615261,0.929324807,0.934225854,0.937417317,0.964773147,0,0.853367893,0.937073535,0.877699084,0.928684575,0.956714382,0.911246936,0.999943932,0.991469001,0.904243799,0.961989546,0.979693698,0.77460966,0.883898606,0,0.861941251,0.828490817,0.910817978,0.999553683,0.970659656,0.999522582,0.877935296,0.900124069,0,0.946426648,0.804667764,0,0.850899405,0.924076108,0.888385133,0.999086108,0.975949653,0.873329185,0.919171991,0.952180631,0.982781865,0.852661637,0.847868277,0,0.823815488,0.884363272,0.947162614,0.999520919,0.981088703,0.999264607,0.90574531,0.911775055,0.960528185,0.894062092,0.907647292,0.866664146,0.94836402,0.915065287,0.950930911,0.998765225,0.981578583,0.977278485
NeuroVelo,0.215729554,0.978198298,0.977042695,0.207825339,0.615426948,0.432432769,0.237510034,0.985095833,0.764104052,0.65605086,0.647620424,0.647620424,0.989396428,0.353322034,0.613190516,0.973386709,0.999958477,0.99990751,0.999841574,0.999923157,0.999916679,0.999968483,0.999845004,0.999904315,0.999871687,0.999831994,0.998834378,0.998974271,0.998429674,0.998548773,0.999217012,0.998146312,0.999180272,0.999178873,0.998789062,0.999411133,0.66618591,0.492388056,0.26593793,0.687852399,0.43238249,0.239610816,0.999971979,0.606310423,0.344040557,0.613528826,0.499243265,0.574936935,0.79048632,0.531684815,0.280052443,0.62567574,0.453692161,0.265591919,0.9999687,0.533084771,0.323483635,0.192699522,0.481704808,0.59919547,0.721075177,0.970074642,0.705472579,0.97854627,0.965014222,0.96008408,0.999976017,0.575975656,0.390354595,0.507369016,0.56592204,0.674151479,0.529543405,0.21852146,0.65060748,0.451495735,0.940603887,0.999978999,0.675864204,0.977056081,0.631881009,0.409219453,0.458799598,0.80757886,0.640054894,0.270252907,0.758876426,0.587834417,0.259596658,0.99528032,0.644565612,0.346341349,0.616869685,0.525714693,0.550525363,0.566204079,0.284297152,0.221674817,0.470121327,0.281887759,0.939382715,0.999954969,0.607952533,0.978236469,0.645161309,0.359731823,0.43372595,0.665515577,0.967209957,0.953857423,0.965055053,0.961805554,0.941413135,0.99993605,0.547439213,0.287953664
Pyro-Velocity,0.769939808,0.748459799,0.812372153,0.855744219,0.72261154,0.816067128,0.807989865,0.761772913,0.849036041,0.72262612,0,0,0.784635804,0.782023645,0.902276544,0.870504081,0.793263839,0.832318645,0.869945921,0.830184348,0.831661692,0.829216357,0.783541132,0.823424665,0.831344941,0.833561066,0.576964396,0.540588921,0.636572678,0.691101269,0.643972756,0.445343672,0.727781712,0.650210121,0.473630316,0.826854925,0.859206954,0.879305562,0.677975438,0.858702692,0.846358028,0.771560768,0.487457558,0.849860725,0.838860645,0,0.944664969,0,0.866726366,0.87954505,0.663842638,0.831508563,0.846565921,0.802952066,0.49574293,0.84826335,0.793312892,0.648948772,0.944551501,0,0.864796849,0.797526249,0.849036041,0.79493421,0.801058006,0.805614845,0.526759819,0.790931254,0.785633808,0.958529255,0,0.838197009,0.838509693,0.809636177,0.877171734,0.793554704,0.807723145,0.475776182,0.771764609,0.787648252,0,0.896264427,0,0,0,0.772212636,0,0,0.689084911,0.54402475,0.848665358,0.796777294,0,0.621028896,0,0.850526504,0.900217843,0.725481611,0.851335691,0.868115101,0.841165172,0.505225021,0.721328182,0.748459799,0,0.928543985,0,0.794446739,0.731635995,0.755364672,0.800697691,0.827398582,0.789609446,0.496856245,0.785752127,0.772890389
SDEvelo,0,0.896628516,0.844264211,0,0.558959615,0.325514113,0,0.860332462,0.666783499,0.638161696,0.629765426,0.629765426,0.927391901,0.377226796,0.471787447,0.897561498,0.99516735,0.994786957,0.99728029,0.997611226,0.99856439,0.998746675,0.990781208,0.992599721,0.98803935,0.991632503,0.614318197,0.656754089,0.670259423,0.636737659,0.555120951,0.772465425,0.78241461,0.827168385,0.722392435,0.86774316,0.562364235,0.487879963,0,0.584482028,0.452616917,0,0.843166045,0.576219859,0.453184815,0.554052231,0.588239529,0.687362141,0.674357087,0.507268186,0,0.54388154,0.444376927,0,0.967037101,0.418456743,0.344805997,0.196917027,0.57779424,0.698184517,0.634971566,0.921748686,0.666783499,0.880504417,0.909890361,0.893145001,0.973059893,0.416477441,0.339878032,0.602524985,0.659941086,0.582727245,0.473949414,0,0.565395218,0.452155286,0.859215245,0.805741189,0.540302515,0.844264211,0.576546256,0.542771003,0.614797896,0.71836532,0.614124917,0,0.583482605,0.535488985,0,0.732224243,0.489953101,0.38559176,0.621757549,0.530789432,0.667611343,0.453781227,0.262099678,0,0.376161102,0.272195773,0.850886584,0.903446441,0.511812058,0.896628516,0.601165886,0.500613451,0.582428623,0.583152983,0.913632567,0.888968539,0.890449433,0.894758026,0.848803313,0.964761489,0.406569738,0.293643538
STT,0,0.85943644,0.864440596,0,0.49679113,0.714266173,0,0.816492006,0.669982873,0.5803128,0.546174504,0.546174504,0.805846003,0.579348967,0.647510951,0,0.912949942,0.937414447,0,0.887005088,0.848133303,0.853072041,0.882616985,0.902564159,0.923590536,0.906131876,0.776662725,0,0.73283518,0.678452949,0,0.643480902,0.5963317,0,0.765504867,0.638740544,0.530927802,0.436992043,0,0.576511185,0.382131453,0,0,0.387624954,0.31310016,0,0,0,0.575531737,0.564916247,0,0.519962552,0,0,0,0,0,0,0,0,0.667687266,0.879650521,0.604789637,0.869733016,0.817954221,0.828336131,0,0.553363745,0.510307783,0,0,0.592542704,0.4656511,0,0.594992365,0.45837074,0.890990555,0,0.537952302,0.864440596,0,0,0,0,0,0,0,0,0,0.611436109,0.629780998,0.5240339,0,0,0,0.362600079,0.213089478,0,0.349534103,0.242432452,0.772225263,0,0.506747257,0.848931898,0,0,0,0,0.886235887,0.788163359,0.815580117,0,0.733762142,0,0.443555053,0.385384887
TFvelo,0.58612426,0.997068549,0.997255331,0.646572334,0.954152999,0.712770554,0.560330297,0.989833499,0.963898186,0.946167832,0.934108494,0.934108494,0.993353648,0.878218202,0.913609323,0.985744572,0.992325314,0.99309068,0.978423147,0.95849871,0.992918717,0.989562712,0.991235036,0.989924037,0.994834516,0.996293705,0.703268658,0.682579863,0.771924133,0.695743988,0.72887983,0.792409508,0.688407114,0.722162282,0.746467283,0.811612968,0.906179229,0.8891245,0.586658963,0.936275149,0.866821729,0.671180945,0.983335828,0.932768405,0.877281037,0,0.903859254,0,0.9871237,0.899662296,0.687384947,0.941926863,0.904842064,0.741296234,0.994036884,0.948100917,0.902803822,0.649681103,0.931616046,0,0.949532191,0.995240235,0.976821765,0.991643416,0.997625651,0.994693995,0.994817388,0.965203057,0.936122965,0.923007309,0,0.922416681,0.867549475,0.443558177,0.922321356,0.882310231,0.975700272,0.981942239,0.955493893,0.997262698,0.971309,0.871610893,0,0.936407345,0.887550088,0.458766141,0.936272466,0.87619202,0.612200462,0.848255519,0.887469746,0.875334152,0,0.877764252,0,0.888529129,0.72526648,0,0.858923412,0.78009653,0.977319641,0.981998879,0.931514723,0.997065297,0.955477712,0.823744574,0,0.946177836,0.985105582,0.966346014,0.99611162,0.992461803,0.988935668,0.989952989,0.949102165,0.908885588
TopicVelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836950103,0.611688856,0.615781432,0.63564796,0.821429153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754954317,0.571935919,0,0.48056809,0,0,0,0,0,0,0,0,0.741621083,0,0,0,0,0,0,0.92639196,0,0,0.914257624,0.870498747,0.759225343,0,0,0,0,0,0,0,0,0,0.838287508,0.788149744,0,0.862415334,0.53149583,0,0,0,0,0,0,0,0,0,0,0,0.60725441,0,0,0,0,0,0,0,0.817458765,0.742969849,0,0.900415207,0.524537848,0,0,0,0.916287138,0.883664494,0.897589371,0.900275523,0.840544429,0.733474507,0,0
UniTVelo,0.468628405,0.914665314,0.908840062,0.545649026,0.40458925,0.453732166,0.440081883,0.880112864,0.52422633,0.437590448,0.418830414,0.418830414,0.929942151,0.47178364,0.409470832,0.79866501,0.999999356,0.990690819,0.997921403,0.99858251,0.997085526,0.996494556,0.999672177,0.999034956,0.999995448,0.999664551,0.998267042,0.99978689,0.999451101,0.868056939,0.7564822,0.796820182,0.834279014,0.999456286,0.999944342,0.975625132,0.424123782,0.360353338,0.439747654,0.400691397,0.312741041,0.430400965,0.940036551,0.33136151,0.27000803,0.536061692,0.619510717,0.67796525,0.433920877,0.394482226,0.501792948,0.416836766,0.344366295,0.495621157,0.971519864,0.356260424,0.266895073,0.581500568,0.579859749,0.572324081,0.433300947,0.768138003,0.52422633,0.781784458,0.690130583,0.712648149,0.971867988,0.277013631,0.218089658,0.571681136,0.729382977,0.424746323,0.314697848,0.492511112,0.419841069,0.309190158,0.690846381,0.962475477,0.343399552,0.896845158,0.607477335,0.436777698,0.445476982,0.537235311,0.440521316,0.497121126,0.40956478,0.369810977,0.499750212,0.785409521,0.382716729,0.399368488,0.640693571,0.77989625,0.674069469,0.531188239,0.439815565,0.487484551,0.46712488,0.403881267,0.669245897,0.979511373,0.299109602,0.927706084,0.641194237,0.424744687,0.474382009,0.392755275,0.80480767,0.726720033,0.785238957,0.779855154,0.632661606,0.943722243,0.228201831,0.234693018
