Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,lineage-tracing_rep01,lineage-tracing_rep02,lineage-tracing_rep03,lineage-tracing_rep04,lineage-tracing_rep05,lineage-tracing_rep06,lineage-tracing_rep07,lineage-tracing_rep08,lineage-tracing_rep09,lineage-tracing_rep10,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
cell2fate,15.5,0.0,0.0,33.2,42.0,20.2,58.7,47.2,38.4,50.2,29.9,46.4,23.2,0.0,0.0,70.4,65.0,77.32,32.0,30.27,48.2,68.27,63.3,54.67,67.42,65.33,43.41,78.71,59.65,29.43,7.9,4.63,22.7,14.39,7.28,83.63,38.2,29.0,37.0,27.3,21.8,21.3,39.1,21.49,62.96,0.0,0.0,0.0,43.4,35.0,59.4,75.9,79.3,89.4,53.5,16.16,0.0,0.0,0.0,0.0,44.0,61.4,66.2,70.8,29.7,56.4,32.4,70.67,7.52,0.0,0.0,46.0,52.2,41.0,37.5,50.2,51.0,48.6,86.96,42.77,0.0,0.0,0.0,44.2,38.6,51.8,46.6,48.2,41.82,29.0,40.21,0.0,0.0,0.0,0.0,66.1,30.86,22.49,86.41,42.31,54.99,44.8,36.74,64.89,0.0,0.0,0.0,70.0,80.2,13.0,65.5,80.2,79.7,32.1,34.44,0.0
cellDancer,67.43,66.0,70.18,35.8,69.32,86.9,26.1,56.2,75.35,66.09,85.28,85.28,47.32,75.0,84.21,26.14,42.78,45.18,35.75,35.93,46.67,23.13,36.3,57.17,37.25,47.6,60.11,54.2,56.14,47.87,50.27,50.06,54.49,50.39,50.76,46.55,30.6,32.4,7.6,32.9,35.8,8.0,48.7,52.34,45.09,27.46,0.0,0.0,70.35,60.74,27.4,51.9,71.43,81.06,77.9,78.13,62.17,95.14,0.0,0.0,46.4,44.57,91.16,29.41,43.27,56.36,68.8,65.61,61.13,0.0,0.0,28.4,48.73,39.4,41.28,49.08,81.13,92.1,44.89,69.79,45.25,0.0,0.0,43.08,48.8,54.19,48.73,46.58,81.45,32.4,53.11,60.87,45.74,0.0,0.0,53.27,44.26,92.26,57.52,37.64,66.78,74.6,90.19,72.86,38.03,0.0,0.0,80.35,31.13,42.14,22.1,30.33,49.29,56.0,79.12,62.16
DeepVelo,43.2,36.18,44.26,47.2,60.4,45.6,26.5,42.8,35.8,53.4,69.3,64.4,46.4,57.31,54.43,56.4,44.94,51.09,43.0,50.47,30.73,59.73,47.7,48.0,43.75,38.93,19.02,11.86,31.79,22.36,20.21,11.2,34.11,20.55,25.75,21.46,68.6,15.2,33.2,51.3,42.7,43.4,51.3,52.1,46.93,25.75,48.04,45.82,50.4,54.6,43.2,81.2,37.8,53.5,56.8,63.2,56.59,85.67,69.83,76.91,43.8,55.4,32.8,74.0,43.5,41.8,28.4,76.95,37.94,76.09,83.32,1.4,5.2,38.6,93.9,19.8,62.7,72.2,73.69,40.31,42.64,25.45,32.33,37.0,42.0,42.22,51.1,25.6,27.67,32.2,43.02,39.77,44.78,35.37,61.01,77.97,59.81,1.44,79.61,83.15,53.97,77.7,83.83,38.55,34.8,52.33,69.49,45.8,56.4,35.6,46.7,59.6,41.2,27.3,70.0,44.88
InterVelo,37.2,82.0,94.16,46.0,62.8,38.2,23.9,45.8,32.4,59.5,63.3,63.6,81.1,77.29,87.88,85.8,67.22,36.32,42.25,63.13,58.2,41.53,35.4,50.83,43.5,54.73,92.06,90.82,93.84,87.02,87.68,88.01,95.7,95.08,91.19,67.67,70.4,50.6,19.2,50.3,44.1,19.9,49.7,46.03,54.14,38.82,49.47,48.49,70.4,73.6,33.0,86.4,79.1,29.7,81.9,84.97,73.11,49.23,71.75,72.26,68.2,73.4,35.4,87.9,73.87,69.7,78.0,81.28,74.52,75.13,77.44,2.2,6.6,35.0,89.9,11.3,97.7,95.4,76.82,94.22,43.13,12.85,17.9,36.0,37.6,48.8,43.1,33.6,21.07,35.0,44.69,45.76,41.66,46.59,59.28,92.49,81.34,2.39,80.34,87.33,85.83,81.1,88.22,81.99,40.28,60.87,71.93,63.0,78.2,68.6,78.6,73.1,69.2,73.1,87.26,79.71
k-velo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.78,48.91,27.25,43.6,43.47,14.8,29.1,49.08,21.08,41.47,32.24,34.93,34.81,31.75,20.63,24.43,23.69,34.52,17.69,6.57,50.0,43.2,0.0,47.9,42.7,0.0,49.0,47.7,52.25,34.35,43.73,45.21,31.6,0.0,0.0,23.2,36.7,0.0,68.5,22.57,39.99,0.0,68.9,76.29,52.8,57.2,42.0,45.9,61.2,60.6,66.5,41.84,38.02,74.3,80.77,14.8,0.0,0.0,64.5,29.0,97.8,95.2,80.64,86.57,43.12,27.41,40.44,0.0,31.8,0.0,40.0,31.8,0.0,25.8,39.1,38.46,38.35,38.26,58.9,53.51,0.0,0.0,58.98,32.1,86.73,80.5,58.71,64.53,31.95,52.96,64.5,34.8,37.8,47.4,35.7,38.8,52.5,66.6,38.37,38.48
LatentVelo,54.9,93.25,36.82,0.0,31.3,36.0,0.0,56.7,41.6,48.4,31.1,30.9,25.7,34.87,85.84,57.0,63.44,94.59,34.83,0.0,0.0,39.67,72.8,66.83,69.08,79.13,32.12,29.89,36.17,22.9,32.53,48.37,40.6,30.59,34.73,44.19,24.2,21.0,0.0,45.2,32.8,0.0,13.5,6.12,36.34,25.22,31.92,35.54,47.0,40.4,0.0,29.3,29.9,0.0,43.3,10.62,45.24,27.22,48.45,0.0,18.2,48.2,40.2,63.6,50.0,39.8,73.4,75.81,42.87,38.95,41.07,43.4,37.6,0.0,46.9,34.2,46.0,44.5,43.02,36.82,42.69,43.93,0.0,31.2,41.0,0.0,42.0,47.7,17.61,55.9,52.27,39.35,34.42,46.31,41.99,21.07,58.61,0.0,56.92,37.02,27.1,37.7,8.08,93.25,30.58,40.21,42.9,30.6,31.0,44.6,36.0,42.5,34.9,33.1,79.6,35.13
NeuroVelo,24.7,9.27,44.12,40.7,30.2,16.2,29.2,43.8,32.0,31.0,45.2,45.2,45.1,57.7,29.71,20.4,42.22,42.23,36.67,23.73,67.8,50.27,38.8,39.25,28.17,63.2,4.8,3.56,3.8,0.29,7.19,0.41,0.0,24.97,2.15,6.45,37.2,15.0,27.2,44.3,21.9,38.6,55.1,55.77,49.69,38.26,36.15,43.26,72.0,14.6,29.0,23.6,1.6,27.6,51.7,93.0,58.68,1.93,39.2,43.64,77.6,14.4,28.2,15.5,9.0,16.4,7.3,15.61,53.85,29.56,48.43,56.4,54.0,42.0,49.5,33.3,47.7,42.1,51.51,40.55,40.98,49.37,45.66,44.4,23.0,29.94,50.5,38.1,39.31,25.4,43.94,42.67,26.53,34.32,48.56,21.79,3.83,35.65,74.76,0.25,85.6,5.6,82.41,85.04,34.2,38.59,36.65,38.2,3.4,7.6,24.7,21.9,4.6,33.8,68.04,66.23
PhyloVelo,40.38,36.63,37.95,38.49,44.96,40.41,34.77,36.65,51.03,0.0,38.06,38.06,49.45,35.29,34.0,66.2,50.89,51.18,40.25,38.67,47.33,45.8,42.4,48.92,49.92,45.07,64.28,13.89,13.68,17.24,18.77,15.5,14.06,16.74,15.34,14.59,27.07,30.43,33.26,32.52,34.38,33.94,31.61,35.13,33.53,34.47,34.61,33.33,36.96,38.03,38.41,35.62,40.05,37.68,56.71,33.5,36.02,33.74,33.46,33.27,0.0,35.36,51.03,43.1,38.17,61.22,35.03,35.34,35.99,0.0,0.0,39.2,39.91,40.96,39.98,39.18,38.13,45.71,36.8,37.95,34.47,34.76,33.54,31.12,35.86,28.57,37.25,31.18,26.52,37.26,32.08,31.73,33.57,0.0,32.87,44.5,48.12,46.4,37.18,46.89,45.28,49.27,34.37,36.63,33.16,33.45,33.53,41.24,54.04,61.41,46.72,50.92,50.17,37.53,33.84,36.09
Pyro-Velocity,38.5,67.66,48.63,33.6,37.9,28.6,32.9,32.1,26.8,51.2,52.2,52.2,46.8,42.1,54.56,70.8,51.78,64.41,39.58,60.07,46.67,47.13,39.8,68.42,41.5,47.67,23.77,21.29,21.46,18.15,15.34,12.24,31.91,17.9,25.38,24.22,21.4,12.4,29.6,43.4,23.9,28.3,37.9,30.31,51.3,36.23,30.67,0.0,50.4,56.2,23.4,38.3,36.2,46.0,35.1,65.92,65.18,27.12,31.75,0.0,66.6,56.4,26.8,43.5,48.3,36.4,43.9,48.82,46.64,30.4,0.0,53.6,41.4,34.0,49.4,36.6,53.0,42.0,45.97,45.28,41.55,47.96,0.0,48.6,51.0,36.53,51.6,42.2,13.84,37.7,39.85,44.06,36.7,30.96,0.0,4.12,78.95,22.25,22.45,81.06,50.34,36.3,39.03,67.66,36.21,36.22,0.0,52.6,48.0,41.4,43.4,50.3,49.6,34.6,42.65,44.78
scRNAkinetics,49.55,0.04,57.39,0.0,10.7,24.4,28.73,56.2,26.6,9.3,9.4,8.8,7.0,24.01,7.94,27.8,50.39,44.64,37.5,60.4,65.47,65.73,40.7,35.92,30.33,36.47,78.83,70.9,74.04,34.39,61.97,50.81,29.56,7.57,71.64,18.77,17.8,14.6,45.4,25.4,17.6,13.2,31.0,0.0,49.39,0.0,0.0,0.0,39.4,18.4,22.0,13.7,23.9,39.7,3.9,0.0,34.47,0.0,0.0,0.0,0.0,17.0,19.8,34.3,28.1,22.3,19.8,0.0,21.84,46.25,0.0,0.0,35.8,41.6,54.2,38.6,23.8,49.8,0.0,57.23,0.0,40.0,39.97,0.0,38.2,40.12,27.7,36.7,24.21,27.9,28.75,27.39,0.0,0.0,0.0,0.0,3.83,0.0,5.22,2.83,56.8,39.3,5.37,0.02,39.23,51.62,58.0,0.0,27.0,33.6,42.1,31.0,8.7,12.4,0.0,21.74
