Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
cell2fate,0.5,0.0,0.0,0.5,0.52,0.49,0.5,0.48,0.5,0.52,0.51,0.49,0.52,0.0,0.0,0.51,0.557,0.497,0.51,0.5,0.506,0.502,0.481,0.48,0.498,0.455,0.51,0.5,0.52,0.48,0.51,0.49,0.51,0.4,0.68,0.0,0.0,0.0,0.51,0.52,0.5,0.5,0.49,0.54,0.492,0.51,0.0,0.0,0.0,0.0,0.47,0.51,0.52,0.49,0.49,0.48,0.51,0.55,0.45,0.0,0.0,0.52,0.49,0.52,0.51,0.5,0.54,0.485,0.87,0.47,0.0,0.0,0.0,0.52,0.55,0.52,0.52,0.51,0.5,0.501,0.42,0.0,0.0,0.0,0.0,0.48,0.52,0.5,0.49,0.5,0.53,0.498,0.39,0.51,0.0,0.0,0.0,0.49,0.5,0.54,0.49,0.52,0.5,0.48,0.479,0.0
cellDancer,0.51,0.72,0.64,0.51,0.64,0.62,0.51,0.73,0.68,0.58,0.67,0.67,0.45,0.67,0.75,0.31,0.504,0.497,0.493,0.507,0.515,0.492,0.481,0.532,0.471,0.502,0.58,0.46,0.31,0.57,0.46,0.34,0.839,0.54,0.45,0.53,0.0,0.0,0.66,0.64,0.45,0.61,0.69,0.73,0.865,0.75,0.69,0.9,0.0,0.0,0.57,0.49,0.72,0.38,0.52,0.57,0.795,0.69,0.62,0.0,0.0,0.6,0.49,0.44,0.43,0.44,0.84,0.944,0.46,0.63,0.52,0.0,0.0,0.58,0.55,0.5,0.68,0.61,0.56,0.537,0.64,0.6,0.54,0.0,0.0,0.76,0.48,0.75,0.76,0.41,0.76,0.804,0.85,0.76,0.52,0.0,0.0,0.63,0.37,0.43,0.34,0.37,0.56,0.759,0.73,0.63
DeepVelo,0.63,0.47,0.51,0.44,0.53,0.59,0.49,0.59,0.46,0.53,0.52,0.53,0.49,0.54,0.65,0.59,0.535,0.497,0.494,0.516,0.5,0.488,0.512,0.506,0.491,0.472,0.54,0.5,0.5,0.57,0.48,0.54,0.601,0.55,0.52,0.46,0.57,0.59,0.63,0.49,0.53,0.47,0.53,0.55,0.579,0.54,0.59,0.52,0.7,0.69,0.43,0.46,0.43,0.69,0.53,0.45,0.595,0.54,0.47,0.72,0.71,0.92,0.81,0.53,0.93,0.74,0.78,0.876,0.84,0.47,0.48,0.66,0.61,0.61,0.51,0.56,0.58,0.51,0.5,0.464,0.7,0.57,0.51,0.51,0.58,0.52,0.56,0.38,0.5,0.46,0.59,0.675,0.73,0.26,0.42,0.59,0.77,0.5,0.5,0.53,0.45,0.58,0.49,0.433,0.55,0.5
InterVelo,0.61,0.839,0.842,0.47,0.754,0.564,0.469,0.817,0.52,0.666,0.646,0.651,0.664,0.71,0.825,0.773,0.569,0.45,0.506,0.51,0.514,0.486,0.485,0.528,0.496,0.539,0.832,0.697,0.486,0.771,0.706,0.466,0.853,0.673,0.607,0.533,0.653,0.653,0.68,0.692,0.511,0.808,0.765,0.461,0.845,0.822,0.745,0.546,0.715,0.692,0.676,0.757,0.535,0.818,0.704,0.667,0.83,0.781,0.713,0.716,0.694,0.932,0.864,0.543,0.887,0.867,0.933,0.937,0.741,0.842,0.489,0.802,0.782,0.741,0.685,0.516,0.786,0.66,0.485,0.608,0.742,0.714,0.543,0.544,0.602,0.93,0.95,0.398,0.864,0.945,0.897,0.836,0.849,0.839,0.53,0.662,0.765,0.645,0.73,0.489,0.716,0.738,0.555,0.771,0.782,0.728
k-velo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.489,0.53,0.497,0.489,0.486,0.47,0.468,0.43,0.467,0.56,0.59,0.0,0.47,0.57,0.0,0.813,0.57,0.55,0.5,0.56,0.56,0.47,0.0,0.0,0.49,0.5,0.0,0.75,0.53,0.52,0.0,0.62,0.67,0.56,0.68,0.51,0.65,0.64,0.63,0.722,0.53,0.51,0.67,0.69,0.77,0.0,0.0,0.71,0.57,0.93,0.924,0.84,0.85,0.52,0.68,0.57,0.0,0.43,0.0,0.44,0.42,0.0,0.535,0.55,0.44,0.48,0.5,0.56,0.57,0.0,0.0,0.59,0.39,0.88,0.794,0.56,0.79,0.5,0.6,0.7,0.52,0.62,0.56,0.55,0.63,0.51,0.657,0.54,0.52
LatentVelo,0.62,0.83,0.43,0.0,0.46,0.52,0.0,0.5,0.56,0.51,0.46,0.47,0.44,0.49,0.79,0.62,0.576,0.654,0.489,0.0,0.0,0.506,0.563,0.549,0.577,0.59,0.41,0.39,0.0,0.51,0.49,0.0,0.569,0.34,0.47,0.47,0.49,0.49,0.5,0.58,0.0,0.52,0.45,0.0,0.408,0.29,0.58,0.47,0.55,0.0,0.41,0.55,0.57,0.68,0.56,0.51,0.811,0.73,0.56,0.51,0.52,0.52,0.47,0.0,0.52,0.55,0.47,0.52,0.45,0.43,0.5,0.48,0.0,0.42,0.47,0.0,0.53,0.4,0.47,0.534,0.62,0.46,0.52,0.52,0.54,0.36,0.74,0.0,0.69,0.52,0.36,0.634,0.21,0.83,0.41,0.51,0.53,0.51,0.47,0.58,0.51,0.51,0.47,0.548,0.75,0.5
NeuroVelo,0.29,0.16,0.39,0.53,0.4,0.47,0.51,0.64,0.47,0.42,0.49,0.49,0.49,0.65,0.41,0.34,0.459,0.506,0.546,0.498,0.507,0.512,0.486,0.478,0.452,0.562,0.44,0.41,0.49,0.52,0.38,0.46,0.621,0.64,0.65,0.5,0.5,0.56,0.63,0.3,0.41,0.41,0.16,0.43,0.62,0.83,0.68,0.18,0.51,0.51,0.73,0.31,0.5,0.33,0.34,0.4,0.221,0.27,0.59,0.43,0.55,0.44,0.49,0.43,0.53,0.57,0.48,0.45,0.54,0.36,0.53,0.46,0.51,0.6,0.53,0.53,0.61,0.5,0.47,0.5,0.49,0.62,0.47,0.51,0.53,0.28,0.04,0.52,0.84,0.04,0.88,0.143,0.84,0.83,0.43,0.46,0.46,0.51,0.26,0.49,0.35,0.35,0.42,0.393,0.68,0.65
PhyloVelo,0.521,0.535,0.517,0.514,0.563,0.558,0.473,0.575,0.614,0.0,0.521,0.521,0.549,0.499,0.494,0.657,0.505,0.498,0.505,0.505,0.506,0.502,0.515,0.513,0.544,0.509,0.492,0.529,0.573,0.543,0.53,0.556,0.517,0.517,0.526,0.504,0.506,0.5,0.438,0.549,0.535,0.503,0.538,0.532,0.597,0.498,0.519,0.497,0.501,0.502,0.0,0.478,0.614,0.53,0.502,0.609,0.498,0.516,0.511,0.0,0.0,0.551,0.527,0.553,0.486,0.516,0.482,0.545,0.483,0.517,0.502,0.498,0.501,0.517,0.538,0.488,0.53,0.507,0.502,0.46,0.501,0.502,0.503,0.0,0.498,0.609,0.599,0.554,0.538,0.613,0.59,0.608,0.515,0.535,0.498,0.502,0.5,0.494,0.572,0.476,0.553,0.584,0.55,0.513,0.501,0.519
Pyro-Velocity,0.55,0.73,0.52,0.47,0.45,0.51,0.52,0.39,0.44,0.55,0.5,0.5,0.56,0.51,0.62,0.65,0.565,0.51,0.507,0.511,0.511,0.51,0.488,0.513,0.452,0.491,0.28,0.41,0.62,0.58,0.45,0.44,0.501,0.58,0.61,0.5,0.48,0.0,0.56,0.62,0.42,0.5,0.5,0.58,0.508,0.66,0.67,0.49,0.46,0.0,0.62,0.61,0.44,0.48,0.57,0.49,0.507,0.53,0.51,0.43,0.0,0.39,0.45,0.45,0.5,0.58,0.53,0.513,0.5,0.49,0.52,0.47,0.0,0.78,0.52,0.45,0.73,0.6,0.47,0.498,0.56,0.6,0.48,0.49,0.0,0.21,0.93,0.43,0.36,0.94,0.53,0.496,0.5,0.73,0.46,0.49,0.0,0.52,0.54,0.46,0.44,0.51,0.4,0.505,0.48,0.48
scRNAkinetics,0.54,0.45,0.49,0.0,0.32,0.5,0.49,0.6,0.35,0.35,0.36,0.37,0.39,0.47,0.4,0.43,0.497,0.525,0.503,0.511,0.504,0.519,0.515,0.499,0.485,0.476,0.33,0.47,0.51,0.5,0.46,0.45,0.416,0.0,0.46,0.0,0.0,0.0,0.43,0.32,0.51,0.34,0.36,0.51,0.377,0.0,0.39,0.0,0.0,0.0,0.0,0.35,0.39,0.44,0.39,0.35,0.365,0.0,0.37,0.55,0.0,0.0,0.53,0.55,0.56,0.53,0.19,0.569,0.0,0.5,0.0,0.53,0.5,0.0,0.35,0.49,0.58,0.34,0.481,0.546,0.46,0.44,0.0,0.0,0.0,0.5,0.46,0.0,0.49,0.41,0.54,0.515,0.53,0.44,0.49,0.46,0.6,0.0,0.39,0.48,0.49,0.38,0.47,0.369,0.0,0.32
