Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,lineage-tracing_rep01,lineage-tracing_rep02,lineage-tracing_rep03,lineage-tracing_rep04,lineage-tracing_rep05,lineage-tracing_rep06,lineage-tracing_rep07,lineage-tracing_rep08,lineage-tracing_rep09,lineage-tracing_rep10,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
cell2fate,0.842305801,0,0,0.823749093,0.939194338,0.948314977,0.854985659,0.985836652,0.947378893,0.93441166,0.988248015,0.887675558,0.989630395,0,0,0.968893311,0.882217343924075,0.602674703746123,0.842784986699108,0.36183510195965,0.46150979770082,0.46806913904978,0.749057194174225,0.839935419044316,0.749689714892631,0.61452012485279,0.730611794,0.870800929,0.62737265,0.894669539,0.810163551,0.902368189,0.689826605,0.868609249,0.91305703,0.949936263,0.985889537,0.927058085,0.765579752,0.91444993,0.906856871,0.483815239,0.983499295,0.86654247,0.763787616,0,0,0,0.920607769,0.953109563,0.763019038,0.926814314,0.959455974,0.519353847,0.986131662,0.65873229,0,0,0,0,0.965757055,0.989377104,0.929479759,0.94732734,0.984679838,0.976706347,0.995341698,0.835869239,0.5579425,0,0,0.928228765,0.979049063,0.793209574,0.913997341,0.940561044,0.983476424,0.98556346,0.963754749,0.997465426,0,0,0,0.966285126,0.950426327,0.801641677,0.892754384,0.910233657,0.777188634,0.934813441,0.540822366,0,0,0,0,0.906670765,0.978040869,0.875339341,0.909537136,0.940655572,0.972189839,0.993529451,0.813658078,0.644859687,0,0,0,0.949594077,0.992243883,0.983542692,0.872038036,0.924420922,0.992284966,0.986190269,0.511540059,0
cellDancer,0.007321472,0.887881439,0.909933643,0.009721457,0.065772528,0.022762609,0.007655778,0.850291351,0.092610247,0.059708629,0.069373009,0.069373009,0.818801375,0.092690832,0.159119319,0.700752072,0.969954430138199,0.969629223083737,0.981535133918925,0.976463809380671,0.982761494690068,0.974154103606302,0.970218366526136,0.964331275915622,0.968957756799602,0.973297800429245,0.008196121,0.013606442,0.012786824,0.704865208,0.563800423,0.604445698,0.720689563,0.741073348,0.643547655,0.51536519,0.102642653,0.086405977,0.00782613,0.150322507,0.071397607,0.006494179,0.624178056,0.087570854,0.062494532,0.02696766,0,0,0.146032752,0.073618909,0.01049521,0.137898386,0.073620525,0.007548703,0.580608651,0.105717147,0.066450473,0.01539298,0,0,0.105666755,0.593460955,0.093448889,0.707345349,0.602934882,0.64087507,0.600156418,0.085168136,0.091504622,0,0,0.09176498,0.077672183,0.006456861,0.117101665,0.068981433,0.598893796,0.597558015,0.149877726,0.911014532,0.020449638,0,0,0.149144875,0.128436817,0.01078585,0.132503038,0.102288955,0.015325452,0.062684188,0.159376885,0.112191225,0.017646445,0,0,0.159763117,0.080582916,0.001248843,0.103797448,0.065545653,0.65397876,0.629322364,0.151304573,0.886889518,0.018742358,0,0,0.113406645,0.636871741,0.645207753,0.655239342,0.66735178,0.649830032,0.60202284,0.104900933,0.067882251
DeepVelo,0.30434709,0.952527841,0.998269238,0.278140473,0.883338611,0.653612972,0.356212598,0.996330403,0.935007121,0.949850138,0.935938942,0.839704377,0.996760951,0.708367308,0.918629103,0.948423373,0.99368346374522,0.989493040577326,0.948199156480395,0.959765609136348,0.981906603084064,0.998278281460657,0.898105435888817,0.988437004888689,0.880294365413724,0.838198684420535,0.883326195,0.913332744,0.820923361,0.896978905,0.901151232,0.883184151,0.838746412,0.828541642,0.850456191,0.793220041,0.943280997,0.8118507,0.400555824,0.938861117,0.852669267,0.359142968,0.998559339,0.912224483,0.722048362,0.225029974,0.769570308,0.805561886,0.948727161,0.880905362,0.356212478,0.951472422,0.807706097,0.320224644,0.999559113,0.82409457,0.578992257,0.31535142,0.79685834,0.994924465,0.960600225,0.959462138,0.88058696,0.979693035,0.979017176,0.996810429,0.999435992,0.860356937,0.667604846,0.79132915,0.790455168,0.932680683,0.858604451,0.358159228,0.909300601,0.783100851,0.991879985,0.998014208,0.907315007,0.998396797,0.20377464,0.674405754,0.66722618,0.967314659,0.9435924,0.405662239,0.945388866,0.899831166,0.329940446,0.912052084,0.931147589,0.73811669,0.220698681,0.473215934,0.809839938,0.906529282,0.754330543,0.337017782,0.841707448,0.798447677,0.991751235,0.998847324,0.945402852,0.998781385,0.228526266,0.603505465,0.654012684,0.866259164,0.994664734,0.995652965,0.997268983,0.998150193,0.996330873,0.982178847,0.851776812,0.607344141
InterVelo,0.222070028,0.924276025,0.776428873,0.231155075,0.501244176,0.3520521,0.230709256,0.827636774,0.624247121,0.660091872,0.524148028,0.522340687,0.875473888,0.377282529,0.51373386,0.915527977,0.971319918034921,0.954759703255819,0.909982485933424,0.911235062446043,0.960373851227619,0.965932171287443,0.9600274268007,0.948823791058319,0.935698822434442,0.907714197541587,0.307691894,0.329994704,0.347471941,0.389889801,0.376830256,0.420704361,0.455609525,0.475131165,0.46284293,0.49251042,0.508790633,0.448075443,0.273625846,0.512821792,0.412955272,0.248730308,0.764995622,0.550655436,0.40507645,0.199337496,0.503359075,0.585420645,0.495245847,0.511072263,0.256031059,0.521820341,0.420778318,0.23448582,0.75463435,0.426637612,0.325196043,0.28884263,0.495969647,0.549220941,0.538070354,0.915542868,0.613423977,0.910279612,0.89529744,0.848269197,0.844099757,0.395688527,0.316580858,0.530962288,0.547669214,0.495800686,0.431229627,0.250568273,0.509733194,0.378745064,0.854153973,0.709957328,0.530981971,0.776597265,0.206576832,0.431995357,0.486200373,0.635846991,0.501310008,0.269984879,0.576168018,0.472580555,0.237751019,0.651296383,0.515775781,0.381007546,0.218770457,0.329594153,0.569259134,0.373343773,0.2909302,0.246780909,0.354348163,0.291667926,0.86013495,0.927081095,0.599488415,0.92397281,0.303322809,0.375004224,0.455734635,0.392701838,0.898870445,0.854216525,0.903164473,0.901939885,0.790242961,0.786758243,0.419048463,0.257327166
k-velo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994058607858878,0.989737240632522,0.966096201534987,0.991363570298978,0.989742905314573,0.980946627979675,0.993728349816202,0.991409531811478,0.989506279059844,0.991226485655628,0.998037154,1.000000000000000,0.995766528,0.9957532,0.940214527,0.966208215,0.998790193,0.92307948,0.871181383,0.915155294,0.17631376,0.331741927,0,0.367664912,0.563031576,0,0.95976849,0.210812809,0.181133316,0.131804729,0.350280898,0.375922046,0.296822374,0,0,0.244118895,0.403439772,0,0.953925853,0.208788896,0.067307916,0,0.342501846,0.361510102,0.238415733,0.920972217,0.144837062,0.843528564,0.867139422,0.778930219,0.933635105,0.13937652,0.076579739,0.365096606,0.352318178,0.319900304,0,0,0.552430673,0.552974688,0.788465649,0.956509874,0.317012239,0.773625352,0.118018464,0.255576275,0.257386004,0,0.162957668,0,0.451959394,0.160817271,0,0.131856134,0.37102974,0.243161482,0.278042795,0.004111069,0.388924015,0.190284783,0,0,0.180916232,0.610698547,0.687653407,0.95331793,0.181923255,0.923580066,0.138679153,0.244331964,0.270319705,0.215916198,0.923648387,0.778668008,0.914926281,0.877209374,0.723363425,0.955788236,0.10065728,0.036403114
LatentVelo,0.997689435,0.998765045,0.993702002,0,0.997753634,0.997326733,0,0.999617882,0.995520353,0.995748819,0.994587318,0.993287534,0.999728575,0.999616676,0.999889377,0.999819462,0.999693519288279,0.999139562441306,0.999856266269935,0,0,0.999980134128146,0.999117704587259,0.999434569679094,0.998951400177009,0.999485730413665,0.99893083,0.998652886,0.998515092,0.998860937,0.999445286,0.999234989,0.999580346,0.999526973,0.999568097,0.99962787,0.998438164,0.995596024,0,0.999130695,0.99697773,0,0.999725287,0.99962454,0.999652455,0.999877287,0,0,0.991963236,0.997049854,0,0.994237107,0.997376078,0,0.999519754,0.99891061,0.999621567,0.999274458,0,0,0.997108824,0.999520344,0.996246321,0.999321856,0.999892638,0.999676179,0.99994763,0.999521125,0.999688215,0,0,0.99238825,0.990044327,0,0.99643455,0.997752707,0.999170663,0.999521336,0.999192252,0.993702002,0.99995803,0,0,0.997177734,0.998033321,0,0.998614584,0.998792744,0.999052402,0.998958966,0.999293488,0.999649821,0.999838578,0,0,0.98865683,0.993916772,0,0.99391287,0.998717605,0.999663098,0.999464218,0.998602823,0.998765045,0.999886817,0,0,0.991960032,0.999516302,0.999778911,0.999849817,0.999873399,0.999292022,0.998819375,0.999813046,0.999948959
NeuroVelo,0.996719706,0.999957153,0.999962386,0.996983474,0.996523353,0.996290321,0.996287683,0.999988655,0.995069443,0.996317982,0.996899963,0.996899963,0.999992902,0.999784384,0.999978062,0.999972228,0.999981720305375,0.999970266413243,0.999724017137921,0.999723212546289,0.999622573237965,0.999978499110546,0.999369021282103,0.999672210247256,0.999836239136233,0.99960902244025,0.999753673,0.999663624,0.999560913,0.999571185,0.999683616,0.999399655,0.999724428,0.999511565,0.999614715,0.999776834,0.994108948,0.989857953,0.997651959,0.996913086,0.993344443,0.997256769,0.999990333,0.999995558,0.999957842,0.999509617,0.999946905,0.999852386,0.997243809,0.990685617,0.997700063,0.997837524,0.99468569,0.997459334,0.999989325,0.999951622,0.999731844,0.997129329,0.999919455,0.999792818,0.996900674,0.99998335,0.994467285,0.999986357,0.999987488,0.999993704,0.999992042,0.999940988,0.999865369,0.999894759,0.999896174,0.994157756,0.98806544,0.996612958,0.995632416,0.990348658,0.999973131,0.999987919,0.999970507,0.999965475,0.999473811,0.999249294,0.999901427,0.9956839,0.994487053,0.997019155,0.998174313,0.996768126,0.997036695,0.996756215,0.999951974,0.999820353,0.998671687,0.999952469,0.99996153,0.994463041,0.99121525,0.996651284,0.995643319,0.993740703,0.999979006,0.999992687,0.999986697,0.999974771,0.999316074,0.999923943,0.999899862,0.99557269,0.999979531,0.999970446,0.999986106,0.99997433,0.999989545,0.999983042,0.999950187,0.999681304
Pyro-Velocity,0.258919693,0.61419329,0.348433198,0.28851264,0.225838712,0.325447034,0.283727414,0.348835996,0.216354216,0.506306741,0.361875734,0.361875734,0.3797257,0.395619635,0.4138929,0.199746639,0.796404805626913,0.787166644704397,0.853991754118064,0.752116785438933,0.762576417300007,0.731319765153678,0.700579207352093,0.801554882150578,0.81668953925589,0.782845533663934,0.57298808,0.514173073,0.620055602,0.674800401,0.666657172,0.4054766,0.760482099,0.653014223,0.438247941,0.832119378,0.309287411,0.24648662,0.293349589,0.317198503,0.295117978,0.250133978,0.281882241,0.287186205,0.345187049,0.389748311,0,0,0.297378164,0.241951966,0.251629334,0.363056674,0.403158713,0.272413967,0.306884252,0.3061298,0.357453252,0.256141959,0,0,0.39126875,0.437432262,0.216354216,0.515002299,0.398694494,0.302060914,0.286145555,0.481921611,0.452178582,0,0,0.221619663,0.186609247,0.293138973,0.212689449,0.241598908,0.325301476,0.314775132,0.330997004,0.371093861,0.509880017,0,0,0.265206325,0.333607001,0.260660289,0.365815074,0.295579135,0.295035942,0.27483173,0.366250154,0.323938963,0.285674295,0,0,0.277191208,0.199550306,0.28677061,0.217183855,0.245126744,0.216981094,0.293489745,0.317886532,0.61419329,0.567923967,0,0,0.468782087,0.404709291,0.330919825,0.306183791,0.379520215,0.43692716,0.322148358,0.452888963,0.485699601
scRNAkinetics,0.001176299,0.425818816,0.328240706,0,0.112818795,0.003754318,0.00387947,0.311186834,0.052128931,0.05374517,0.086445997,0.090937515,0.083448074,0.101160421,0.136092121,0.137228671,0.990465876093258,0.979979007356285,0.964615630358415,0.992850675693173,0.99040659185307,0.990421133511034,0.964795845412371,0.976278422786508,0.964110236210581,0.974832463042028,0.842865762,0.820756118,0.834128971,0.670502921,0.842913204,0.815130121,0.414943373,0.616368866,0.916582362,0.847162285,0.196858846,0.125109579,0.098641285,0.139120421,0.076853818,0.049551375,0.285819454,0,0.319309843,0,0,0,0.013488286,0.046140897,0.109956812,0.073415277,0.066060647,0.063378935,0.15511825,0,0.066551019,0,0,0,0,0.114122544,0.134597939,0.088345826,0.135756438,0.140416745,0.078391247,0,0.063534652,0,0,0,0.118803753,0.132956737,0.11644277,0.072082734,0.242197677,0.278103041,0,0.318563396,0,0,0,0,0.154635502,0.143924792,0.321599506,0.076786873,0.105881417,0.249378264,0.180337047,0.159103697,0,0,0,0.420290394,0.398484711,0,0.575907917,0.406391266,0.398424581,0.079349045,0.633615119,0.423231609,0.083016309,0,0,0,0.094991896,0.186221448,0.188120991,0.109849676,0.076706586,0.094497539,0,0.060542354
scVelo dynamical,0.833770819,0.995128214,0.970519255,0.746288306,0.857796276,0.769341124,0.777686178,0.909061743,0.914281011,0.89548533,0.818766927,0.818766927,0.922340134,0.884197989,0.955245879,0.918036783,0.988097290139198,0.985869617417417,0.980151972062524,0.981209216994609,0.990740953971078,0.98416108938585,0.991938775043772,0.992891574276581,0.990424726762218,0.991701268813382,0.990023018,0.986011877,0.978471051,0.972637499,0.953020198,0.968787703,0.961783702,0.963698792,0.987698082,0.986214409,0.863320569,0.883483097,0.818992896,0.882758911,0.815009108,0.818022903,0.900082648,0.913533982,0.952632244,0.783848155,0.941073396,0.957469529,0.947260645,0.941126418,0.77705598,0.917248232,0.928254123,0.798680675,0.892585082,0.93170986,0.892605569,0.785131652,0.948082878,0.907878361,0.890092883,0.830791795,0.881220263,0.946665045,0.895055286,0.871388747,0.787801516,0.817626079,0.761269698,0.97604397,0.951218608,0.894984522,0.895888886,0.855459483,0.881143569,0.833156541,0.870219369,0.91902352,0.847861876,0.970002002,0.791102361,0.924599691,0.927927103,0.939360806,0.926392713,0.772315216,0.912851882,0.928352235,0.727546089,0.824635602,0.915317874,0.885593592,0.801251884,0.560201536,0.978651887,0.883345714,0.903896801,0.878806266,0.925287371,0.889823545,0.862960228,0.83290184,0.887930662,0.994473699,0.759265561,0,0,0.880893238,0.913112791,0.892245765,0.876276803,0.935145029,0.796432598,0.814895926,0.862392287,0.890118968
