Method,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,Bursting-tree_vary-all_cells1800_genes2000,Bursting-tree_vary-all_cells2200_genes2500,Bursting-tree_vary-koff_cells1200_genes800,Bursting-tree_vary-koff_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes1500,Bursting-tree_vary-kon_cells1500_genes2000,Bursting-tree_vary-s_cells1000_genes500,Bursting-tree_vary-s_cells1200_genes1500,Bursting-tree_vary-s_cells1200_genes800,Bursting-tree_vary-s_cells1500_genes1000,lineage-tracing_rep01,lineage-tracing_rep02,lineage-tracing_rep03,lineage-tracing_rep04,lineage-tracing_rep05,lineage-tracing_rep06,lineage-tracing_rep07,lineage-tracing_rep08,lineage-tracing_rep09,lineage-tracing_rep10,bifurcating-loop_cell500_gene500,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene20000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell100000_gene1000,bifurcating_cell500_gene500,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell1000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene20000,bifurcating_cell10000_gene500,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell50000_gene1000,bifurcating_cell100000_gene1000,consecutive-bifurcating_cell500_gene500,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene20000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell100000_gene1000,cycle-simple_cell500_gene500,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene20000,cycle-simple_cell10000_gene500,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell50000_gene1000,cycle-simple_cell100000_gene1000,disconnected_cell500_gene500,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell1000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene20000,disconnected_cell10000_gene500,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell50000_gene1000,disconnected_cell100000_gene1000,linear-simple_cell500_gene500,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell1000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene20000,linear-simple_cell10000_gene500,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell50000_gene1000,linear-simple_cell100000_gene1000,trifurcating_cell500_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell1000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene20000,trifurcating_cell10000_gene500,trifurcating_cell10000_gene1000
DeepVelo,0.185546012,0.01767836,0.040100753,0.323227543,0.163254871,0.153270981,0.354213207,0.022719185,0.097924608,0.166139638,0.147874411,0.1552811,0.016686716,0,0,0.055553998,0.00193249,0.000555229,0.00730151,0.008034088,0.007773462,0.00152211,0.00114115,0.001406283,0.004037962,0.001431826,0.126056397,0.115395602,0.153273716,0.135603347,0.138150322,0.174355896,0.190920079,0.105863452,0.116651749,0.15970896,0.159137069,0.191510245,0.309777333,0.125999957,0.151047063,0.301760027,0.00081596,0.105074744,0.154535404,0.28019043,0,0,0.083514461,0.183038651,0.224064136,0.134474544,0.196892786,0.248614576,0.000665709,0.159254424,0.255572652,0.359671958,0,0,0.139256373,0.029614849,0.109245724,0.078692577,0.045213319,0.03945733,0.000675759,0.162209502,0.179269726,0,0,0.213202882,0.154481731,0.330783865,0.206228033,0.144537283,0.029397516,0.002339187,0.195230107,0.032612174,0.260486264,0,0,0.115366576,0.106981199,0.271739092,0.131218972,0.092677219,0.274751249,0.008043838,0.103064769,0.159134305,0.268034599,0,0,0.211466899,0.157006043,0.117645197,0.203878655,0.174058289,0.036407619,0.001320881,0.186802956,0.022471226,0.27191935,0,0,0.115894626,0.046123596,0.032997307,0.032519145,0.045440042,0.039118605,0.000518418,0.144938759,0.200520029
InterVelo,0.197321722,0.452533623,0.246074002,0.347566585,0.291354962,0.193981498,0.402290874,0.263076676,0.188431451,0.283749935,0.255719027,0.25535972,0.247873317,0,0,0.223260256,0.066436985,0.002764739,0.005800248,0.002613142,0.029532001,0.002163161,0.007406137,0.038909782,0.005743079,0.036179658,0.313591528,0.347918123,0.332379797,0.300163989,0.303868829,0.320619291,0.309298219,0.308858004,0.326547702,0.323917912,0.342163631,0.207377372,0.32937084,0.252556834,0.248107192,0.336308112,0.273896194,0.279564592,0.348923457,0.3408073,0.253855215,0.213279384,0.263978263,0.300665083,0.227845851,0.308403245,0.313282611,0.26470865,0.247244055,0.36626248,0.376983106,0.381626295,0.257359108,0.216313304,0.293113222,0.168578991,0.189461379,0.236793973,0.206878559,0.241165511,0.21993687,0.332534128,0.355177578,0.268510811,0.218503438,0.309310894,0.16033919,0.351825806,0.353865096,0.241554368,0.378907602,0.379484913,0.381249872,0.246073089,0.331115442,0.299308136,0.265431001,0.314144724,0.323547567,0.287486571,0.319477988,0.355933197,0.301063882,0.257484142,0.325771899,0.388269059,0.312475897,0.382213036,0.247714948,0.376472299,0.265201044,0.120550077,0.3387402,0.315003161,0.321133741,0.325225031,0.304591456,0.452254068,0.334026386,0.304294876,0.289151801,0.27816551,0.158651998,0.183155891,0.205587369,0.180931333,0.231565586,0.199265668,0.323580895,0.355972876
LatentVelo,0.009965235,0.009774084,0.008567752,0,0.009250258,0.00994323,0,0.008197631,0.009822064,0.009323007,0.009485081,0.009396998,0.006192584,0,0,0.010965324,0.010439394,0.0264609,0.017580708,0,0,0.044269602,0.04507471,0.030680363,0.016268652,0.064886566,0.015334044,0.029181676,0.020604002,0.012431483,0.019779929,0.017765881,0.020573634,0.016764349,0.019676712,0.019529367,0.042070306,0.02923304,0,0.063254412,0.027619341,0,0.024489696,0.090440538,0.028345402,0.006925673,0.063306234,0.116526025,0.072500225,0.065114635,0,0.066059209,0.070599271,0,0.02268687,0.056352008,0.066108207,0.006997344,0.068109258,0,0.064420148,0.06161861,0.059087699,0.064084192,0.105912359,0.008186766,0.011744494,0.197120858,0.007095266,0.071558964,0.007449645,0.03782165,0.03379836,0,0.011234564,0.037640898,0.113653053,0.0245174,0.192594695,0.008567752,0.00683143,0.046209326,0,0.009575186,0.008169971,0,0.008712659,0.011463476,0.03759107,0.023764878,0.087039569,0.051048725,0.006955477,0.047125002,0.007152725,0.064086361,0.083542829,0,0.081645905,0.074584931,0.053871754,0.023888645,0.020967373,0.371525247,0.006888702,0.008263012,0.00760549,0.061546736,0.081183124,0.055002361,0.057427708,0.056850599,0.007563562,0.027093765,0.013109511,0.060343249
NeuroVelo,0.000412343,0.001235205,0.000619056,0.001039116,0.000747161,0.000616828,0.001013553,0.004020129,0.000401441,0.001013913,0.000503577,0.000503577,0.001028374,0,0,0.001019728,0.001919644,0.000986993,0.002273593,0.001747552,0.000867016,0.00111088,0.001116023,0.001143519,0.000411279,0.001665794,0.031130531,0.028811995,0.029776901,0.027262844,0.028315441,0.027839095,0.030540816,0.025019663,0.027731457,0.022663527,0.001212479,0.000957851,0.000791808,0.001306266,0.000631497,0.001056534,0.006737617,0.001039276,0.000979706,0.000757958,0,0,0.001899402,0.001000022,0.000680708,0.001204818,0.00081968,0.000567247,0.005109266,0.001765406,0.001086378,0.000639894,0,0,0.001936307,4.54E-05,0.000396241,0.000210236,0.000321141,0.000868794,0.009234028,0.000755968,0.001311011,0,0,0.000577666,0.000726065,0.001011601,0.001706953,0.000847388,0.000722695,0.031265793,0.000892636,0.000597925,0.000807209,0,0,0.001011996,0.00087422,0.000956324,0.002193795,0.001528161,0.00097852,0.012981883,0.001030579,0.00132771,0.000666735,0,0,0.001235067,0.000940852,0.000197561,0.00194766,0.001285577,0.009659911,0.005215744,0.003127658,0.003711651,0.000720491,0,0,0.002351663,0.000412553,0.00047218,0.000935209,0.000683984,0.000713747,0.009464347,0.00133999,0.001029251
Pyro-Velocity,0.082337441,0.249672399,0.076376331,0.187687255,0.182229572,0.060722317,0.209942576,0.046232668,0.177780349,0.17513516,0.09368715,0.09368715,0.043963509,0,0,0.364942208,0.137851286,0.234694912,0.101614719,0.101675966,0.123207173,0.105867476,0.180286939,0.217367129,0.172770023,0.080298526,0.149555302,0.166303038,0.13293923,0.163077356,0.14414312,0.150888685,0.123293622,0.142239704,0.12688583,0.115342395,0.1801331,0.25716322,0.201364594,0.102826701,0.210732543,0.221542021,0.06550182,0.195667624,0.199046898,0.093452861,0.213411245,0,0,0,0,0,0,0,0.044837449,0,0,0,0.226352605,0,0.297871386,0.132349547,0.177780349,0.053869306,0.196564696,0.147955058,0.367134659,0.20568158,0.162450203,0.214702034,0,0.263259376,0.172383188,0.228166394,0.326983018,0.17331944,0.100529191,0.082434668,0.27367016,0.125257147,0.090836321,0.249872859,0,0,0,0.176250356,0,0,0.158030341,0.074460162,0.224585292,0.249373248,0.143715105,0.119774301,0,0.239779506,0.246735957,0.033414438,0.276354755,0.256620306,0.293211408,0.028854857,0.243042393,0.249672399,0.127931784,0.233335363,0,0,0,0.132764989,0,0,0.121862896,0.06507342,0.166050583,0.202050933
SDEvelo,0,0.001592468,0.001845731,0,0.013392476,0.012695521,0,0.00445221,0.00796448,0.009460264,0.009940911,0.009940911,0.002710309,0,0,0.00381737,0.004591658,0.001787574,0.002442471,0.002243071,0.00174756,0.001720037,0.002357279,0.002114928,0.000332971,0.001857568,0.014635,0.027563734,0.024613161,0.017118819,0.02147251,0.016558626,0.02165446,0.014296153,0.035703423,0.015403273,0.017673696,0.013339541,0,0.014710927,0.012396989,0,0.008857782,0.019181528,0.016423053,0.021055104,0.009624824,0.009702353,0.010973897,0.019265219,0,0.01703451,0.019512307,0,0.011705355,0.00814617,0.018594905,0.020723178,0.011530422,0.010175919,0.00944436,0.001003066,0.00796448,0.002067923,0.001322734,0.002445602,0.016254914,0.01424971,0.020400504,0.01255697,0.012152816,0.016136689,0.010876163,0,0.021564512,0.014174855,0.000458474,0.013443264,0.019236832,0.001845731,0.020074302,0.013104348,0.011730344,0.007869705,0.018430533,0,0.014510844,0.017315222,0,0.009791749,0.005737929,0.007464792,0.020029543,0,0.011191663,0.03574799,0.018064011,0,0.03543479,0.017598691,0.002822462,0.00703163,0.025211987,0.001592468,0.019347894,0.010663736,0.011767616,0.013398091,0.000855917,0.000868783,0.001569484,0.001075988,0.003508548,0.015195888,0.01685609,0.018764722
STT,0,0.035313658,0.016442337,0,0.038286015,0.029470251,0,0.008165803,0.030138563,0.031816367,0.038075994,0.038075994,0.020430164,0,0.02928723,0,0.005628996,0.002743916,0,0.006017024,0.02537397,0.016890041,0.004961274,0.003428162,0.0069197,0.004830131,0.014658871,0,0.018951479,0.023049817,0,0.021233321,0.022634707,0,0.015591833,0.026821103,0.037002425,0.026085704,0,0.044114432,0.033844125,0,0,0.028210903,0.019847062,0,0,0,0.029988546,0.047419764,0,0.048333301,0,0,0,0,0,0,0,0,0.04590767,0.010792336,0.03706575,0.011045641,0.009643446,0.010825509,0,0.030078016,0.033707668,0,0,0.013349691,0.009709184,0,0.004569212,0.013072426,0.015676079,0,0.024308338,0.016442337,0,0,0,0,0,0,0,0,0,0.020762945,0.023113849,0.021443764,0,0,0,0.056256589,0.032533653,0,0.058378288,0.038886826,0.016751316,0,0.045893525,0.038287033,0,0,0,0,0.009895012,0.010559817,0.010905664,0,0.01077966,0,0.030809872,0.039644097
TFvelo,0.096535614,0.003445131,0.005914952,0.059132127,0.011752319,0.060245865,0.037549255,0.003540906,0.009428615,0.007929587,0.011466768,0.011466768,0.000398776,0,0,0.000804562,0.013554661,0.041220657,0.15074605,0.040406788,0.025254958,0.018579176,0.162654224,0.018058271,0.060813572,0.037582469,0.08577273,0.121707525,0.098878311,0.074140294,0.06126067,0.049782861,0.039885582,0.084120607,0.067072446,0.041349718,0.002507731,0.001810827,0.055297271,0.007910524,0.003797038,0.052362806,0.098408584,0.004133403,0.003708391,0,0,0,0.001639139,0.003150865,0.126893735,0.003420836,0.003698711,0.066664121,0.048794361,0.003045151,0.003940667,0.06677781,0,0,0.001924841,4.49E-05,0.003519308,0.001662016,3.64E-05,0.000734171,0.0090841,0.00144965,0.002194059,0,0,0.00148662,0.003613106,0.058624881,0.002863022,0.005467687,0.003330835,0.099220766,0.00390647,0.005851135,0.024785727,0,0,0.002191177,0.002981112,0.070060479,0.005410122,0.007245101,0.055655372,0.120879533,0.004224665,0.007722405,0,0,0,0.004215062,0.003580851,0,0.01134821,0.002294688,0.004791474,0.184906186,0.005250114,0.003452232,0.026224164,0,0,0.003000878,0.001526395,0.000767867,0.00037348,0.001075401,0.001682144,0.070547718,0.003458592,0.002919099
TopicVelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004664708,0.001904969,0.002972607,0.00097644,0.000974919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018185027,0.013893517,0,0.012417132,0,0,0,0,0,0,0,0,0.020145365,0,0,0,0,0,0,0.001990905,0,0,0.005473145,0.008679733,0.015117659,0,0,0,0,0,0,0,0,0,0.025150599,0.043966051,0,0.017489014,0.0100011,0,0,0,0,0,0,0,0,0,0,0,0.007393272,0,0,0,0,0,0,0,0.028026401,0.01841283,0,0.026831538,0.011290631,0,0,0,0.003344383,0.004139761,0.007209249,0.004135441,0.008004896,0.013272688,0,0
UniTVelo,0.066039379,0.332651308,0.122235299,0.172015321,0.164074198,0.056536131,0.181464662,0.131736112,0.127905835,0.14923723,0.138168461,0.138168461,0.090883163,0,0,0.048147472,0.505147979,0.570262152,0.239510147,0.263185233,0.556306385,0.324746132,0.43330894,0.446437284,0.410848755,0.312203033,0.359531503,0.335681325,0.309480165,0.403908484,0.357716396,0.404004197,0.430385978,0.350335851,0.357280963,0.281517307,0.206202693,0.1675091,0.176074746,0.175573547,0.157749808,0.196291515,0.20732188,0.162341567,0.167055949,0.23467544,0.106305262,0.081780081,0.145803189,0.183374785,0.145094481,0.180780682,0.182558827,0.17324299,0.199346808,0.166647818,0.167722262,0.195307897,0.104894221,0.10357427,0.168062668,0.128179045,0.127905835,0.137962696,0.149312168,0.177383639,0.141128741,0.178435547,0.182834639,0.102868454,0.0872397,0.259240242,0.161542184,0.147899868,0.315544816,0.130490757,0.432243589,0.402202409,0.268894932,0.125999456,0.22448532,0.162282726,0.140812519,0.103459372,0.154269387,0.100952521,0.19109199,0.162629084,0.156792155,0.058657687,0.179516749,0.177775354,0.20629983,0.212654807,0.093627916,0.201011125,0.151552449,0.040449221,0.169788919,0.190241507,0.305882307,0.035656359,0.204265723,0.40904935,0.214996103,0.156310365,0.148280081,0.158703637,0.058347455,0.086432282,0.132842629,0.096675414,0.173575677,0.128391045,0.172161542,0.168534098
