Method,1000x1000,1000x10000,1000x200000,10000x1000,200000x1000
cell2fate,8.902857143,11.93428571,,,
cellDancer,0.8703319,1.425937107,5.804481506,2.015993936,
DeepVelo,1.627142857,2.4025,,7.048571429,
k-velo,1.754333539,1.399132654,,1.607488848,
LatentVelo,2.207559406,2.507040467,,3.359004629,
NeuroVelo,6.345714286,5.305,,6.964285714,
PhyloVelo,0.741280261,0.866740909,,0.931679171,
Pyro-Velocity,6.993974313,8.786665931,,7.376815938,
Region Velocity,,,,,
scRNAkinetics,1.990344639,2.530434858,,3.252558525,
scVelo dynamical,2.844463348,2.252312796,4.586460114,2.821478708,
scVelo stochastic,3.614466531,3.942940303,6.949588776,4.303356171,10.7484169
SDEvelo,1.56871596,1.567390865,,1.730100335,
STT,1.057154637,0.985356836,,1.929253159,
TFvelo,0.576666667,0.783333333,,2.31,
TopicVelo,1.38468,1.341545,,,
UniTVelo,5.515411922,5.992119925,11.2326355,6.013506753,
VeloAE,4.282285714,4.441571429,,5.385285714,
velocyto,3.634162357,2.702231816,,4.693483626,
VeloVAE,1.232857143,1.634285714,5.08,1.901428571,5.21
veloVI,9.187611715,9.452103752,9.218162537,9.172698974,13.51637268
