Method,cellsub-bifurcating_cell1000_gene10000_60pct_600cells,cellsub-bifurcating_cell1000_gene10000_70pct_700cells,cellsub-bifurcating_cell1000_gene10000_80pct_800cells,cellsub-bifurcating_cell1000_gene10000_90pct_900cells,cellsub-bifurcating_cell1000_gene10000_95pct_950cells,genesub-bifurcating_cell1000_gene10000_60pct_6022genes,genesub-bifurcating_cell1000_gene10000_70pct_7025genes,genesub-bifurcating_cell1000_gene10000_80pct_8029genes,genesub-bifurcating_cell1000_gene10000_90pct_9032genes,genesub-bifurcating_cell1000_gene10000_95pct_9534genes
cell2fate,0.508,0.515,0.493,0.485,0.508,0.536,0.519,0.456,0.464,0.501
cellDancer,0.789,0.779,0.425,0.736,0.442,0.523,0.593,0.575,0.566,0.572
DeepVelo,0.544,0.544,0.542,0.544,0.526,0.558,0.551,0.536,0.552,0.536
InterVelo,0.505,0.458,0.476,0.5,0.446,0.441,0.502,0.437,0.462,0.443
k-velo,0,0,0,0,0,0,0,0,0,0
LatentVelo,0.494,0.552,0.501,0.532,0.461,0.539,0.499,0.472,0.495,0.525
NeuroVelo,0.673,0.329,0.357,0.299,0.421,0.541,0.356,0.31,0.463,0.384
PhyloVelo,0.573,0.57,0.504,0.548,0.51,0.503,0.496,0.529,0.524,0.542
Pyro-Velocity,0.4,0.501,0.445,0.527,0.484,0.455,0.46,0.512,0.503,0.421
scRNAkinetics,0.588,0.445,0.385,0.337,0.403,0.431,0.51,0.467,0.306,0.367
scVelo dynamical,0.288,0.28,0.309,0.284,0.281,0.373,0.309,0.303,0.325,0.328
scVelo stochastic,0.499,0.431,0.467,0.44,0.434,0.396,0.446,0.441,0.453,0.443
SDEvelo,0.634,0.645,0.678,0.689,0.614,0.437,0.709,0.693,0.602,0.661
STT,0.439,0.419,0.506,0.545,0,0.467,0.499,0.53,0.487,0.494
TFvelo,0.421,0.418,0.438,0.426,0.432,0.44,0.398,0.401,0.455,0.44
TopicVelo,0.474,0,0.484,0.485,0.483,0.502,0,0,0,0.491
UniTVelo,0.662,0.638,0.623,0.646,0.632,0.509,0.561,0.579,0.537,0.55
VeloAE,0.668,0.286,0.691,0,0.696,0.719,0.731,0.297,0.71,0.276
velocyto,0.485,0.482,0.482,0.467,0.474,0.439,0.444,0.46,0.467,0.465
VeloVAE,0.559,0.554,0.551,0.424,0.574,0.471,0.56,0.52,0.535,0.56
veloVI,0.593,0.595,0.567,0.562,0.549,0.601,0.513,0.58,0.596,0.573
